"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.943396226415094,53,0.98,50,0.103029330339718,98,0.0942167143842447,98
"2","1010508",0.9999,1,100,1,100,0.380462910963941,100,0.380462910963941,100
"3","1010540",0.9999,0.98,100,0.979166666666667,96,0.387405527187011,100,0.365835930117414,100
"4","1010562",0.9999,0,3,0,1,0,87,0,87
"5","1010567",0.9999,0,1,0,1,0,81,0,81
"6","1010611",0.9999,0.8,5,0.666666666666667,3,0.00747341426689253,96,0.00388257575757576,96
"7","1010614",0.9999,0.875,16,0.833333333333333,12,0.0847106562634513,98,0.0565183516736312,98
"8","1010690",0.9999,NA,0,NA,0,0,96,0,96
"9","1010714",0.9999,0.98,100,0.979591836734694,98,0.367382970356927,100,0.358350712292411,100
"10","1010723",0.9999,1,34,1,34,0.0551958910569165,100,0.0551958910569165,100
"11","1010730",0.9999,1,100,1,100,0.369502613938312,100,0.369502613938312,100
"12","1010794",0.9999,0.933333333333333,45,0.95,40,0.254346821143262,99,0.238860237525421,99
"13","1013889",0.9999,1,19,1,19,0.0458514167824513,100,0.0458514167824513,100
"14","1013891",0.9999,0.986111111111111,72,0.985714285714286,70,0.322646449974036,100,0.306601476429063,100
"15","1013911",0.9999,1,2,1,2,0.00920168067226891,100,0.00920168067226891,100
"16","1013935",0.9999,1,1,1,1,0.00571428571428571,100,0.00571428571428571,100
"17","1013936",0.9999,1,100,1,100,0.559119162385013,100,0.559119162385013,100
"18","1013944",0.9999,NA,0,NA,0,0,99,0,99
"19","1013965",0.9999,1,19,1,19,0.0801694581280788,100,0.0801694581280788,100
"20","1013976",0.9999,1,4,1,4,0.0175560224089636,100,0.0175560224089636,100
"21","1013982",0.9999,1,45,1,45,0.0854976885183782,100,0.0854976885183782,100
"22","1013990",0.9999,NA,0,NA,0,0,100,0,100
"23","1014019",0.9999,NA,0,NA,0,0,100,0,100
"24","1014046",0.9999,1,100,1,100,0.563363046853036,100,0.563363046853036,100
"25","1014048",0.9999,1,46,1,46,0.177490786352855,100,0.177490786352855,100
"26","1014056",0.9999,1,78,1,78,0.288153037766831,100,0.288153037766831,100
"27","1014060",0.9999,1,9,1,9,0.0531428571428571,100,0.0531428571428571,100
"28","1014077",0.9999,1,2,1,2,0.011047619047619,100,0.011047619047619,100
"29","1014094",0.9999,1,8,1,8,0.0389761904761905,100,0.0389761904761905,100
"30","1014096",0.9999,1,13,1,13,0.0735648663123635,100,0.0735648663123635,100
"31","1014098",0.9999,0.988636363636364,88,0.988636363636364,88,0.51949446617858,99,0.51949446617858,99
"32","1014119",0.9999,1,2,1,2,0.00613793103448276,100,0.00613793103448276,100
"33","1014128",0.9999,1,10,1,10,0.0346549450549451,100,0.0346549450549451,100
"34","1014150",0.9999,1,100,1,100,0.44651339031339,100,0.44651339031339,100
"35","1014155",0.9999,1,1,1,1,0.00313479623824451,99,0.00313479623824451,99
"36","1014163",0.9999,1,4,1,4,0.0098015873015873,100,0.0098015873015873,100
