"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.994913530010173,983,0.995893223819302,974,0.548775631945412,997,0.544190447821612,997
"2","1010508",0.9999,1,999,1,999,0.275271812364889,999,0.275271812364889,999
"3","1010540",0.9999,0.997997997997998,999,0.997989949748744,995,0.605383811569534,999,0.602890996173493,999
"4","1010562",0.9999,1,3,1,3,0.00236756974022859,985,0.00236756974022859,985
"5","1010567",0.9999,1,22,1,22,0.00791014128867674,979,0.00791014128867674,979
"6","1010611",0.9999,0.98828125,256,0.988,250,0.152805385618751,995,0.148458363150086,995
"7","1010614",0.9999,0.996945010183299,982,0.996926229508197,976,0.569835779451807,997,0.56609121241737,997
"8","1010690",0.9999,NA,0,NA,0,0,995,0,995
"9","1010714",0.9999,0.998998998998999,999,0.998996990972919,997,0.577522229297301,999,0.576239840918138,999
"10","1010723",0.9999,0.994117647058824,340,0.994047619047619,336,0.0863281975334063,999,0.0848830742492026,999
"11","1010730",0.9999,0.998992950654582,993,0.998990918264379,991,0.197037876901629,999,0.196550292543077,999
"12","1010794",0.9999,0.994969818913481,994,0.997973657548126,987,0.796935064047264,998,0.794122988282832,998
"13","1013889",0.9999,NA,0,NA,0,0,999,0,999
"14","1013891",0.9999,NA,0,NA,0,0,999,0,999
"15","1013911",0.9999,1,6,1,6,0.0034678356517437,999,0.0034678356517437,999
"16","1013935",0.9999,NA,0,NA,0,0,999,0,999
"17","1013936",0.9999,NA,0,NA,0,0,999,0,999
"18","1013944",0.9999,NA,0,NA,0,0,998,0,998
"19","1013965",0.9999,NA,0,NA,0,0,999,0,999
"20","1013976",0.9999,1,2,1,2,0.000343480735637598,999,0.000343480735637598,999
"21","1013982",0.9999,1,2,1,2,0.0010914139946398,999,0.0010914139946398,999
"22","1013990",0.9999,NA,0,NA,0,0,999,0,999
"23","1014019",0.9999,1,1,1,1,0.00045045045045045,999,0.00045045045045045,999
"24","1014046",0.9999,NA,0,NA,0,0,999,0,999
"25","1014048",0.9999,1,10,1,10,0.00787884658852401,999,0.00787884658852401,999
"26","1014056",0.9999,1,176,1,176,0.0852174914466349,999,0.0852174914466349,999
"27","1014060",0.9999,1,1,1,1,0.000800800800800801,999,0.000800800800800801,999
"28","1014077",0.9999,1,1,1,1,0.000533867200533867,999,0.000533867200533867,999
"29","1014094",0.9999,0.5,2,0.5,2,0.000533867200533867,999,0.000533867200533867,999
"30","1014096",0.9999,NA,0,NA,0,0,999,0,999
"31","1014098",0.9999,1,2,1,2,0.00164539605526843,998,0.00164539605526843,998
"32","1014119",0.9999,NA,0,NA,0,0,999,0,999
"33","1014128",0.9999,NA,0,NA,0,0,999,0,999
"34","1014150",0.9999,1,18,1,18,0.0116041540772724,999,0.0116041540772724,999
"35","1014155",0.9999,NA,0,NA,0,0,998,0,998
"36","1014163",0.9999,1,3,1,3,0.00185182943803633,999,0.00185182943803633,999
"37","1014164",0.9999,NA,0,NA,0,0,999,0,999
"38","1014172",0.9999,0.9375,16,0.9375,16,0.00671523390821636,999,0.00671523390821636,999
"39","1014213",0.9999,1,36,1,36,0.0128414128414128,999,0.0128414128414128,999
"40","1014271",0.9999,1,52,1,52,0.0363800582191387,999,0.0363800582191387,999
"41","1014286",0.9999,1,1,1,1,0.000847000847000847,999,0.000847000847000847,999
"42","1014294",0.9999,1,607,1,607,0.476911964138512,999,0.476911964138512,999
"43","1014302",0.9999,NA,0,NA,0,0,999,0,999
"44","1014304",0.9999,NA,0,NA,0,0,999,0,999
"45","1014307",0.9999,NA,0,NA,0,0,999,0,999
"46","1014312",0.9999,NA,0,NA,0,0,999,0,999
"47","1014361",0.9999,1,192,1,192,0.102863600692464,999,0.102863600692464,999
"48","1014363",0.9999,1,233,1,233,0.070049009384897,999,0.070049009384897,999
"49","1014365",0.9999,1,221,1,221,0.168526638011251,999,0.168526638011251,999
"50","1014371",0.9999,1,94,1,94,0.0698537004926821,999,0.0698537004926821,999
"51","1014403",0.9999,0,1,0,1,0,999,0,999
"52","1014420",0.9999,NA,0,NA,0,0,999,0,999
"53","1014435",0.9999,NA,0,NA,0,0,999,0,999
"54","1014447",0.9999,NA,0,NA,0,0,999,0,999
"55","1014469",0.9999,NA,0,NA,0,0,999,0,999
"56","1014484",0.9999,NA,0,NA,0,0,999,0,999
"57","1014493",0.9999,NA,0,NA,0,0,999,0,999
"58","1014550",0.9999,1,1,1,1,0.0003003003003003,999,0.0003003003003003,999
"59","1014566",0.9999,1,752,1,752,0.448847254918485,999,0.448847254918485,999
"60","1014582",0.9999,NA,0,NA,0,0,999,0,999
"61","1014593",0.9999,NA,0,NA,0,0,999,0,999
"62","1014600",0.9999,1,15,1,15,0.0031028150562746,999,0.0031028150562746,999
"63","1014610",0.9999,NA,0,NA,0,0,999,0,999
"64","1014611",0.9999,1,16,1,16,0.0124669643188162,999,0.0124669643188162,999
"65","1014612",0.9999,NA,0,NA,0,0,999,0,999
"66","1014627",0.9999,NA,0,NA,0,0,999,0,999
"67","1014653",0.9999,0.99685534591195,954,0.996835443037975,948,0.559174672261009,999,0.55593985849988,999
"68","1014655",0.9999,1,2,1,2,0.00126793460126793,999,0.00126793460126793,999
"69","1014660",0.9999,0.993993993993994,999,0.993920972644377,987,0.67308263196449,999,0.664549977858566,999
"70","1014685",0.9999,0.99390243902439,984,0.996929375639713,977,0.520842389305855,996,0.518399283549496,996
"71","1014696",0.9999,0.995995995995996,999,0.997983870967742,992,0.580818138520881,999,0.577116338025372,999
"72","1014697",0.9999,0.998998998998999,999,0.998996990972919,997,0.485598034155977,999,0.484304786885719,999
"73","1014721",0.9999,1,999,1,999,0.806546418763697,999,0.806546418763697,999
"74","1014734",0.9999,0.5,2,0,1,0.000533867200533867,999,0,999
"75","1014736",0.9999,1,997,1,997,0.20709041664165,999,0.20709041664165,999
"76","1014746",0.9999,0.995962314939435,743,0.995929443690638,737,0.338665017129844,997,0.335534399007191,997
"77","1014794",0.9999,1,8,1,8,0.00307915571073466,999,0.00307915571073466,999
"78","1014804",0.9999,NA,0,NA,0,0,998,0,998
"79","1014822",0.9999,1,5,1,5,0.0018686435353102,999,0.0018686435353102,999
"80","1014853",0.9999,1,7,1,7,0.00387709343619088,989,0.00387709343619088,989
"81","1014858",0.9999,0.961352657004831,207,0.979274611398964,193,0.0483396644492671,996,0.0430934498498502,996
"82","1014873",0.9999,0.666666666666667,3,0.666666666666667,3,0.000830619609223728,988,0.000830619609223728,988
"83","1014876",0.9999,0.972527472527473,182,0.994252873563218,174,0.0281412819619729,982,0.0261912382753772,982
"84","1014881",0.9999,1,806,1,806,0.162133959207091,999,0.162133959207091,999
"85","1014887",0.9999,0.7,10,0.857142857142857,7,0.00199138805747911,988,0.00137104066293817,988
"86","1014890",0.9999,0.995133819951338,411,0.997549019607843,408,0.176900449154096,992,0.176221332006388,992
"87","1014892",0.9999,1,4,1,4,0.00148928595923406,996,0.00148928595923406,996
"88","1014905",0.9999,0.995305164319249,213,0.995260663507109,211,0.0573880148153566,997,0.0560614544892169,997
"89","1014964",0.9999,1,882,1,882,0.351169142556327,998,0.351169142556327,998
"90","1015048",0.9999,0.997991967871486,996,0.997983870967742,992,0.408661557578846,999,0.405592367007081,999
"91","1015164",0.9999,0.995995995995996,999,0.995963673057518,991,0.552762847563007,999,0.546236677455469,999
"92","1015170",0.9999,1,999,1,999,0.676844786908644,999,0.676844786908644,999
"93","1015176",0.9999,0.997997997997998,999,0.997989949748744,995,0.265808559737828,999,0.264229650751512,999
"94","1015199",0.9999,0.998998998998999,999,0.998996990972919,997,0.329795150531963,999,0.328679219786403,999
"95","1015204",0.9999,0.998998998998999,999,0.998996990972919,997,0.721888561259897,999,0.720644306252201,999
"96","1015242",0.9999,0.997997997997998,999,0.997989949748744,995,0.393861953259141,999,0.390876709951317,999
"97","1015259",0.9999,0.995947315096251,987,0.995914198161389,979,0.544837444403743,997,0.5389413048065,997
"98","1015271",0.9999,0.998971193415638,972,0.998969072164948,970,0.58187904355,999,0.580472875477165,999
"99","1015283",0.9999,0.996951219512195,984,0.996932515337423,978,0.669021922288229,998,0.665114106656966,998
"100","1015295",0.9999,0.998997995991984,998,0.998995983935743,996,0.132449996175014,999,0.131702284900987,999
"101","1015303",0.9999,0.998998998998999,999,0.998996990972919,997,0.504810964032291,999,0.503472186831445,999
"102","1015323",0.9999,0.998998998998999,999,0.998996990972919,997,0.490990721254215,999,0.490024237529111,999
"103","1015390",0.9999,1,999,1,999,0.699324779577709,999,0.699324779577709,999
"104","1015398",0.9999,0.996835443037975,316,0.996815286624204,314,0.0731255986866632,999,0.0715592174906523,999
"105","1015412",0.9999,1,707,1,707,0.109155563960009,999,0.109155563960009,999
"106","1015414",0.9999,1,999,1,999,0.594923465166215,999,0.594923465166215,999
"107","1015430",0.9999,1,996,1,996,0.286261637412625,999,0.286261637412625,999
"108","1015431",0.9999,1,96,1,96,0.0211214838026432,999,0.0211214838026432,999
"109","1015434",0.9999,NA,0,NA,0,0,996,0,996
"110","1015435",0.9999,1,999,1,999,0.7551819803993,999,0.7551819803993,999
"111","1015441",0.9999,0.997229916897507,361,0.997214484679666,359,0.0440745894117054,986,0.043596116598776,986
"112","1015455",0.9999,1,999,1,999,0.636408480344498,999,0.636408480344498,999
"113","1015481",0.9999,0.994968553459119,795,0.996192893401015,788,0.240622577063142,993,0.237740470185827,993
"114","1015497",0.9999,0.998998998998999,999,0.998996990972919,997,0.187554348001403,999,0.186601013714736,999
"115","1015521",0.9999,0.89041095890411,73,0.96875,64,0.0319602516168886,966,0.0296310590703048,966
"116","1015525",0.9999,0.998997995991984,998,0.998995983935743,996,0.319303373142551,998,0.318157403041429,998
"117","1015542",0.9999,0.995828988529718,959,0.996848739495798,952,0.606044316022866,999,0.602435868866032,999
"118","1015562",0.9999,0.996975806451613,992,0.996957403651116,986,0.619459384166137,999,0.615497610089421,999
"119","1015566",0.9999,0.997946611909651,974,0.997938144329897,970,0.641682936868823,999,0.638871564543999,999
"120","1015574",0.9999,0.997971602434077,986,0.9979633401222,982,0.57651168444546,996,0.574168980295527,996
"121","1015575",0.9999,0.992682926829268,820,0.997542997542998,814,0.454349377130158,998,0.453188434555354,998
"122","1015586",0.9999,0.998998998998999,999,0.998996990972919,997,0.552805287293488,999,0.551443925932127,999
"123","1015594",0.9999,1,999,1,999,0.621070424566078,999,0.621070424566078,999
"124","1015597",0.9999,0.998998998998999,999,0.998996990972919,997,0.470068763643156,998,0.468781130906418,998
"125","1015621",0.9999,0.9979035639413,954,0.997894736842105,950,0.676796644215999,998,0.673734606161395,998
"126","1015626",0.9999,1,999,1,999,0.824316741372729,999,0.824316741372729,999
"127","1015651",0.9999,1,999,1,999,0.806532338790403,999,0.806532338790403,999
"128","1015673",0.9999,0.997429305912596,778,0.997416020671835,774,0.231011565014286,998,0.229395429517486,998
"129","1015680",0.9999,1,783,1,783,0.164584359064646,999,0.164584359064646,999
"130","1015683",0.9999,1,999,1,999,0.79747244463596,999,0.79747244463596,999
"131","1015691",0.9999,1,825,1,825,0.417499888570219,997,0.417499888570219,997
"132","1016",0.9999,0.998845265588915,866,0.998842592592593,864,0.32458720973525,998,0.322954314314779,998
"133","1016028",0.9999,0.996108949416342,257,0.996078431372549,255,0.13479592829154,998,0.133727124016323,998
"134","1016045",0.9999,0.992677824267782,956,0.994714587737844,946,0.624708899133207,999,0.618928925611298,999
"135","1016091",0.9999,0.998969072164948,970,0.99896694214876,968,0.458228832198218,999,0.45716109779715,999
"136","1016100",0.9999,1,980,1,980,0.39910941706694,998,0.39910941706694,998
"137","1016137",0.9999,1,999,1,999,0.601560241901171,999,0.601560241901171,999
"138","1016185",0.9999,1,999,1,999,0.138102523168359,999,0.138102523168359,999
"139","1016200",0.9999,1,1,1,1,0.000137048880767474,995,0.000137048880767474,995
"140","1016236",0.9999,NA,0,NA,0,0,999,0,999
"141","1016238",0.9999,NA,0,NA,0,0,997,0,997
"142","1016271",0.9999,0.992795389048991,694,0.992690058479532,684,0.203952280452731,998,0.199657927511083,998
"143","1016290",0.9999,1,999,1,999,0.58240099648847,999,0.58240099648847,999
"144","1016319",0.9999,1,234,1,234,0.0814857248712195,999,0.0814857248712195,999
"145","1016323",0.9999,0.959183673469388,49,0.978260869565217,46,0.0333232254234472,999,0.0320886575222127,999
"146","1016328",0.9999,1,136,1,136,0.033387227280442,999,0.033387227280442,999
"147","1016338",0.9999,1,999,1,999,0.806505430161344,999,0.806505430161344,999
"148","1016339",0.9999,0.992,125,0.991869918699187,123,0.102404555092727,999,0.100566157555405,999
"149","1016362",0.9999,1,28,1,28,0.0231081465996849,999,0.0231081465996849,999
"150","1016365",0.9999,1,78,1,78,0.065513929344111,999,0.065513929344111,999
"151","1016379",0.9999,1,253,1,253,0.203527238770101,999,0.203527238770101,999
"152","1016383",0.9999,NA,0,NA,0,0,999,0,999
"153","1016388",0.9999,1,15,1,15,0.0121622323585858,999,0.0121622323585858,999
"154","1016391",0.9999,NA,0,NA,0,0,731,0,731
"155","1016395",0.9999,0.997993981945838,997,0.998993963782696,994,0.899439224170407,999,0.897600826633085,999
"156","1016421",0.9999,0.998998998998999,999,0.998996990972919,997,0.641669577569264,999,0.640071630738052,999
"157","1016426",0.9999,1,999,1,999,0.653296805962731,999,0.653296805962731,999
"158","1016471",0.9999,0.996907216494845,970,0.996887966804979,964,0.553145105450214,998,0.549266380257894,998
"159","1016486",0.9999,0.997067448680352,341,0.997050147492625,339,0.157960008687325,998,0.157756152699488,998
"160","1016488",0.9999,0.991991991991992,999,0.995955510616785,989,0.616990533059443,999,0.613186729255639,999
"161","1016493",0.9999,0.998837209302326,860,0.998834498834499,858,0.398036628536771,998,0.396800823593551,998
"162","1016494",0.9999,0.994969818913481,994,0.996963562753036,988,0.504844277207379,999,0.50255002893612,999
"163","1016513",0.9999,0.996996996996997,999,0.996978851963746,993,0.540437410939709,999,0.538040377891335,999
"164","1016514",0.9999,0.998998998998999,999,0.998996990972919,997,0.358205064983138,999,0.357433736625603,999
"165","1016519",0.9999,1,999,1,999,0.756654348480657,999,0.756654348480657,999
"166","1016525",0.9999,0.998995983935743,996,0.998993963782696,994,0.513085036223032,998,0.511637559989777,998
"167","1016527",0.9999,1,999,1,999,0.411249832744422,999,0.411249832744422,999
"168","1016648",0.9999,1,1,1,1,0.000446927374301676,895,0.000446927374301676,895
"169","1016659",0.9999,0.996868475991649,958,0.997901364113326,953,0.463833256972057,998,0.462590541656368,998
"170","1016682",0.9999,0.982269503546099,282,0.989130434782609,276,0.105378339128889,996,0.102804407036884,996
"171","1016774",0.9999,0.996108949416342,514,0.996078431372549,510,0.0771112056568889,999,0.0757280491013186,999
"172","1016776",0.9999,0.998711340206186,776,0.998708010335917,774,0.158656344090664,999,0.158345688607595,999
"173","1016794",0.9999,1,17,1,17,0.0142701841626573,999,0.0142701841626573,999
"174","1016801",0.9999,1,872,1,872,0.348886189124952,994,0.348886189124952,994
"175","1016822",0.9999,1,1,1,1,0.000601202404809619,998,0.000601202404809619,998
"176","1016830",0.9999,1,19,1,19,0.00538620926487873,998,0.00538620926487873,998
"177","1016840",0.9999,0.952380952380952,21,0.952380952380952,21,0.0122352064324626,999,0.0122352064324626,999
"178","1016953",0.9999,0.995859213250518,966,0.995824634655532,958,0.573058200992875,996,0.568736493613777,996
"179","1017015",0.9999,NA,0,NA,0,0,991,0,991
"180","1017021",0.9999,0.992992992992993,999,0.992893401015228,985,0.532909454213462,999,0.523270383580694,999
"181","1017025",0.9999,0.996881496881497,962,0.996861924686193,956,0.527605070211318,998,0.524184250076425,998
"182","1017066",0.9999,0.996832101372756,947,0.997876857749469,942,0.616871810726475,997,0.613498399917113,997
"183","1017069",0.9999,0.998993963782696,994,0.998991935483871,992,0.529696427323915,998,0.528532561129989,998
"184","1017084",0.9999,0.997997997997998,999,0.997989949748744,995,0.627705193573145,999,0.625086928292663,999
"185","1017087",0.9999,0.996996996996997,999,0.996978851963746,993,0.647983868077093,999,0.643164736747024,999
"186","1017089",0.9999,0.994994994994995,999,0.995963673057518,991,0.632661371956054,999,0.627453603140573,999
"187","1017096",0.9999,0.981481481481482,54,0.980769230769231,52,0.0288172385639734,998,0.0276890562734665,998
"188","1017103",0.9999,0.994918699186992,984,0.997957099080695,979,0.513299456532865,995,0.511603144283789,995
"189","1017122",0.9999,0.998998998998999,999,0.998996990972919,997,0.787176423735564,999,0.785561905992013,999
"190","1017125",0.9999,1,999,1,999,0.76956926204238,999,0.76956926204238,999
"191","1017142",0.9999,1,999,1,999,0.895484212428966,999,0.895484212428966,999
"192","1017283",0.9999,0.996969696969697,990,0.996957403651116,986,0.505140818307334,997,0.502165224860327,997
"193","1017306",0.9999,0.98997995991984,998,0.99492385786802,985,0.630086825625241,999,0.624614686819769,999
"194","1017312",0.9999,0.991927346115035,991,0.994897959183674,980,0.499536004982396,994,0.496017190948769,994
"195","1017330",0.9999,1,62,1,62,0.00863612410168349,998,0.00863612410168349,998
"196","1017353",0.9999,1,999,1,999,0.63345158538328,999,0.63345158538328,999
"197","1017354",0.9999,0.998983739837398,984,0.9989816700611,982,0.533200050752941,999,0.532433274124095,999
"198","1017364",0.9999,1,73,1,73,0.0273993563773123,998,0.0273993563773123,998
"199","1017520",0.9999,0.997997997997998,999,0.997989949748744,995,0.372969863418098,999,0.370328141236146,999
"200","1017547",0.9999,0.996996996996997,999,0.997987927565392,994,0.627715389678888,999,0.626248405453283,999
"201","1017554",0.9999,1,6,1,6,0.00226260941548459,999,0.00226260941548459,999
"202","1017567",0.9999,1,17,1,17,0.00652040010757446,998,0.00652040010757446,998
"203","1017695",0.9999,1,999,1,999,0.678552724026654,999,0.678552724026654,999
"204","1017719",0.9999,0.997981836528759,991,0.997973657548126,987,0.561755038552079,999,0.558871859806831,999
"205","1017721",0.9999,0.996897621509824,967,0.99687825182102,961,0.490799550956852,999,0.487015142574742,999
"206","1017730",0.9999,0.996932515337423,978,0.996913580246914,972,0.497633401749856,999,0.493733215091049,999
"207","1017790",0.9999,0.983333333333333,60,0.983333333333333,60,0.0190441104005327,989,0.0190441104005327,989
"208","1017816",0.9999,0.996852046169989,953,0.99789029535865,948,0.503298230185824,999,0.499768754005576,999
"209","1017821",0.9999,0.993006993006993,572,0.996466431095406,566,0.25513832678889,999,0.253596555132176,999
"210","1017830",0.9999,1,990,1,990,0.561754003000656,999,0.561754003000656,999
"211","1017833",0.9999,1,995,1,995,0.106943968503118,999,0.106943968503118,999
"212","1017835",0.9999,1,220,1,220,0.0463091940122088,999,0.0463091940122088,999
"213","1017862",0.9999,1,228,1,228,0.0475817723531232,999,0.0475817723531232,999
"214","1017863",0.9999,1,275,1,275,0.0273998929978341,999,0.0273998929978341,999
"215","1017982",0.9999,NA,0,NA,0,0,972,0,972
"216","1018041",0.9999,1,12,1,12,0.00361069109697577,965,0.00361069109697577,965
"217","1018062",0.9999,0.970149253731343,67,0.968253968253968,63,0.0299764811019738,997,0.0276104480309225,997
"218","1018070",0.9999,1,999,1,999,0.393416767699171,999,0.393416767699171,999
"219","1018099",0.9999,0.994686503719447,941,0.994629430719656,931,0.586652816115107,997,0.580255128428391,997
"220","1018111",0.9999,0.997981836528759,991,0.998989898989899,990,0.486930484838321,997,0.486930484838321,997
"221","1018135",0.9999,0.992943548387097,992,0.993871297242084,979,0.515429516948383,998,0.509618789844748,998
"222","1018200",0.9999,1,12,1,12,0.00542745704084098,995,0.00542745704084098,995
"223","1018206",0.9999,1,999,1,999,0.152968681424732,999,0.152968681424732,999
