"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,13,1,13,0.158708187312306,46,0.158708187312306,46
"2","1010508",0.9999,1,48,1,48,0.423567513333913,48,0.423567513333913,48
"3","1010540",0.9999,0.979166666666667,48,0.978260869565217,46,0.35250084085975,48,0.325715126574035,48
"4","1010562",0.9999,NA,0,NA,0,0,35,0,35
"5","1010567",0.9999,NA,0,NA,0,0,34,0,34
"6","1010611",0.9999,1,13,1,13,0.181355506497283,46,0.181355506497283,46
"7","1010614",0.9999,1,5,1,5,0.0945895629260469,46,0.0945895629260469,46
"8","1010690",0.9999,1,1,1,1,0.0206611570247934,44,0.0206611570247934,44
"9","1010714",0.9999,0.979166666666667,48,0.978260869565217,46,0.284929779026729,48,0.279553434940707,48
"10","1010723",0.9999,0.833333333333333,6,0.75,4,0.0595854218880535,48,0.0243671679197995,48
"11","1010730",0.9999,1,14,1,14,0.0891502112191767,48,0.0891502112191767,48
"12","1010794",0.9999,0.857142857142857,7,0.8,5,0.0886658935460204,47,0.0692589875275128,47
"13","1013889",0.9999,NA,0,NA,0,0,48,0,48
"14","1013891",0.9999,1,4,1,4,0.054673721340388,48,0.054673721340388,48
"15","1013911",0.9999,1,6,1,6,0.077982202982203,48,0.077982202982203,48
"16","1013935",0.9999,NA,0,NA,0,0,48,0,48
"17","1013936",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"18","1013944",0.9999,0.944444444444444,18,0.941176470588235,17,0.269135702068172,47,0.252769089956879,47
"19","1013965",0.9999,1,14,1,14,0.212464534928303,48,0.212464534928303,48
"20","1013976",0.9999,NA,0,NA,0,0,48,0,48
"21","1013982",0.9999,1,2,1,2,0.0273672687465791,48,0.0273672687465791,48
"22","1013990",0.9999,1,4,1,4,0.0238247278477163,48,0.0238247278477163,48
"23","1014019",0.9999,0.9375,16,0.928571428571429,14,0.16970277274875,48,0.143909121955099,48
"24","1014046",0.9999,NA,0,NA,0,0,48,0,48
"25","1014048",0.9999,NA,0,NA,0,0,48,0,48
"26","1014056",0.9999,1,3,1,3,0.0367323481116585,48,0.0367323481116585,48
"27","1014060",0.9999,1,4,1,4,0.0426245210727969,48,0.0426245210727969,48
"28","1014077",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"29","1014094",0.9999,1,2,1,2,0.0233990147783251,48,0.0233990147783251,48
"30","1014096",0.9999,1,4,1,4,0.0602155932615703,48,0.0602155932615703,48
"31","1014098",0.9999,1,5,1,5,0.0358435877492139,48,0.0358435877492139,48
"32","1014119",0.9999,NA,0,NA,0,0,48,0,48
"33","1014128",0.9999,1,2,1,2,0.0252849002849003,48,0.0252849002849003,48
"34","1014150",0.9999,NA,0,NA,0,0,48,0,48
"35","1014155",0.9999,0.933333333333333,15,0.923076923076923,13,0.160337257916128,47,0.133994806041761,47
"36","1014163",0.9999,1,11,1,11,0.127270044770045,48,0.127270044770045,48
"37","1014164",0.9999,1,1,1,1,0.0133333333333333,48,0.0133333333333333,48
"38","1014172",0.9999,1,2,1,2,0.0192592592592593,48,0.0192592592592593,48
"39","1014213",0.9999,1,4,1,4,0.0306437389770723,48,0.0306437389770723,48
