"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,9,1,9,0.117693065058226,39,0.117693065058226,39
"2","1010508",0.9999,1,39,1,39,0.322268182470636,39,0.322268182470636,39
"3","1010540",0.9999,0.974358974358974,39,0.972972972972973,37,0.357254099620406,39,0.328279663625128,39
"4","1010562",0.9999,NA,0,NA,0,0,39,0,39
"5","1010567",0.9999,NA,0,NA,0,0,39,0,39
"6","1010611",0.9999,1,9,1,9,0.164261606795789,39,0.164261606795789,39
"7","1010614",0.9999,1,5,1,5,0.110384437108192,39,0.110384437108192,39
"8","1010690",0.9999,NA,0,NA,0,0,39,0,39
"9","1010714",0.9999,0.974358974358974,39,0.972972972972973,37,0.280046334888679,39,0.273433726955607,39
"10","1010723",0.9999,0.6,5,0.5,2,0.0333252358603716,39,0.00527961041678708,39
"11","1010730",0.9999,1,30,1,30,0.177107961815878,39,0.177107961815878,39
"12","1010794",0.9999,0.75,4,0.666666666666667,3,0.0451210163579408,39,0.0416363718542978,39
"13","1013889",0.9999,NA,0,NA,0,0,39,0,39
"14","1013891",0.9999,1,4,1,4,0.0727457972450938,39,0.0727457972450938,39
"15","1013911",0.9999,1,4,1,4,0.0625061794879893,39,0.0625061794879893,39
"16","1013935",0.9999,1,2,1,2,0.0332125799855219,39,0.0332125799855219,39
"17","1013936",0.9999,1,1,1,1,0.0145486887009653,39,0.0145486887009653,39
"18","1013944",0.9999,0.8125,16,0.846153846153846,13,0.244480237171221,39,0.207650620833428,39
"19","1013965",0.9999,1,13,1,13,0.236486574718893,39,0.236486574718893,39
"20","1013976",0.9999,NA,0,NA,0,0,39,0,39
"21","1013982",0.9999,1,3,1,3,0.0465446134065539,39,0.0465446134065539,39
"22","1013990",0.9999,NA,0,NA,0,0,39,0,39
"23","1014019",0.9999,0.75,4,0.666666666666667,3,0.0437606934595905,39,0.0293072584331834,39
"24","1014046",0.9999,NA,0,NA,0,0,39,0,39
"25","1014048",0.9999,NA,0,NA,0,0,39,0,39
"26","1014056",0.9999,1,3,1,3,0.0600615895812714,39,0.0600615895812714,39
"27","1014060",0.9999,0.8,5,0.666666666666667,3,0.0713098231803719,39,0.0460117783786256,39
"28","1014077",0.9999,1,1,1,1,0.0214817078630386,39,0.0214817078630386,39
"29","1014094",0.9999,1,2,1,2,0.0350163726609528,39,0.0350163726609528,39
"30","1014096",0.9999,1,4,1,4,0.0746658382240051,39,0.0746658382240051,39
"31","1014098",0.9999,1,4,1,4,0.0546799353011397,39,0.0546799353011397,39
"32","1014119",0.9999,NA,0,NA,0,0,39,0,39
"33","1014128",0.9999,1,3,1,3,0.0567485061326032,39,0.0567485061326032,39
"34","1014150",0.9999,NA,0,NA,0,0,39,0,39
"35","1014155",0.9999,0.833333333333333,6,0.833333333333333,6,0.0687759566086453,39,0.0687759566086453,39
"36","1014163",0.9999,1,14,1,14,0.186065100130399,39,0.186065100130399,39
"37","1014164",0.9999,1,1,1,1,0.0158140242760638,39,0.0158140242760638,39
"38","1014172",0.9999,NA,0,NA,0,0,39,0,39
"39","1014213",0.9999,1,4,1,4,0.073325640532097,39,0.073325640532097,39
"40","1014271",0.9999,1,6,1,6,0.0899552931470155,39,0.0899552931470155,39
"41","1014286",0.9999,1,1,1,1,0.0170329209603758,39,0.0170329209603758,39
"42","1014294",0.9999,NA,0,NA,0,0,39,0,39
"43","1014302",0.9999,1,1,1,1,0.0197486013350913,39,0.0197486013350913,39
"44","1014304",0.9999,0.75,4,0.5,2,0.0549188754080665,39,0.0178504045181415,39
"45","1014307",0.9999,1,4,1,4,0.0626331305172218,39,0.0626331305172218,39
