"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,27,1,27,0.130314248359719,99,0.130314248359719,99
"2","1010508",0.9999,1,99,1,99,0.26201103064351,99,0.26201103064351,99
"3","1010540",0.9999,1,99,1,99,0.322414800201848,99,0.322414800201848,99
"4","1010562",0.9999,NA,0,NA,0,0,99,0,99
"5","1010567",0.9999,0.666666666666667,3,0,1,0.00802586671996855,99,0,99
"6","1010611",0.9999,0.866666666666667,15,0.818181818181818,11,0.102690451437702,99,0.0722315129145033,99
"7","1010614",0.9999,0.952380952380952,21,0.947368421052632,19,0.139035871968185,99,0.122289438876531,99
"8","1010690",0.9999,NA,0,NA,0,0,99,0,99
"9","1010714",0.9999,0.98989898989899,99,0.989690721649485,97,0.267806161095517,99,0.263906973911345,99
"10","1010723",0.9999,1,15,1,15,0.0460959451530489,99,0.0460959451530489,99
"11","1010730",0.9999,0.952380952380952,21,0.952380952380952,21,0.0633111276600321,99,0.0633111276600321,99
"12","1010794",0.9999,0.888888888888889,9,0.888888888888889,9,0.0632363397225087,99,0.0632363397225087,99
"13","1013889",0.9999,NA,0,NA,0,0,99,0,99
"14","1013891",0.9999,1,3,1,3,0.0169798728111924,99,0.0169798728111924,99
"15","1013911",0.9999,1,21,1,21,0.112711408573767,99,0.112711408573767,99
"16","1013935",0.9999,NA,0,NA,0,0,99,0,99
"17","1013936",0.9999,NA,0,NA,0,0,99,0,99
"18","1013944",0.9999,0.972222222222222,36,0.971428571428571,35,0.203505957254915,99,0.196411076347053,99
"19","1013965",0.9999,1,24,1,24,0.146308991509323,99,0.146308991509323,99
"20","1013976",0.9999,NA,0,NA,0,0,99,0,99
"21","1013982",0.9999,1,18,1,18,0.110832595006559,99,0.110832595006559,99
"22","1013990",0.9999,1,6,1,6,0.0345178328934683,99,0.0345178328934683,99
"23","1014019",0.9999,0.933333333333333,30,0.962962962962963,27,0.15569558811621,99,0.14476514720836,99
"24","1014046",0.9999,NA,0,NA,0,0,99,0,99
"25","1014048",0.9999,NA,0,NA,0,0,99,0,99
"26","1014056",0.9999,1,6,1,6,0.0336448728391784,99,0.0336448728391784,99
"27","1014060",0.9999,1,6,1,6,0.0363572740106034,99,0.0363572740106034,99
"28","1014077",0.9999,NA,0,NA,0,0,99,0,99
"29","1014094",0.9999,NA,0,NA,0,0,99,0,99
"30","1014096",0.9999,1,9,1,9,0.0551409797397887,99,0.0551409797397887,99
"31","1014098",0.9999,1,6,1,6,0.0354722081904849,99,0.0354722081904849,99
"32","1014119",0.9999,NA,0,NA,0,0,99,0,99
"33","1014128",0.9999,1,93,1,93,0.429497997625328,99,0.429497997625328,99
"34","1014150",0.9999,1,93,1,93,0.559748887476209,99,0.559748887476209,99
"35","1014155",0.9999,0.916666666666667,12,0.916666666666667,12,0.070073892400147,99,0.070073892400147,99
"36","1014163",0.9999,0.933333333333333,15,0.923076923076923,13,0.117988566297915,99,0.100690955638397,99
"37","1014164",0.9999,NA,0,NA,0,0,99,0,99
"38","1014172",0.9999,1,15,1,15,0.110079319361242,99,0.110079319361242,99
"39","1014213",0.9999,1,9,1,9,0.0507499474652087,99,0.0507499474652087,99
"40","1014271",0.9999,1,12,1,12,0.0678487655639875,99,0.0678487655639875,99
"41","1014286",0.9999,NA,0,NA,0,0,99,0,99
"42","1014294",0.9999,NA,0,NA,0,0,99,0,99
"43","1014302",0.9999,1,3,1,3,0.0171415050751903,99,0.0171415050751903,99
