"","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1",0.9999,1,99,1,99,0.849703668391099,99,0.849703668391099,99
"2",0.9999,1,6,1,6,0.0271682340647858,99,0.0271682340647858,99
"3",0.9999,1,79,1,79,0.545687359327206,99,0.545687359327206,99
"4",0.9999,0.986666666666667,75,0.986301369863014,73,0.19587567425521,99,0.188692733738936,99
"5",0.9999,1,95,1,95,0.60530593289214,99,0.60530593289214,99
"6",0.9999,0.833333333333333,12,0.8,10,0.0239066178817732,98,0.0137897506220488,98
"7",0.9999,1,20,1,20,0.101208737098065,99,0.101208737098065,99
"8",0.9999,1,59,1,59,0.347611508684306,99,0.347611508684306,99
"9",0.9999,0.959183673469388,49,0.977777777777778,45,0.103587361137391,97,0.0836983841350124,97
"10",0.9999,1,51,1,51,0.447720010938402,99,0.447720010938402,99
"11",0.9999,1,21,1,21,0.111870845204179,99,0.111870845204179,99
"12",0.9999,0.966101694915254,59,0.963636363636364,55,0.204656739608404,98,0.193131122368502,98
"13",0.9999,0.941176470588235,51,0.933333333333333,45,0.147059398437176,98,0.116996300734327,98
"14",0.9999,0.904761904761905,21,0.882352941176471,17,0.118961816367869,97,0.0931886204915802,97
"15",0.9999,1,34,1,34,0.184541287172866,99,0.184541287172866,99
"16",0.9999,0.962962962962963,27,0.96,25,0.0806933814745215,98,0.0701113708925109,98
"17",0.9999,0.88,25,0.952380952380952,21,0.0853184352670207,97,0.0710336835656529,97
"18",0.9999,1,11,1,11,0.0365453289996792,98,0.0365453289996792,98
"19",0.9999,1,16,1,16,0.0422939479176503,99,0.0422939479176503,99
"20",0.9999,1,60,1,60,0.308832275296619,99,0.308832275296619,99
"21",0.9999,0.98989898989899,99,0.989690721649485,97,0.336558603565916,98,0.330090785669527,98
"22",0.9999,0.986301369863014,73,0.985915492957746,71,0.177718363334747,98,0.172261235428639,98
"23",0.9999,NA,0,NA,0,0,99,0,99
"24",0.9999,1,3,1,3,0.0203703703703704,99,0.0203703703703704,99
"25",0.9999,0.960526315789474,76,0.971830985915493,71,0.233867466993564,98,0.213260714975987,98
"26",0.9999,0.98780487804878,82,0.987654320987654,81,0.497356241641956,98,0.491076806791093,98
"27",0.9999,1,79,1,79,0.347284367550598,99,0.347284367550598,99
"28",0.9999,1,16,1,16,0.0653928182722609,99,0.0653928182722609,99
"29",0.9999,0.923076923076923,13,0.916666666666667,12,0.103329076202639,99,0.0952482681218313,99
"30",0.9999,1,93,1,93,0.224472946480436,99,0.224472946480436,99
"31",0.9999,0.981818181818182,55,0.981132075471698,53,0.295518391839529,99,0.284743981065119,99
"32",0.9999,1,24,1,24,0.0978625913410018,99,0.0978625913410018,99
"33",0.9999,1,69,1,69,0.430586178335031,99,0.430586178335031,99
"34",0.9999,0.983333333333333,60,0.982758620689655,58,0.296178622892966,99,0.283047309761653,99
"35",0.9999,1,57,1,57,0.310227822560954,99,0.310227822560954,99
"36",0.9999,0.944444444444444,18,0.944444444444444,18,0.15668202764977,98,0.15668202764977,98
"37",0.9999,1,85,1,85,0.289620943792325,99,0.289620943792325,99
"38",0.9999,1,3,1,3,0.0200052472779745,99,0.0200052472779745,99
"39",0.9999,1,6,1,6,0.0234749147792626,99,0.0234749147792626,99
"40",0.9999,0.977272727272727,88,0.976190476190476,84,0.327168028295848,98,0.307942946958965,98
"41",0.9999,1,46,1,46,0.102324465965684,99,0.102324465965684,99
"42",0.9999,0.9375,16,0.928571428571429,14,0.0798554181306866,99,0.0663874046626732,99
"43",0.9999,0.985074626865672,67,0.984615384615385,65,0.335289906938198,99,0.322993025076098,99
"44",0.9999,1,8,1,8,0.0379018947646399,99,0.0379018947646399,99
"45",0.9999,0.986111111111111,72,0.985714285714286,70,0.334805433877713,98,0.326798403314291,98
"46",0.9999,1,32,1,32,0.15841674550502,99,0.15841674550502,99
"47",0.9999,1,99,1,99,0.503727768582008,99,0.503727768582008,99
"48",0.9999,1,92,1,92,0.294813473699104,99,0.294813473699104,99
"49",0.9999,0.986301369863014,73,0.985915492957746,71,0.305439416550528,99,0.291009402120513,99
"50",0.9999,0.982758620689655,58,0.982142857142857,56,0.139981559057189,98,0.119573395791883,98
"51",0.9999,1,58,1,58,0.463189657006082,99,0.463189657006082,99
"52",0.9999,0.985915492957746,71,0.985507246376812,69,0.192603380429789,98,0.183907291156642,98
"53",0.9999,0.985507246376812,69,0.985074626865672,67,0.470514697037995,99,0.458863796498205,99
"54",0.9999,0.975,40,0.973684210526316,38,0.193949108262834,99,0.186922318627348,99
"55",0.9999,1,97,1,97,0.575825396768564,99,0.575825396768564,99
"56",0.9999,0.9,10,0.888888888888889,9,0.0377303028234705,98,0.0295670375173481,98
"57",0.9999,0.959183673469388,49,0.955555555555556,45,0.19673762054784,98,0.183781634734712,98
"58",0.9999,0.979591836734694,49,0.978723404255319,47,0.141760516145346,98,0.134012972683516,98
"59",0.9999,1,7,1,7,0.0495979148943576,99,0.0495979148943576,99
