"","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1",0.9999,1,24,1,24,0.444919278252612,24,0.444919278252612,24
"2",0.9999,NA,0,NA,0,0,24,0,24
"3",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"4",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"5",0.9999,1,24,1,24,0.715277777777778,24,0.715277777777778,24
"6",0.9999,0.958333333333333,24,0.954545454545455,22,0.749230399230399,24,0.704587542087542,24
"7",0.9999,1,24,1,24,0.764141414141414,24,0.764141414141414,24
"8",0.9999,0.916666666666667,24,0.9,20,0.547619047619048,24,0.422619047619048,24
"9",0.9999,1,24,1,24,0.813690476190476,24,0.813690476190476,24
"10",0.9999,NA,0,NA,0,0,24,0,24
"11",0.9999,1,24,1,24,0.736363636363636,24,0.736363636363636,24
"12",0.9999,1,24,1,24,0.5,24,0.5,24
"13",0.9999,1,24,1,24,0.661066711066711,24,0.661066711066711,24
"14",0.9999,0.958333333333333,24,0.954545454545455,22,0.460301496077358,24,0.436035851122058,24
"15",0.9999,NA,0,NA,0,0,24,0,24
"16",0.9999,1,24,1,24,0.45734126984127,24,0.45734126984127,24
"17",0.9999,1,24,1,24,1,24,1,24
"18",0.9999,1,24,1,24,0.925324675324675,24,0.925324675324675,24
"19",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"20",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"21",0.9999,1,24,1,24,0.96551724137931,24,0.96551724137931,24
"22",0.9999,1,24,1,24,0.986111111111111,24,0.986111111111111,24
"23",0.9999,NA,0,NA,0,0,24,0,24
"24",0.9999,1,24,1,24,0.958812260536399,24,0.958812260536399,24
"25",0.9999,NA,0,NA,0,0,24,0,24
"26",0.9999,1,24,1,24,0.980769230769231,24,0.980769230769231,24
"27",0.9999,1,24,1,24,0.96551724137931,24,0.96551724137931,24
"28",0.9999,1,24,1,24,0.96551724137931,24,0.96551724137931,24
"29",0.9999,NA,0,NA,0,0,24,0,24
"30",0.9999,1,24,1,24,0.751515151515152,24,0.751515151515152,24
"31",0.9999,1,24,1,24,0.861068111455108,24,0.861068111455108,24
"32",0.9999,1,24,1,24,0.912698412698413,24,0.912698412698413,24
"33",0.9999,1,24,1,24,0.893246187363834,24,0.893246187363834,24
"34",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"35",0.9999,1,24,1,24,0.936015325670498,24,0.936015325670498,24
"36",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"37",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"38",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"39",0.9999,1,24,1,24,0.879142300194932,24,0.879142300194932,24
"40",0.9999,1,24,1,24,0.802380952380953,24,0.802380952380953,24
"41",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"42",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"43",0.9999,1,24,1,24,0.990196078431373,24,0.990196078431373,24
"44",0.9999,1,24,1,24,0.8,24,0.8,24
"45",0.9999,1,24,1,24,0.460780423280423,24,0.460780423280423,24
"46",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"47",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"48",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"49",0.9999,0.944444444444444,18,0.9375,16,0.364809081527348,24,0.290505675954592,24
"50",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"51",0.9999,0.958333333333333,24,0.954545454545455,22,0.523809523809524,24,0.482142857142857,24
"52",0.9999,1,24,1,24,0.765897065897066,24,0.765897065897066,24
"53",0.9999,0.944444444444444,18,0.9375,16,0.471171802054155,24,0.427871148459384,24
"54",0.9999,1,24,1,24,1,24,1,24
"55",0.9999,0.958333333333333,24,0.954545454545455,22,0.769089390142022,24,0.69891395154553,24
"56",0.9999,0.875,24,0.95,20,0.819444444444444,24,0.74537037037037,24
"57",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"58",0.9999,1,24,1,24,0.836471861471861,24,0.836471861471861,24
"59",0.9999,1,24,1,24,1,24,1,24
"60",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"61",0.9999,NA,0,NA,0,0,24,0,24
"62",0.9999,1,24,1,24,0.622023809523809,24,0.622023809523809,24
"63",0.9999,0.958333333333333,24,0.954545454545455,22,0.78,24,0.706666666666667,24
"64",0.9999,1,24,1,24,0.869565217391304,24,0.869565217391304,24
"65",0.9999,1,24,1,24,0.62637403446227,24,0.62637403446227,24
"66",0.9999,0.958333333333333,24,0.954545454545455,22,0.846360089186176,24,0.767898550724638,24
"67",0.9999,1,24,1,24,0.723638824625667,24,0.723638824625667,24
"68",0.9999,1,24,1,24,0.752083333333333,24,0.752083333333333,24
"69",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"70",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"71",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"72",0.9999,0.882352941176471,17,0.928571428571429,14,0.503367003367003,24,0.457070707070707,24
"73",0.9999,1,24,1,24,0.927820512820513,24,0.927820512820513,24
"74",0.9999,1,1,1,1,0.0416666666666667,24,0.0416666666666667,24
"75",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"76",0.9999,0.954545454545455,22,0.95,20,0.456944444444444,24,0.405092592592593,24
"77",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"78",0.9999,NA,0,NA,0,0,23,0,23
"79",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"80",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"81",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"82",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"83",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"84",0.9999,1,24,1,24,0.933333333333333,24,0.933333333333333,24
"85",0.9999,1,24,1,24,0.898148148148148,24,0.898148148148148,24
"86",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"87",0.9999,1,24,1,24,0.709558823529412,24,0.709558823529412,24
"88",0.9999,1,24,1,24,0.932461873638344,24,0.932461873638344,24
"89",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"90",0.9999,1,24,1,24,0.752083333333333,24,0.752083333333333,24
"91",0.9999,1,24,1,24,0.903225806451613,24,0.903225806451613,24
"92",0.9999,1,24,1,24,0.762044817927171,24,0.762044817927171,24
"93",0.9999,1,24,1,24,0.8,24,0.8,24
"94",0.9999,1,24,1,24,0.650876900876901,24,0.650876900876901,24
"95",0.9999,1,24,1,24,0.8,24,0.8,24
"96",0.9999,1,24,1,24,0.568518518518519,24,0.568518518518519,24
"97",0.9999,NA,0,NA,0,0,24,0,24
"98",0.9999,0.958333333333333,24,0.954545454545455,22,0.445849802371541,23,0.382608695652174,23
