"","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1",0.9999,1,24,1,24,0.444919278252612,24,0.444919278252612,24
"2",0.9999,1,24,1,24,0.958461538461538,24,0.958461538461538,24
"3",0.9999,1,24,1,24,0.923076923076923,24,0.923076923076923,24
"4",0.9999,1,24,1,24,0.918803418803419,24,0.918803418803419,24
"5",0.9999,1,24,1,24,0.785714285714286,24,0.785714285714286,24
"6",0.9999,1,24,1,24,0.549867724867725,24,0.549867724867725,24
"7",0.9999,1,24,1,24,0.958461538461538,24,0.958461538461538,24
"8",0.9999,NA,0,NA,0,0,24,0,24
"9",0.9999,1,24,1,24,0.896155830753354,24,0.896155830753354,24
"10",0.9999,1,24,1,24,0.923076923076923,24,0.923076923076923,24
"11",0.9999,1,24,1,24,0.979885057471264,24,0.979885057471264,24
"12",0.9999,1,24,1,24,0.5,24,0.5,24
"13",0.9999,1,24,1,24,0.82536231884058,24,0.82536231884058,24
"14",0.9999,1,24,1,24,0.753108260848199,24,0.753108260848199,24
"15",0.9999,1,24,1,24,0.923076923076923,24,0.923076923076923,24
"16",0.9999,1,24,1,24,0.914502164502164,24,0.914502164502164,24
"17",0.9999,1,24,1,24,0.923076923076923,24,0.923076923076923,24
"18",0.9999,1,24,1,24,0.981666666666667,24,0.981666666666667,24
"19",0.9999,1,24,1,24,0.994252873563218,24,0.994252873563218,24
"20",0.9999,1,24,1,24,1,24,1,24
"21",0.9999,NA,0,NA,0,0,24,0,24
"22",0.9999,1,24,1,24,0.754166666666667,24,0.754166666666667,24
"23",0.9999,1,24,1,24,0.921652421652422,24,0.921652421652422,24
"24",0.9999,1,24,1,24,0.73047138047138,24,0.73047138047138,24
"25",0.9999,1,24,1,24,0.941176470588235,24,0.941176470588235,24
"26",0.9999,1,24,1,24,1,24,1,24
"27",0.9999,1,24,1,24,0.902777777777778,24,0.902777777777778,24
"28",0.9999,1,24,1,24,0.5,24,0.5,24
"29",0.9999,1,24,1,24,0.766606280193237,24,0.766606280193237,24
"30",0.9999,1,24,1,24,0.766666666666667,24,0.766666666666667,24
"31",0.9999,1,24,1,24,0.600677100677101,24,0.600677100677101,24
"32",0.9999,1,24,1,24,0.893246187363834,24,0.893246187363834,24
"33",0.9999,1,24,1,24,0.658119658119658,24,0.658119658119658,24
"34",0.9999,1,24,1,24,1,24,1,24
"35",0.9999,1,24,1,24,0.555050505050505,24,0.555050505050505,24
"36",0.9999,1,24,1,24,0.958333333333333,24,0.958333333333333,24
"37",0.9999,1,24,1,24,0.858455882352941,24,0.858455882352941,24
"38",0.9999,1,24,1,24,0.952380952380952,24,0.952380952380952,24
"39",0.9999,1,24,1,24,0.96474358974359,24,0.96474358974359,24
"40",0.9999,1,24,1,24,0.846003898635478,24,0.846003898635478,24
"41",0.9999,1,24,1,24,0.888888888888889,24,0.888888888888889,24
"42",0.9999,1,24,1,24,0.982843137254902,24,0.982843137254902,24
"43",0.9999,1,24,1,24,0.817543859649123,24,0.817543859649123,24
"44",0.9999,1,24,1,24,1,24,1,24
"45",0.9999,1,24,1,24,0.896112831097351,24,0.896112831097351,24
"46",0.9999,1,24,1,24,0.857142857142857,24,0.857142857142857,24
"47",0.9999,1,24,1,24,0.857142857142857,24,0.857142857142857,24
"48",0.9999,1,24,1,24,0.96551724137931,24,0.96551724137931,24
"49",0.9999,0.916666666666667,24,0.95,20,0.476252723311547,24,0.366666666666667,24
"50",0.9999,1,24,1,24,0.705882352941177,24,0.705882352941177,24
"51",0.9999,1,24,1,24,0.82781862745098,24,0.82781862745098,24
"52",0.9999,1,24,1,24,0.84467228677755,24,0.84467228677755,24
"53",0.9999,0.958333333333333,24,0.954545454545455,22,0.811901709401709,24,0.745128205128205,24
"54",0.9999,1,24,1,24,0.98,24,0.98,24
"55",0.9999,1,24,1,24,0.897435897435897,24,0.897435897435897,24
"56",0.9999,1,24,1,24,0.954102564102564,24,0.954102564102564,24
"57",0.9999,1,24,1,24,0.888888888888889,24,0.888888888888889,24
"58",0.9999,0.958333333333333,24,0.954545454545455,22,0.745098039215686,24,0.684436274509804,24
