"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9999,0.981724048666839,115890,0.984764481307122,112369,0.161261321071441,288814,0.155982212746255,288814
"1.1","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.9995,0.981724048666839,115890,0.984764481307122,112369,0.161261321071441,288814,0.155982212746255,288814
"1.2","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.999,0.981857654958852,118838,0.984876749412163,115253,0.165801596259954,288814,0.16044799181143,288814
"1.3","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.995,0.982369672211146,143446,0.985154244879473,139097,0.211263330410429,288814,0.204803819934839,288814
"1.4","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.99,0.98151983257471,183007,0.984092821998904,177027,0.294572936333377,288814,0.285164840199568,288814
"1.5","Markov",10,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2",8,0.95,0.963438578473203,264842,0.966594456704391,246965,0.577845000248866,288814,0.541960855355462,288814
"11","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9999,0.981724048666839,115890,0.984764481307122,112369,0.156451517133086,290689,0.151337925807052,290689
"1.11","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.9995,0.981724048666839,115890,0.984764481307122,112369,0.156451517133086,290689,0.151337925807052,290689
"1.21","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.999,0.981857654958852,118838,0.984876749412163,115253,0.160872561701509,290689,0.155686701370146,290689
"1.31","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.995,0.982369672211146,143446,0.985154244879473,139097,0.205111869205617,290689,0.198852234748468,290689
"1.41","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.99,0.98151983257471,183007,0.984092821998904,177027,0.286065264475734,290689,0.276940306993985,290689
"1.51","Markov",10,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2",8,0.95,0.963438578473203,264842,0.966594456704391,246965,0.56134509418795,290689,0.526530077849543,290689
"12","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9999,0.982086461299508,115890,0.985040511575371,112437,0.154080313721803,291880,0.149161797840585,291880
"1.12","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.9995,0.982086461299508,115890,0.985040511575371,112437,0.154080313721803,291880,0.149161797840585,291880
"1.22","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.999,0.982211077264848,118838,0.985145810390128,115321,0.15845716439417,291880,0.153465783046415,291880
"1.32","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.995,0.982683379111303,143446,0.985384886219112,139171,0.201956708021197,291880,0.195909628487098,291880
"1.42","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.99,0.981831296070642,183007,0.984327540846629,177126,0.281520448986465,291880,0.272701857951495,291880
"1.52","Markov",10,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2",8,0.95,0.964367434168297,264842,0.967417796730058,247405,0.551600847124534,291880,0.518330893352053,291880
"13","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9999,0.981724048666839,115890,0.984764481307122,112369,0.153528454504218,292848,0.148513583409417,292848
"1.13","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.9995,0.981724048666839,115890,0.984764481307122,112369,0.153528454504218,292848,0.148513583409417,292848
"1.23","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.999,0.981857654958852,118838,0.984876749412163,115253,0.157873210211129,292848,0.152787238537845,292848
"1.33","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.995,0.982369672211146,143446,0.985154244879473,139097,0.20134643062244,292848,0.195206666375542,292848
"1.43","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.99,0.98151983257471,183007,0.984092821998904,177027,0.280828568558966,292848,0.271875534651716,292848
"1.53","Markov",10,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2",8,0.95,0.963438578473203,264842,0.966594456704391,246965,0.551117828053408,292848,0.51695074166275,292848
