"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,13,1,13,0.163014763014763,45,0.163014763014763,45
"2","1010508",0.9999,1,48,1,48,0.434469928219928,48,0.434469928219928,48
"3","1010540",0.9999,0.979166666666667,48,0.978260869565217,46,0.359106865356865,48,0.332321151071151,48
"4","1010562",0.9999,NA,0,NA,0,0,35,0,35
"5","1010567",0.9999,NA,0,NA,0,0,32,0,32
"6","1010611",0.9999,1,13,1,13,0.186682882335056,46,0.186682882335056,46
"7","1010614",0.9999,1,5,1,5,0.097167325428195,46,0.097167325428195,46
"8","1010690",0.9999,1,1,1,1,0.0216450216450216,42,0.0216450216450216,42
"9","1010714",0.9999,0.979166666666667,48,0.978260869565217,46,0.290939153439153,48,0.285383597883598,48
"10","1010723",0.9999,0.833333333333333,6,0.75,4,0.0603505291005291,48,0.0251322751322751,48
"11","1010730",0.9999,1,14,1,14,0.0904405779405779,48,0.0904405779405779,48
"12","1010794",0.9999,0.857142857142857,7,0.8,5,0.0905775075987842,47,0.070516717325228,47
"13","1013889",0.9999,NA,0,NA,0,0,48,0,48
"14","1013891",0.9999,1,4,1,4,0.0558608058608059,48,0.0558608058608059,48
"15","1013911",0.9999,1,6,1,6,0.0810962087557832,47,0.0810962087557832,47
"16","1013935",0.9999,NA,0,NA,0,0,48,0,48
"17","1013936",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"18","1013944",0.9999,0.944444444444444,18,0.941176470588235,17,0.277856894878172,47,0.261490282766879,47
"19","1013965",0.9999,1,14,1,14,0.219058719058719,48,0.219058719058719,48
"20","1013976",0.9999,NA,0,NA,0,0,48,0,48
"21","1013982",0.9999,1,2,1,2,0.0285714285714286,48,0.0285714285714286,48
"22","1013990",0.9999,1,4,1,4,0.0242673992673993,48,0.0242673992673993,48
"23","1014019",0.9999,0.9375,16,0.928571428571429,14,0.174389499389499,48,0.148595848595849,48
"24","1014046",0.9999,NA,0,NA,0,0,48,0,48
"25","1014048",0.9999,NA,0,NA,0,0,48,0,48
"26","1014056",0.9999,1,3,1,3,0.0376984126984127,48,0.0376984126984127,48
"27","1014060",0.9999,1,4,1,4,0.0436507936507936,48,0.0436507936507936,48
"28","1014077",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"29","1014094",0.9999,1,2,1,2,0.0238095238095238,48,0.0238095238095238,48
"30","1014096",0.9999,1,4,1,4,0.0618131868131868,48,0.0618131868131868,48
"31","1014098",0.9999,1,5,1,5,0.0364977614977615,48,0.0364977614977615,48
"32","1014119",0.9999,NA,0,NA,0,0,48,0,48
"33","1014128",0.9999,1,2,1,2,0.0256410256410256,48,0.0256410256410256,48
"34","1014150",0.9999,NA,0,NA,0,0,48,0,48
"35","1014155",0.9999,0.933333333333333,15,0.923076923076923,13,0.164476658093679,47,0.138134206219313,47
"36","1014163",0.9999,1,11,1,11,0.130952380952381,48,0.130952380952381,48
"37","1014164",0.9999,1,1,1,1,0.0138888888888889,48,0.0138888888888889,48
"38","1014172",0.9999,1,2,1,2,0.0200320512820513,48,0.0200320512820513,48
"39","1014213",0.9999,1,4,1,4,0.0315934065934066,48,0.0315934065934066,48
"40","1014271",0.9999,1,7,1,7,0.0591908091908092,48,0.0591908091908092,48
"41","1014286",0.9999,1,1,1,1,0.0138888888888889,48,0.0138888888888889,48
"42","1014294",0.9999,NA,0,NA,0,0,48,0,48
"43","1014302",0.9999,NA,0,NA,0,0,48,0,48
"44","1014304",0.9999,1,4,1,4,0.0400793650793651,48,0.0400793650793651,48
"45","1014307",0.9999,1,5,1,5,0.0163308913308913,48,0.0163308913308913,48
"46","1014312",0.9999,1,1,1,1,0.00462962962962963,48,0.00462962962962963,48
"47","1014361",0.9999,NA,0,NA,0,0,48,0,48
"48","1014363",0.9999,1,10,1,10,0.130456349206349,48,0.130456349206349,48
"49","1014365",0.9999,1,9,1,9,0.144421550671551,48,0.144421550671551,48
"50","1014371",0.9999,0.777777777777778,9,0.833333333333333,6,0.0934065934065934,48,0.0625,48
"51","1014403",0.9999,0.777777777777778,9,0.857142857142857,7,0.0879120879120879,48,0.0750915750915751,48
"52","1014420",0.9999,NA,0,NA,0,0,48,0,48
"53","1014435",0.9999,1,4,1,4,0.056547619047619,48,0.056547619047619,48
"54","1014447",0.9999,1,6,1,6,0.0815434565434565,48,0.0815434565434565,48
"55","1014469",0.9999,NA,0,NA,0,0,48,0,48
"56","1014484",0.9999,NA,0,NA,0,0,48,0,48
"57","1014493",0.9999,1,9,1,9,0.101953601953602,48,0.101953601953602,48
"58","1014550",0.9999,1,9,1,9,0.0371066433566434,48,0.0371066433566434,48
"59","1014566",0.9999,1,3,1,3,0.0194805194805195,48,0.0194805194805195,48
"60","1014582",0.9999,NA,0,NA,0,0,48,0,48
"61","1014593",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"62","1014600",0.9999,1,2,1,2,0.00714285714285714,48,0.00714285714285714,48
"63","1014610",0.9999,1,9,1,9,0.0625208125208125,48,0.0625208125208125,48
"64","1014611",0.9999,1,10,1,10,0.128094128094128,48,0.128094128094128,48
"65","1014612",0.9999,1,1,1,1,0.0119047619047619,48,0.0119047619047619,48
"66","1014627",0.9999,NA,0,NA,0,0,48,0,48
"67","1014653",0.9999,0.8,5,0.666666666666667,3,0.0652173913043478,46,0.0347826086956522,46
"68","1014655",0.9999,NA,0,NA,0,0,47,0,47
"69","1014660",0.9999,0.958333333333333,48,0.954545454545455,44,0.397645063270063,48,0.329608932733933,48
"70","1014685",0.9999,0.714285714285714,7,0.5,4,0.0569169960474308,46,0.0197628458498024,46
"71","1014696",0.9999,0.977272727272727,44,0.976190476190476,42,0.516236078736079,48,0.503415565915566,48
"72","1014697",0.9999,NA,0,NA,0,0,48,0,48
"73","1014721",0.9999,1,48,1,48,0.133730158730159,48,0.133730158730159,48
"74","1014734",0.9999,1,7,1,7,0.0716269841269841,48,0.0716269841269841,48
"75","1014736",0.9999,0.976744186046512,43,0.975609756097561,41,0.364351851851852,48,0.349200336700337,48
"76","1014746",0.9999,1,6,1,6,0.102020202020202,45,0.102020202020202,45
"77","1014794",0.9999,0.928571428571429,14,0.916666666666667,12,0.0762085137085137,48,0.0601828726828727,48
"78","1014804",0.9999,1,4,1,4,0.0173114119922631,47,0.0173114119922631,47
"79","1014822",0.9999,1,13,1,13,0.16967846967847,48,0.16967846967847,48
"80","1014853",0.9999,NA,0,NA,0,0,44,0,44
"81","1014858",0.9999,0.727272727272727,11,0.6,5,0.0767676767676768,44,0.0191919191919192,44
"82","1014873",0.9999,NA,0,NA,0,0,40,0,40
"83","1014876",0.9999,NA,0,NA,0,0,43,0,43
"84","1014881",0.9999,0.888888888888889,9,0.857142857142857,7,0.0591880341880342,48,0.0472832722832723,48
"85","1014887",0.9999,1,15,1,15,0.130430402930403,40,0.130430402930403,40
"86","1014890",0.9999,0.954545454545455,22,0.954545454545455,22,0.28872915702184,41,0.28872915702184,41
"87","1014892",0.9999,0.8,10,0.666666666666667,6,0.0819064656273959,43,0.0471760797342193,43
"88","1014905",0.9999,0.75,4,0.75,4,0.02997002997003,44,0.02997002997003,44
"89","1014964",0.9999,0.9,20,0.875,16,0.18431662899748,47,0.136061102018549,47
"90","1015048",0.9999,NA,0,NA,0,0,48,0,48
"91","1015164",0.9999,0.978260869565217,46,0.977272727272727,44,0.567742327117327,48,0.531283993783994,48
"92","1015170",0.9999,1,48,1,48,0.270459401709402,48,0.270459401709402,48
"93","1015176",0.9999,0.958333333333333,48,0.954545454545455,44,0.354722360972361,48,0.296389027639028,48
"94","1015199",0.9999,0.979166666666667,48,0.978260869565217,46,0.433655464905465,48,0.423238798238798,48
"95","1015204",0.9999,0.979166666666667,48,0.978260869565217,46,0.395124088874089,48,0.379098447848448,48
"96","1015242",0.9999,0.958333333333333,48,0.977272727272727,44,0.454633676508677,48,0.438608035483036,48
"97","1015259",0.9999,1,12,1,12,0.136880510793554,46,0.136880510793554,46
"98","1015271",0.9999,0.85,20,0.8,15,0.142973210364515,46,0.098177426438296,46
"99","1015283",0.9999,1,12,1,12,0.18657937806874,47,0.18657937806874,47
"100","1015295",0.9999,1,24,1,24,0.166571391571392,48,0.166571391571392,48
"101","1015303",0.9999,0.979166666666667,48,0.978260869565217,46,0.477022514522514,48,0.467140035890036,48
"102","1015323",0.9999,0.9,10,0.875,8,0.122571872571873,48,0.0908119658119658,48
"103","1015390",0.9999,0.95,20,0.947368421052632,19,0.307692307692308,48,0.291666666666667,48
"104","1015398",0.9999,0.95,20,0.947368421052632,19,0.0863215488215488,48,0.0821548821548822,48
"105","1015412",0.9999,1,24,1,24,0.114275192400192,48,0.114275192400192,48
"106","1015414",0.9999,1,48,1,48,0.63340293965294,48,0.63340293965294,48
"107","1015430",0.9999,0.953488372093023,43,0.975,40,0.418640040515041,48,0.400782897657898,48
"108","1015431",0.9999,1,5,1,5,0.0490079365079365,48,0.0490079365079365,48
"109","1015434",0.9999,NA,0,NA,0,0,38,0,38
"110","1015435",0.9999,1,48,1,48,0.422107753357753,48,0.422107753357753,48
"111","1015441",0.9999,1,1,1,1,0.037037037037037,27,0.037037037037037,27
"112","1015455",0.9999,0.979166666666667,48,0.978260869565217,46,0.327391127391127,48,0.31502849002849,48
"113","1015481",0.9999,0.769230769230769,13,0.75,8,0.140651412079983,42,0.085549371263657,42
"114","1015497",0.9999,1,48,1,48,0.281691803566804,48,0.281691803566804,48
"115","1015521",0.9999,0,1,0,1,0,34,0,34
"116","1015525",0.9999,0.975609756097561,41,0.974358974358974,39,0.223157929540908,47,0.214799266926926,47
"117","1015542",0.9999,1,8,1,8,0.0920454545454545,48,0.0920454545454545,48
"118","1015562",0.9999,0.944444444444444,18,0.9375,16,0.209779687904688,48,0.201362179487179,48
"119","1015566",0.9999,0.857142857142857,14,0.909090909090909,11,0.15988085988086,48,0.133029008029008,48
"120","1015574",0.9999,0.96,25,0.956521739130435,23,0.210973224306558,45,0.178380631713965,45
"121","1015575",0.9999,1,2,1,2,0.025531914893617,47,0.025531914893617,47
"122","1015586",0.9999,1,48,1,48,0.467096560846561,48,0.467096560846561,48
"123","1015594",0.9999,1,1,1,1,0.0166666666666667,48,0.0166666666666667,48
"124","1015597",0.9999,1,48,1,48,0.550764513264513,48,0.550764513264513,48
"125","1015621",0.9999,0.875,8,0.833333333333333,6,0.100303951367781,47,0.073758865248227,47
"126","1015626",0.9999,1,48,1,48,0.133959096459096,48,0.133959096459096,48
"127","1015651",0.9999,1,48,1,48,0.8,48,0.8,48
"128","1015673",0.9999,NA,0,NA,0,0,43,0,43
"129","1015680",0.9999,0.8,5,0.666666666666667,3,0.0586080586080586,48,0.0297619047619048,48
"130","1015683",0.9999,1,48,1,48,0.133928571428571,48,0.133928571428571,48
"131","1015691",0.9999,1,10,1,10,0.132659932659933,45,0.132659932659933,45
"132","1016",0.9999,0.833333333333333,6,0.75,4,0.0404938271604938,45,0.022716049382716,45
"133","1016028",0.9999,0.9,10,0.875,8,0.101083313849271,47,0.0758319694489907,47
"134","1016045",0.9999,0.916666666666667,12,0.909090909090909,11,0.0936722999222999,48,0.0763111888111888,48
"135","1016091",0.9999,1,10,1,10,0.114178876678877,48,0.114178876678877,48
"136","1016100",0.9999,1,10,1,10,0.110381108253449,47,0.110381108253449,47
"137","1016137",0.9999,0.979166666666667,48,0.978260869565217,46,0.221129796129796,48,0.20976615976616,48
"138","1016185",0.9999,1,48,1,48,0.335069444444444,48,0.335069444444444,48
"139","1016200",0.9999,NA,0,NA,0,0,42,0,42
"140","1016236",0.9999,0.75,4,0.666666666666667,3,0.0223081882656351,47,0.0180528691166989,47
"141","1016238",0.9999,1,9,1,9,0.0357707509881423,46,0.0357707509881423,46
"142","1016271",0.9999,0.848484848484849,33,0.925925925925926,27,0.241941150636803,46,0.226723759332455,46
"143","1016290",0.9999,0.976744186046512,43,0.975609756097561,41,0.538860676360676,48,0.519380156880157,48
"144","1016319",0.9999,1,1,1,1,0.0148809523809524,48,0.0148809523809524,48
"145","1016323",0.9999,0.923076923076923,13,0.909090909090909,11,0.0899799963629751,47,0.0768867066739407,47
"146","1016328",0.9999,1,5,1,5,0.0734126984126984,48,0.0734126984126984,48
"147","1016338",0.9999,1,48,1,48,0.8,48,0.8,48
"148","1016339",0.9999,1,2,1,2,0.0388888888888889,48,0.0388888888888889,48
"149","1016362",0.9999,1,10,1,10,0.123799348799349,48,0.123799348799349,48
"150","1016365",0.9999,1,4,1,4,0.0777777777777778,48,0.0777777777777778,48
"151","1016379",0.9999,NA,0,NA,0,0,48,0,48
"152","1016383",0.9999,0.5,4,0.5,2,0.0402777777777778,48,0.0194444444444444,48
"153","1016388",0.9999,1,5,1,5,0.0888888888888889,48,0.0888888888888889,48
"154","1016391",0.9999,NA,0,NA,0,NA,0,NA,0
"155","1016395",0.9999,NA,0,NA,0,0,48,0,48
"156","1016421",0.9999,1,48,1,48,0.653535816035816,48,0.653535816035816,48
"157","1016426",0.9999,0.979166666666667,48,0.978260869565217,46,0.597131572131572,48,0.574115699115699,48
"158","1016471",0.9999,1,9,1,9,0.132837375390567,47,0.132837375390567,47
"159","1016486",0.9999,1,14,1,14,0.153846153846154,47,0.153846153846154,47
"160","1016488",0.9999,0.958333333333333,48,0.954545454545455,44,0.443055555555556,48,0.412752525252525,48
"161","1016493",0.9999,0.777777777777778,9,0.833333333333333,6,0.111347517730496,47,0.0943262411347518,47
"162","1016494",0.9999,0.916666666666667,12,0.9,10,0.102356902356902,48,0.0606902356902357,48
