"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.9999,0.942940984675579,33737,0.949988670572622,30893,0.221232417397412,70378,0.203396847783588,70378
"1.1","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.9995,0.942940984675579,33737,0.949988670572622,30893,0.221232417397412,70378,0.203396847783588,70378
"1.2","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.999,0.942857142857143,33775,0.949938555074057,30922,0.22166821498715,70378,0.203766034897212,70378
"1.3","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.995,0.941728621867555,34837,0.949041182018233,31810,0.231202663191353,70378,0.212242338559512,70378
"1.4","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.99,0.940068255597791,36041,0.947564286367935,32783,0.242370009411556,70378,0.221868724374479,70378
"1.5","Markov",40,1,"max",0.99,"fixed","fixed",6.25,2000,3,"1,2","max_size",8,0.95,0.924824218354238,49351,0.934752002215708,43327,0.374394260953271,70378,0.333131826131059,70378
"11","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.11","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.942940984675579,33737,0.949988670572622,30893,0.212268357824935,71478,0.195186219514106,71478
"1.21","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.942857142857143,33775,0.949938555074057,30922,0.212688317994194,71478,0.195541747409131,71478
"1.31","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.941728621867555,34837,0.949041182018233,31810,0.221845176638445,71478,0.203683866767265,71478
"1.41","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.940068255597791,36041,0.947564286367935,32783,0.232566097902676,71478,0.212933338869804,71478
"1.51","Markov",40,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.924824218354238,49351,0.934752002215708,43327,0.359269143350815,71478,0.319735332419074,71478
"12","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.943859857130154,33737,0.950775694893342,30940,0.208086004871518,72115,0.191705734641759,72115
"1.12","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.943859857130154,33737,0.950775694893342,30940,0.208086004871518,72115,0.191705734641759,72115
"1.22","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.943774981495189,33775,0.950724918466854,30969,0.208504687593382,72115,0.192060953530137,72115
"1.32","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.942618480351351,34837,0.94980694980695,31857,0.217448398138632,72115,0.200023680394744,72115
"1.42","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.940956133292639,36041,0.948343079922027,32832,0.22791572189046,72115,0.209051509898386,72115
"1.52","Markov",40,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.925918421105955,49351,0.935733536037592,43413,0.352047796476218,72115,0.313950472495775,72115
"13","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.9999,0.942940984675579,33737,0.949988670572622,30893,0.206363171171068,72617,0.189767487555458,72617
"1.13","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.9995,0.942940984675579,33737,0.949988670572622,30893,0.206363171171068,72617,0.189767487555458,72617
"1.23","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.999,0.942857142857143,33775,0.949938555074057,30922,0.2067740910893,72617,0.190115541954109,72617
"1.33","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.995,0.941728621867555,34837,0.949041182018233,31810,0.215674431372275,72617,0.198031581605078,72617
"1.43","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.99,0.940068255597791,36041,0.947564286367935,32783,0.226097343704871,72617,0.207026242976033,72617
"1.53","Markov",40,1,"max",0.99,"fixed","fixed",1.5625,2000,3,"1,2","max_size",8,0.95,0.924824218354238,49351,0.934752002215708,43327,0.349295631977495,72617,0.310895901078251,72617
