"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9999,0.952148518982061,47940,0.958246017260416,44379,0.233381136657483,94339,0.2169219883088,94339
"1.1","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9997,0.949759711653985,49940,0.956310996152759,46007,0.248179189909056,94339,0.229741280612724,94339
"1.2","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.9995,0.948747085676221,51041,0.955368941557611,46918,0.256513113042435,94339,0.237034342198804,94339
"1.3","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.999,0.946301235128336,52869,0.95323450970663,48369,0.270000913288865,94339,0.248519778386184,94339
"1.4","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.997,0.941102756892231,56658,0.94879494579206,51284,0.299956641547517,94339,0.273870898654389,94339
"1.5","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.995,0.937432286023835,59072,0.945553231186747,53061,0.319108395885662,94339,0.289571254128854,94339
"1.6","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.99,0.931348156130648,63101,0.94001144001144,55944,0.352324035129482,94339,0.316061576105157,94339
"1.7","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.97,0.916920923722883,71450,0.926435173131997,61456,0.427189606202838,94339,0.373366755144786,94339
"1.8","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","max_size",0.95,0.905385696829547,76109,0.915449750356075,63891,0.472315513226006,94339,0.404699951820999,94339
"11","Multinomial(max.avg.min.sd.median)",30,1,"max",0.99,"fixed",3.125,2000,3,"1,2","2_jobs",0.9999,0.96528994576554,47940,0.968265420399724,46432,0.242828681431385,94339,0.2357588473657,94339
