"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,7,1,7,0.111048371917937,23,0.111048371917937,23
"2","1010508",0.9999,1,25,1,25,0.391492736503263,25,0.391492736503263,25
"3","1010540",0.9999,0.96,25,0.96,25,0.463489191607862,25,0.463489191607862,25
"4","1010562",0.9999,NA,0,NA,0,0,13,0,13
"5","1010567",0.9999,NA,0,NA,0,0,14,0,14
"6","1010611",0.9999,1,8,1,8,0.127560186848724,22,0.127560186848724,22
"7","1010614",0.9999,1,5,1,5,0.192472933493727,23,0.192472933493727,23
"8","1010690",0.9999,NA,0,NA,0,0,21,0,21
"9","1010714",0.9999,0.92,25,0.92,25,0.308587756376481,25,0.308587756376481,25
"10","1010723",0.9999,0.75,4,0.75,4,0.0723363965469229,25,0.0723363965469229,25
"11","1010730",0.9999,0.916666666666667,12,0.916666666666667,12,0.0999826728204855,25,0.0999826728204855,25
"12","1010794",0.9999,0.666666666666667,3,0.666666666666667,3,0.0689655172413793,24,0.0689655172413793,24
"13","1013889",0.9999,NA,0,NA,0,0,25,0,25
"14","1013891",0.9999,1,4,1,4,0.110687830687831,25,0.110687830687831,25
"15","1013911",0.9999,1,2,1,2,0.0465608465608466,25,0.0465608465608466,25
"16","1013935",0.9999,1,2,1,2,0.0540689655172414,25,0.0540689655172414,25
"17","1013936",0.9999,NA,0,NA,0,0,25,0,25
"18","1013944",0.9999,0.7,10,0.6,5,0.21494708994709,24,0.0914902998236332,24
"19","1013965",0.9999,1,10,1,10,0.286634460547504,25,0.286634460547504,25
"20","1013976",0.9999,NA,0,NA,0,0,25,0,25
"21","1013982",0.9999,1,3,1,3,0.0746141215106732,25,0.0746141215106732,25
"22","1013990",0.9999,NA,0,NA,0,0,25,0,25
"23","1014019",0.9999,0.5,2,0.5,2,0.0275862068965517,25,0.0275862068965517,25
"24","1014046",0.9999,NA,0,NA,0,0,25,0,25
"25","1014048",0.9999,NA,0,NA,0,0,25,0,25
"26","1014056",0.9999,0.666666666666667,3,0.666666666666667,3,0.0334975369458128,25,0.0334975369458128,25
"27","1014060",0.9999,1,1,1,1,0.0220689655172414,25,0.0220689655172414,25
