"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.944444444444444,18,0.9375,16,0.148929378370168,48,0.131883923824713,48
"2","1010508",0.9999,0.98,50,0.979166666666667,48,0.473494306591789,50,0.458406587293544,50
"3","1010540",0.9999,0.96,50,0.957446808510638,47,0.537888922482926,50,0.50223975683376,50
"4","1010562",0.9999,0,1,0,1,0,38,0,38
"5","1010567",0.9999,1,1,1,1,0.00840336134453781,34,0.00840336134453781,34
"6","1010611",0.9999,0.941176470588235,17,0.9375,16,0.220497838645287,46,0.207265324467593,46
"7","1010614",0.9999,0.923076923076923,13,0.909090909090909,11,0.159995466013773,48,0.145508286526593,48
"8","1010690",0.9999,0.75,4,0.5,2,0.0243741765480896,46,0.0072463768115942,46
"9","1010714",0.9999,0.96,50,0.958333333333333,48,0.362655945202272,50,0.344591429073239,50
"10","1010723",0.9999,0.941176470588235,17,0.9375,16,0.0632921261973894,50,0.0573662002714634,50
"11","1010730",0.9999,1,50,1,50,0.379908906165246,50,0.379908906165246,50
"12","1010794",0.9999,0.88,25,0.9,20,0.357975982384055,49,0.319788102751032,49
"13","1013889",0.9999,1,6,1,6,0.0626250684181719,50,0.0626250684181719,50
"14","1013891",0.9999,1,22,1,22,0.29309615033753,50,0.29309615033753,50
"15","1013911",0.9999,1,11,1,11,0.0611681251811069,50,0.0611681251811069,50
"16","1013935",0.9999,1,3,1,3,0.0399428571428571,50,0.0399428571428571,50
"17","1013936",0.9999,0.958333333333333,48,0.955555555555556,45,0.62554643313264,50,0.590246305418719,50
"18","1013944",0.9999,1,3,1,3,0.0396640396640397,49,0.0396640396640397,49
"19","1013965",0.9999,1,2,1,2,0.0294088669950739,50,0.0294088669950739,50
"20","1013976",0.9999,1,5,1,5,0.0265079365079365,50,0.0265079365079365,50
"21","1013982",0.9999,1,19,1,19,0.244017585560235,50,0.244017585560235,50
"22","1013990",0.9999,NA,0,NA,0,0,50,0,50
"23","1014019",0.9999,1,19,1,19,0.144560216284354,50,0.144560216284354,50
"24","1014046",0.9999,1,37,1,37,0.531651888341544,50,0.531651888341544,50
"25","1014048",0.9999,NA,0,NA,0,0,50,0,50
"26","1014056",0.9999,0.972972972972973,37,0.971428571428571,35,0.197414158000365,50,0.183621054552089,50
"27","1014060",0.9999,NA,0,NA,0,0,50,0,50
"28","1014077",0.9999,0.91304347826087,23,0.95,20,0.366009852216749,50,0.328866995073892,50
"29","1014094",0.9999,0.91304347826087,23,0.894736842105263,19,0.225466155810983,50,0.198323298668126,50
"30","1014096",0.9999,1,11,1,11,0.169726327312534,50,0.169726327312534,50
"31","1014098",0.9999,0.96,50,0.958333333333333,48,0.578179430945153,49,0.554855815784803,49
"32","1014119",0.9999,1,2,1,2,0.0139901477832512,50,0.0139901477832512,50
"33","1014128",0.9999,1,5,1,5,0.0456347826086956,50,0.0456347826086956,50
"34","1014150",0.9999,1,13,1,13,0.11544061302682,50,0.11544061302682,50
"35","1014155",0.9999,1,2,1,2,0.0174293319812397,49,0.0174293319812397,49
"36","1014163",0.9999,0.942857142857143,35,0.935483870967742,31,0.256551736829998,50,0.223324223602484,50
"37","1014164",0.9999,1,23,1,23,0.209690786352855,50,0.209690786352855,50
"38","1014172",0.9999,1,28,1,28,0.0500168868168868,50,0.0500168868168868,50
"39","1014213",0.9999,1,4,1,4,0.028551724137931,50,0.028551724137931,50
"40","1014271",0.9999,1,26,1,26,0.112393089169701,50,0.112393089169701,50
"41","1014286",0.9999,0.875,8,0.833333333333333,6,0.0879047619047619,50,0.064,50
"42","1014294",0.9999,1,29,1,29,0.506252873563218,50,0.506252873563218,50
