"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.999,0.9375,32,0.928571428571429,28,0.352574005884702,31,0.285125325532796,31
"2","1010508",0.999,1,28,1,28,0.216810603391631,33,0.216810603391631,33
"3","1010540",0.999,0.939393939393939,33,0.935483870967742,31,0.56044919745377,33,0.5240534943914,33
"4","1010562",0.999,NA,0,NA,0,0,21,0,21
"5","1010567",0.999,NA,0,NA,0,0,19,0,19
"6","1010611",0.999,0.878787878787879,33,0.892857142857143,28,0.283821581309351,29,0.242681312283025,29
"7","1010614",0.999,0.909090909090909,33,0.888888888888889,27,0.362568585739724,31,0.247171097533681,31
"8","1010690",0.999,1,1,1,1,0.00383141762452107,29,0.00383141762452107,29
"9","1010714",0.999,0.96969696969697,33,0.967741935483871,31,0.440594165411506,33,0.407358583788828,33
"10","1010723",0.999,1,5,1,5,0.0213675213675214,33,0.0213675213675214,33
"11","1010730",0.999,1,33,1,33,0.231280336644604,33,0.231280336644604,33
"12","1010794",0.999,0.875,32,0.962962962962963,27,0.694102160469305,32,0.660696988055511,32
"13","1013889",0.999,1,32,1,32,0.213145251938355,33,0.213145251938355,33
"14","1013891",0.999,1,33,1,33,0.223283097970754,33,0.223283097970754,33
"15","1013911",0.999,0.928571428571429,14,0.916666666666667,12,0.0936914298983264,33,0.0777188966844139,33
"16","1013935",0.999,1,33,1,33,0.206262777702058,33,0.206262777702058,33
"17","1013936",0.999,1,33,1,33,0.270838654746701,33,0.270838654746701,33
"18","1013944",0.999,0.967741935483871,31,0.96551724137931,29,0.12681420790257,32,0.119780732119094,32
"19","1013965",0.999,1,33,1,33,0.193816981491326,33,0.193816981491326,33
"20","1013976",0.999,1,30,1,30,0.121401539159238,33,0.121401539159238,33
"21","1013982",0.999,1,32,1,32,0.197150990252789,33,0.197150990252789,33
"22","1013990",0.999,1,33,1,33,0.22649152215619,33,0.22649152215619,33
"23","1014019",0.999,1,33,1,33,0.161443219499646,33,0.161443219499646,33
"24","1014046",0.999,1,33,1,33,0.210359181048836,33,0.210359181048836,33
"25","1014048",0.999,1,33,1,33,0.245409762651142,33,0.245409762651142,33
"26","1014056",0.999,1,33,1,33,0.264357864357864,33,0.264357864357864,33
"27","1014060",0.999,1,33,1,33,0.232627831938177,33,0.232627831938177,33
"28","1014077",0.999,1,33,1,33,0.242512315270936,33,0.242512315270936,33
"29","1014094",0.999,0.96969696969697,33,0.96875,32,0.181943628181873,33,0.180861377099622,33
"30","1014096",0.999,1,33,1,33,0.175072841164795,33,0.175072841164795,33
"31","1014098",0.999,1,33,1,33,0.236974431707328,33,0.236974431707328,33
"32","1014119",0.999,1,33,1,33,0.217569786535304,33,0.217569786535304,33
"33","1014128",0.999,1,33,1,33,0.140577285643162,33,0.140577285643162,33
"34","1014150",0.999,1,33,1,33,0.405893387157755,33,0.405893387157755,33
"35","1014155",0.999,0.909090909090909,11,0.888888888888889,9,0.0288210978835979,32,0.026588955026455,32
"36","1014163",0.999,1,32,1,32,0.175162749693866,33,0.175162749693866,33
"37","1014164",0.999,1,33,1,33,0.184233909981036,33,0.184233909981036,33
"38","1014172",0.999,1,8,1,8,0.0180174258962138,33,0.0180174258962138,33
"39","1014213",0.999,1,22,1,22,0.088385471875545,33,0.088385471875545,33
"40","1014271",0.999,1,33,1,33,0.261793526036405,33,0.261793526036405,33
"41","1014286",0.999,0.96969696969697,33,0.967741935483871,31,0.3633739823395,33,0.348222467187984,33
"42","1014294",0.999,1,33,1,33,0.628437080161218,33,0.628437080161218,33
"43","1014302",0.999,1,33,1,33,0.180085796783811,33,0.180085796783811,33
"44","1014304",0.999,1,33,1,33,0.244799776638857,33,0.244799776638857,33
"45","1014307",0.999,1,33,1,33,0.204371452302487,33,0.204371452302487,33
"46","1014312",0.999,1,33,1,33,0.241884608188298,33,0.241884608188298,33
"47","1014361",0.999,1,33,1,33,0.494640789601264,33,0.494640789601264,33
"48","1014363",0.999,1,33,1,33,0.423970403894646,33,0.423970403894646,33
"49","1014365",0.999,1,33,1,33,0.468773049002934,33,0.468773049002934,33
"50","1014371",0.999,1,33,1,33,0.495623261740203,33,0.495623261740203,33
"51","1014403",0.999,0.966666666666667,30,0.964285714285714,28,0.233962794046389,33,0.216721414736044,33
"52","1014420",0.999,1,33,1,33,0.362985354364665,33,0.362985354364665,33
"53","1014435",0.999,1,33,1,33,0.269712475302862,33,0.269712475302862,33
"54","1014447",0.999,1,33,1,33,0.159470293822436,33,0.159470293822436,33
"55","1014469",0.999,1,33,1,33,0.190347270284574,33,0.190347270284574,33
"56","1014484",0.999,0.96969696969697,33,0.96969696969697,33,0.208708915605467,33,0.208708915605467,33
"57","1014493",0.999,1,33,1,33,0.214817029479925,33,0.214817029479925,33
"58","1014550",0.999,1,3,1,3,0.014323499171984,33,0.014323499171984,33
"59","1014566",0.999,1,31,1,31,0.167574177841771,33,0.167574177841771,33
"60","1014582",0.999,1,33,1,33,0.317957904164801,33,0.317957904164801,33
"61","1014593",0.999,1,33,1,33,0.228274598964254,33,0.228274598964254,33
"62","1014600",0.999,0.928571428571429,28,0.916666666666667,24,0.189364561438524,33,0.161788803862767,33
"63","1014610",0.999,1,29,1,29,0.202758053392736,33,0.202758053392736,33
"64","1014611",0.999,1,30,1,30,0.131321785104212,33,0.131321785104212,33
"65","1014612",0.999,1,33,1,33,0.228913381212232,33,0.228913381212232,33
"66","1014627",0.999,0.96875,32,0.966666666666667,30,0.177701536437169,33,0.164714523450156,33
"67","1014653",0.999,0.939393939393939,33,0.931034482758621,29,0.300147579693034,33,0.250418142463597,33
"68","1014655",0.999,0.967741935483871,31,0.96551724137931,29,0.181918684967884,33,0.163259874642407,33
"69","1014660",0.999,0.909090909090909,33,0.896551724137931,29,0.646742780227629,33,0.562261150745999,33
"70","1014685",0.999,0.896551724137931,29,0.869565217391304,23,0.357042485056223,32,0.264712939601678,32
"71","1014696",0.999,0.96969696969697,33,0.967741935483871,31,0.502836526843704,33,0.493512517519695,33
"72","1014697",0.999,1,33,1,33,0.513598091022333,33,0.513598091022333,33
"73","1014721",0.999,0.96969696969697,33,0.96875,32,0.686012837736976,33,0.656719908444046,33
"74","1014734",0.999,1,33,1,33,0.311939127280858,33,0.311939127280858,33
"75","1014736",0.999,0.96875,32,0.966666666666667,30,0.230977291514009,33,0.227024722344048,33
"76","1014746",0.999,0.903225806451613,31,0.92,25,0.416135140698296,31,0.342914037900425,31
"77","1014794",0.999,0.818181818181818,11,0.875,8,0.106940055875228,33,0.0522578959299102,33
"78","1014804",0.999,NA,0,NA,0,0,32,0,32
"79","1014822",0.999,1,2,1,2,0.00468975468975469,33,0.00468975468975469,33
"80","1014853",0.999,0.875,8,0.833333333333333,6,0.0391120422760756,29,0.0276177894025124,29
"81","1014858",0.999,0.933333333333333,15,0.933333333333333,15,0.150516492207743,31,0.150516492207743,31
"82","1014873",0.999,NA,0,NA,0,0,26,0,26
"83","1014876",0.999,1,16,1,16,0.10517647728948,30,0.10517647728948,30
"84","1014881",0.999,0.96969696969697,33,0.96969696969697,33,0.333615893720966,33,0.333615893720966,33
"85","1014887",0.999,0.909090909090909,11,0.888888888888889,9,0.0425256287798546,27,0.0355269059190628,27
"86","1014890",0.999,0.888888888888889,18,0.933333333333333,15,0.274082112468812,28,0.2332657859382,28
"87","1014892",0.999,0.875,8,0.875,8,0.0196740254211519,30,0.0196740254211519,30
"88","1014905",0.999,0.8,5,0.666666666666667,3,0.0240399385560676,31,0.0155913978494624,31
"89","1014964",0.999,1,30,1,30,0.332474355188738,32,0.332474355188738,32
"90","1015048",0.999,0.96969696969697,33,0.967741935483871,31,0.57265489870753,33,0.535079141131773,33
"91","1015164",0.999,0.939393939393939,33,0.966666666666667,30,0.556917911661855,33,0.518811281449962,33
"92","1015170",0.999,1,33,1,33,0.580924260924261,33,0.580924260924261,33
"93","1015176",0.999,0.964285714285714,28,0.961538461538462,26,0.227913621523981,33,0.184066054949142,33
"94","1015199",0.999,1,28,1,28,0.282349194070948,33,0.282349194070948,33
"95","1015204",0.999,0.96969696969697,33,0.967741935483871,31,0.440726502429401,33,0.400041878411444,33
"96","1015242",0.999,0.909090909090909,33,0.928571428571429,28,0.572943561966086,33,0.483976972999497,33
"97","1015259",0.999,0.9375,32,0.928571428571429,28,0.334003998265458,31,0.283731689928634,31
"98","1015271",0.999,0.939393939393939,33,0.931034482758621,29,0.352497305066475,33,0.290321196151236,33
"99","1015283",0.999,0.9,30,0.958333333333333,24,0.246321729257585,32,0.180071729257585,32
"100","1015295",0.999,1,10,1,10,0.0571443532313098,33,0.0571443532313098,33
"101","1015303",0.999,0.96875,32,0.966666666666667,30,0.515257236319586,33,0.50251618948763,33
"102","1015323",0.999,1,33,1,33,0.550107517422544,33,0.550107517422544,33
"103","1015390",0.999,1,33,1,33,0.586033194167165,33,0.586033194167165,33
"104","1015398",0.999,0.952380952380952,21,0.947368421052632,19,0.178582390668319,33,0.155855117941047,33
"105","1015412",0.999,1,16,1,16,0.103185961446586,33,0.103185961446586,33
"106","1015414",0.999,1,33,1,33,0.637251370123224,33,0.637251370123224,33
"107","1015430",0.999,1,33,1,33,0.372759372472291,33,0.372759372472291,33
"108","1015431",0.999,1,5,1,5,0.0214285714285714,33,0.0214285714285714,33
"109","1015434",0.999,NA,0,NA,0,0,30,0,30
"110","1015435",0.999,0.96969696969697,33,0.967741935483871,31,0.620008573801677,33,0.577862979931945,33
"111","1015441",0.999,NA,0,NA,0,0,25,0,25
"112","1015455",0.999,0.939393939393939,33,0.931034482758621,29,0.572267238933906,33,0.505519172185839,33
"113","1015481",0.999,1,5,1,5,0.0175170068027211,28,0.0175170068027211,28
"114","1015497",0.999,1,20,1,20,0.182182053438738,33,0.182182053438738,33
"115","1015521",0.999,1,2,1,2,0.0139901477832512,25,0.0139901477832512,25
"116","1015525",0.999,0.96875,32,0.966666666666667,30,0.281602091472473,32,0.260387113024197,32
"117","1015542",0.999,0.96969696969697,33,0.96875,32,0.437299806188926,33,0.418854483395777,33
"118","1015562",0.999,0.878787878787879,33,0.84,25,0.364095273699833,33,0.247387066082535,33
"119","1015566",0.999,0.96969696969697,33,0.967741935483871,31,0.403746277222458,33,0.381707709729345,33
"120","1015574",0.999,0.909090909090909,33,0.888888888888889,27,0.437215915606009,30,0.367771471161564,30
"121","1015575",0.999,0.909090909090909,33,0.933333333333333,30,0.2768525592055,33,0.251888634241575,33
"122","1015586",0.999,1,33,1,33,0.647315257841574,33,0.647315257841574,33
"123","1015594",0.999,1,33,1,33,0.622603720453183,33,0.622603720453183,33
"124","1015597",0.999,1,33,1,33,0.638788956859228,33,0.638788956859228,33
"125","1015621",0.999,0.96969696969697,33,0.967741935483871,31,0.483628780647759,32,0.452378780647759,32
"126","1015626",0.999,1,33,1,33,0.657472560809602,33,0.657472560809602,33
"127","1015651",0.999,1,33,1,33,0.905962854349951,33,0.905962854349951,33
"128","1015673",0.999,NA,0,NA,0,0,32,0,32
"129","1015680",0.999,1,15,1,15,0.0851546601546602,33,0.0851546601546602,33
"130","1015683",0.999,1,33,1,33,0.593102485204821,33,0.593102485204821,33
"131","1015691",0.999,0.928571428571429,14,0.916666666666667,12,0.0490681774065549,31,0.0412763743833353,31
"132","1016",0.999,0.875,32,0.916666666666667,24,0.22650194552502,32,0.17868122184081,32
"133","1016028",0.999,0.935483870967742,31,0.925925925925926,27,0.238665734160848,32,0.195138948446563,32
"134","1016045",0.999,0.96969696969697,33,0.967741935483871,31,0.388471348934032,33,0.359485841687655,33
"135","1016091",0.999,1,32,1,32,0.335092292057589,33,0.335092292057589,33
"136","1016100",0.999,0.967741935483871,31,0.96551724137931,29,0.312117054565711,32,0.283841192496745,32
"137","1016137",0.999,0.96969696969697,33,0.967741935483871,31,0.608214375049505,33,0.566472849118256,33
"138","1016185",0.999,1,33,1,33,0.499291830174183,33,0.499291830174183,33
"139","1016200",0.999,NA,0,NA,0,0,29,0,29
"140","1016236",0.999,1,2,1,2,0.00901875901875902,33,0.00901875901875902,33
"141","1016238",0.999,1,4,1,4,0.0455965909090909,32,0.0455965909090909,32
"142","1016271",0.999,0.870967741935484,31,0.92,25,0.35257693393563,32,0.304042707745153,32
"143","1016290",0.999,1,33,1,33,0.577877487887196,33,0.577877487887196,33
"144","1016319",0.999,1,33,1,33,0.361195695646473,33,0.361195695646473,33
"145","1016323",0.999,0.967741935483871,31,0.96551724137931,29,0.214529363156814,33,0.199680014974133,33
"146","1016328",0.999,1,33,1,33,0.270892314566841,33,0.270892314566841,33
"147","1016338",0.999,1,33,1,33,0.894362984685565,33,0.894362984685565,33
