"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.88,25,0.9,20,0.0525604472972894,37,0.0439609386977808,37
"2","1010508",0.9999,NA,0,NA,0,0,39,0,39
"3","1010540",0.9999,0.974358974358974,39,0.972972972972973,37,0.420793271633655,39,0.400646751487134,39
"4","1010562",0.9999,NA,0,NA,0,0,26,0,26
"5","1010567",0.9999,NA,0,NA,0,0,25,0,25
"6","1010611",0.9999,1,6,1,6,0.0125141816717904,36,0.0125141816717904,36
"7","1010614",0.9999,0.923076923076923,39,0.909090909090909,33,0.140289217863589,37,0.118977392203937,37
"8","1010690",0.9999,NA,0,NA,0,0,35,0,35
"9","1010714",0.9999,0.974358974358974,39,0.972972972972973,37,0.223295534549559,39,0.214197106096292,39
"10","1010723",0.9999,NA,0,NA,0,0,39,0,39
"11","1010730",0.9999,NA,0,NA,0,0,39,0,39
"12","1010794",0.9999,0.947368421052632,38,0.970588235294118,34,0.468806471127764,38,0.435260425814258,38
"13","1013889",0.9999,NA,0,NA,0,0,39,0,39
"14","1013891",0.9999,NA,0,NA,0,0,39,0,39
"15","1013911",0.9999,NA,0,NA,0,0,39,0,39
"16","1013935",0.9999,1,3,1,3,0.00274725274725275,39,0.00274725274725275,39
"17","1013936",0.9999,NA,0,NA,0,0,39,0,39
"18","1013944",0.9999,NA,0,NA,0,0,38,0,38
"19","1013965",0.9999,NA,0,NA,0,0,39,0,39
"20","1013976",0.9999,NA,0,NA,0,0,39,0,39
"21","1013982",0.9999,NA,0,NA,0,0,39,0,39
"22","1013990",0.9999,NA,0,NA,0,0,39,0,39
"23","1014019",0.9999,NA,0,NA,0,0,39,0,39
"24","1014046",0.9999,NA,0,NA,0,0,39,0,39
"25","1014048",0.9999,NA,0,NA,0,0,39,0,39
"26","1014056",0.9999,1,3,1,3,0.00556233889567223,39,0.00556233889567223,39
"27","1014060",0.9999,1,3,1,3,0.00274725274725275,39,0.00274725274725275,39
"28","1014077",0.9999,NA,0,NA,0,0,39,0,39
"29","1014094",0.9999,NA,0,NA,0,0,39,0,39
"30","1014096",0.9999,NA,0,NA,0,0,39,0,39
"31","1014098",0.9999,1,3,1,3,0.00274725274725275,39,0.00274725274725275,39
"32","1014119",0.9999,NA,0,NA,0,0,39,0,39
"33","1014128",0.9999,NA,0,NA,0,0,39,0,39
"34","1014150",0.9999,1,21,1,21,0.0530023063356397,39,0.0530023063356397,39
"35","1014155",0.9999,NA,0,NA,0,0,38,0,38
"36","1014163",0.9999,NA,0,NA,0,0,39,0,39
"37","1014164",0.9999,1,18,1,18,0.0248398430007625,39,0.0248398430007625,39
"38","1014172",0.9999,NA,0,NA,0,0,39,0,39
"39","1014213",0.9999,NA,0,NA,0,0,39,0,39
"40","1014271",0.9999,NA,0,NA,0,0,39,0,39
"41","1014286",0.9999,1,39,1,39,0.129694566166715,39,0.129694566166715,39
"42","1014294",0.9999,1,39,1,39,0.312454212454212,39,0.312454212454212,39
"43","1014302",0.9999,NA,0,NA,0,0,39,0,39
"44","1014304",0.9999,NA,0,NA,0,0,39,0,39
"45","1014307",0.9999,NA,0,NA,0,0,39,0,39
"46","1014312",0.9999,NA,0,NA,0,0,39,0,39
"47","1014361",0.9999,1,24,1,24,0.147381883761194,39,0.147381883761194,39
"48","1014363",0.9999,1,19,1,19,0.100911046393503,39,0.100911046393503,39
"49","1014365",0.9999,1,18,1,18,0.151059525338924,39,0.151059525338924,39
"50","1014371",0.9999,1,32,1,32,0.22198407973309,39,0.22198407973309,39
"51","1014403",0.9999,NA,0,NA,0,0,39,0,39
"52","1014420",0.9999,1,3,1,3,0.00278116944783611,39,0.00278116944783611,39
"53","1014435",0.9999,1,3,1,3,0.00556233889567223,39,0.00556233889567223,39
"54","1014447",0.9999,NA,0,NA,0,0,39,0,39
"55","1014469",0.9999,NA,0,NA,0,0,39,0,39
"56","1014484",0.9999,1,3,1,3,0.00274725274725275,39,0.00274725274725275,39
"57","1014493",0.9999,NA,0,NA,0,0,39,0,39
"58","1014550",0.9999,NA,0,NA,0,0,39,0,39
"59","1014566",0.9999,NA,0,NA,0,0,39,0,39
"60","1014582",0.9999,1,6,1,6,0.010989010989011,39,0.010989010989011,39
"61","1014593",0.9999,NA,0,NA,0,0,39,0,39
"62","1014600",0.9999,NA,0,NA,0,0,39,0,39
"63","1014610",0.9999,NA,0,NA,0,0,39,0,39
"64","1014611",0.9999,NA,0,NA,0,0,39,0,39
"65","1014612",0.9999,1,3,1,3,0.00278116944783611,39,0.00278116944783611,39
"66","1014627",0.9999,NA,0,NA,0,0,39,0,39
"67","1014653",0.9999,0.964285714285714,28,0.961538461538462,26,0.072617976565345,39,0.0663298202771887,39
"68","1014655",0.9999,1,24,1,24,0.049907240958259,39,0.049907240958259,39
"69","1014660",0.9999,0.948717948717949,39,0.942857142857143,35,0.552110195123016,39,0.487721478426607,39
"70","1014685",0.9999,0.92,25,0.904761904761905,21,0.120902300314065,38,0.111213305098754,38
"71","1014696",0.9999,0.974358974358974,39,0.972972972972973,37,0.36891467319605,39,0.349190807318338,39
"72","1014697",0.9999,1,39,1,39,0.339233871541564,39,0.339233871541564,39
"73","1014721",0.9999,1,39,1,39,0.397484316449834,39,0.397484316449834,39
"74","1014734",0.9999,1,15,1,15,0.0230071954663606,39,0.0230071954663606,39
"75","1014736",0.9999,1,2,1,2,0.00375550375550376,39,0.00375550375550376,39
"76","1014746",0.9999,0.9,30,0.916666666666667,24,0.193236328466508,37,0.161815100216635,37
"77","1014794",0.9999,NA,0,NA,0,0,39,0,39
"78","1014804",0.9999,NA,0,NA,0,0,38,0,38
"79","1014822",0.9999,NA,0,NA,0,0,39,0,39
"80","1014853",0.9999,NA,0,NA,0,0,35,0,35
"81","1014858",0.9999,0.944444444444444,18,0.944444444444444,18,0.0646101035906133,37,0.0646101035906133,37
"82","1014873",0.9999,NA,0,NA,0,0,31,0,31
"83","1014876",0.9999,NA,0,NA,0,0,36,0,36
"84","1014881",0.9999,1,3,1,3,0.00925925925925926,39,0.00925925925925926,39
"85","1014887",0.9999,NA,0,NA,0,0,33,0,33
"86","1014890",0.9999,0.944444444444444,18,0.944444444444444,18,0.115009514188013,34,0.115009514188013,34
"87","1014892",0.9999,NA,0,NA,0,0,36,0,36
"88","1014905",0.9999,NA,0,NA,0,0,37,0,37
"89","1014964",0.9999,0.8,5,0.8,5,0.00521189336978811,38,0.00521189336978811,38
"90","1015048",0.9999,0.974358974358974,39,0.972972972972973,37,0.361312189085468,39,0.3428140205873,39
"91","1015164",0.9999,0.974358974358974,39,0.972972972972973,37,0.379333452768291,39,0.340589108876888,39
"92","1015170",0.9999,1,39,1,39,0.408744455923943,39,0.408744455923943,39
"93","1015176",0.9999,1,4,1,4,0.00919460880999343,39,0.00919460880999343,39
"94","1015199",0.9999,NA,0,NA,0,0,39,0,39
"95","1015204",0.9999,1,39,1,39,0.201849859129681,39,0.201849859129681,39
"96","1015242",0.9999,0.948717948717949,39,0.972222222222222,36,0.406661562560914,39,0.393147061866926,39
"97","1015259",0.9999,NA,0,NA,0,0,37,0,37
"98","1015271",0.9999,0.933333333333333,30,0.923076923076923,26,0.0586322208175755,39,0.043349797926457,39
"99","1015283",0.9999,1,7,1,7,0.0124291497975709,38,0.0124291497975709,38
"100","1015295",0.9999,NA,0,NA,0,0,39,0,39
"101","1015303",0.9999,0.974358974358974,39,0.972972972972973,37,0.342882192457885,39,0.32754419711989,39
"102","1015323",0.9999,1,39,1,39,0.397390839996602,39,0.397390839996602,39
"103","1015390",0.9999,1,39,1,39,0.431586870419529,39,0.431586870419529,39
"104","1015398",0.9999,NA,0,NA,0,0,39,0,39
"105","1015412",0.9999,NA,0,NA,0,0,39,0,39
"106","1015414",0.9999,1,39,1,39,0.392667619858169,39,0.392667619858169,39
"107","1015430",0.9999,1,39,1,39,0.123911283721303,39,0.123911283721303,39
"108","1015431",0.9999,NA,0,NA,0,0,39,0,39
"109","1015434",0.9999,NA,0,NA,0,0,36,0,36
"110","1015435",0.9999,1,39,1,39,0.468082628639658,39,0.468082628639658,39
"111","1015441",0.9999,NA,0,NA,0,0,32,0,32
"112","1015455",0.9999,0.948717948717949,39,0.942857142857143,35,0.445045948582642,39,0.398958370443782,39
"113","1015481",0.9999,NA,0,NA,0,0,34,0,34
"114","1015497",0.9999,NA,0,NA,0,0,39,0,39
"115","1015521",0.9999,NA,0,NA,0,0,30,0,30
"116","1015525",0.9999,1,18,1,18,0.0385980059652486,38,0.0385980059652486,38
"117","1015542",0.9999,0.974358974358974,39,0.973684210526316,38,0.227205468204705,39,0.217172023388652,39
"118","1015562",0.9999,0.974358974358974,39,0.972972972972973,37,0.223964860961765,39,0.213604850601755,39
"119","1015566",0.9999,1,39,1,39,0.195648122210347,39,0.195648122210347,39
"120","1015574",0.9999,0.916666666666667,36,0.9,30,0.235623781676413,36,0.198123781676413,36
"121","1015575",0.9999,0.970588235294118,34,0.96875,32,0.121033541621777,39,0.112242332830568,39
"122","1015586",0.9999,1,39,1,39,0.540665766981556,39,0.540665766981556,39
"123","1015594",0.9999,1,39,1,39,0.456066898209165,39,0.456066898209165,39
"124","1015597",0.9999,1,39,1,39,0.505789522445203,39,0.505789522445203,39
"125","1015621",0.9999,0.974358974358974,39,0.972972972972973,37,0.379948533090557,38,0.355330536486143,38
"126","1015626",0.9999,1,39,1,39,0.565598272315137,39,0.565598272315137,39
"127","1015651",0.9999,1,39,1,39,0.874855252274607,39,0.874855252274607,39
"128","1015673",0.9999,NA,0,NA,0,0,38,0,38
"129","1015680",0.9999,NA,0,NA,0,0,39,0,39
"130","1015683",0.9999,1,39,1,39,0.402164323132065,39,0.402164323132065,39
"131","1015691",0.9999,NA,0,NA,0,0,37,0,37
"132","1016",0.9999,0.944444444444444,18,0.9375,16,0.0583814600296595,38,0.05542093371387,38
"133","1016028",0.9999,0.8,5,0.8,5,0.00452417809228955,38,0.00452417809228955,38
"134","1016045",0.9999,0.974358974358974,39,0.972972972972973,37,0.165307169228738,39,0.158618206018036,39
"135","1016091",0.9999,1,2,1,2,0.0017683465959328,39,0.0017683465959328,39
