"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,9,1,9,0.128232128232128,37,0.128232128232128,37
"2","1010508",0.9999,1,39,1,39,0.33464767937572,39,0.33464767937572,39
"3","1010540",0.9999,0.974358974358974,39,0.972972972972973,37,0.363356236208226,39,0.334052206904197,39
"4","1010562",0.9999,NA,0,NA,0,0,26,0,26
"5","1010567",0.9999,NA,0,NA,0,0,25,0,25
"6","1010611",0.9999,1,9,1,9,0.180500658761528,36,0.180500658761528,36
"7","1010614",0.9999,1,5,1,5,0.117508813160987,37,0.117508813160987,37
"8","1010690",0.9999,NA,0,NA,0,0,35,0,35
"9","1010714",0.9999,0.974358974358974,39,0.972972972972973,37,0.284402132223688,39,0.277785093348585,39
"10","1010723",0.9999,0.6,5,0.5,2,0.0340916393547972,39,0.00539811066126856,39
"11","1010730",0.9999,1,30,1,30,0.182332555228051,39,0.182332555228051,39
"12","1010794",0.9999,0.75,4,0.666666666666667,3,0.0471869328493648,38,0.043557168784029,38
"13","1013889",0.9999,NA,0,NA,0,0,39,0,39
"14","1013891",0.9999,1,4,1,4,0.0739384072717406,39,0.0739384072717406,39
"15","1013911",0.9999,1,4,1,4,0.0636893970227304,39,0.0636893970227304,39
"16","1013935",0.9999,1,2,1,2,0.0340937223695844,39,0.0340937223695844,39
"17","1013936",0.9999,1,1,1,1,0.0146520146520147,39,0.0146520146520147,39
"18","1013944",0.9999,0.8125,16,0.846153846153846,13,0.256105238942768,38,0.217118884166939,38
"19","1013965",0.9999,1,13,1,13,0.240214853908007,39,0.240214853908007,39
"20","1013976",0.9999,NA,0,NA,0,0,39,0,39
"21","1013982",0.9999,1,3,1,3,0.0478295650709444,39,0.0478295650709444,39
"22","1013990",0.9999,NA,0,NA,0,0,39,0,39
"23","1014019",0.9999,0.75,4,0.666666666666667,3,0.0445778801216467,39,0.029925865469632,39
"24","1014046",0.9999,NA,0,NA,0,0,39,0,39
"25","1014048",0.9999,NA,0,NA,0,0,39,0,39
"26","1014056",0.9999,1,3,1,3,0.060740179360869,39,0.060740179360869,39
"27","1014060",0.9999,0.8,5,0.666666666666667,3,0.0724341971026321,39,0.0468611847922193,39
"28","1014077",0.9999,1,1,1,1,0.021978021978022,39,0.021978021978022,39
"29","1014094",0.9999,1,2,1,2,0.0359984842743463,39,0.0359984842743463,39
"30","1014096",0.9999,1,4,1,4,0.0759348612222175,39,0.0759348612222175,39
