"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,6,1,6,0.0940557782663046,37,0.0940557782663046,37
"2","1010508",0.9999,1,39,1,39,0.295929132964866,39,0.295929132964866,39
"3","1010540",0.9999,0.974358974358974,39,0.972972972972973,37,0.326538353236497,39,0.304560331258475,39
"4","1010562",0.9999,NA,0,NA,0,0,26,0,26
"5","1010567",0.9999,NA,0,NA,0,0,25,0,25
"6","1010611",0.9999,NA,0,NA,0,0,36,0,36
"7","1010614",0.9999,NA,0,NA,0,0,37,0,37
"8","1010690",0.9999,NA,0,NA,0,0,35,0,35
"9","1010714",0.9999,0.948717948717949,39,0.942857142857143,35,0.278104916894215,39,0.241711203081146,39
"10","1010723",0.9999,1,3,1,3,0.0461945461945462,39,0.0461945461945462,39
"11","1010730",0.9999,1,6,1,6,0.0324909396527434,39,0.0324909396527434,39
"12","1010794",0.9999,0.666666666666667,3,0.666666666666667,3,0.043557168784029,38,0.043557168784029,38
"13","1013889",0.9999,NA,0,NA,0,0,39,0,39
"14","1013891",0.9999,NA,0,NA,0,0,39,0,39
"15","1013911",0.9999,1,6,1,6,0.0889974223307557,39,0.0889974223307557,39
"16","1013935",0.9999,NA,0,NA,0,0,39,0,39
"17","1013936",0.9999,NA,0,NA,0,0,39,0,39
"18","1013944",0.9999,0.888888888888889,9,0.875,8,0.094017094017094,38,0.0818713450292398,38
"19","1013965",0.9999,1,6,1,6,0.066776135741653,39,0.066776135741653,39
"20","1013976",0.9999,NA,0,NA,0,0,39,0,39
"21","1013982",0.9999,1,3,1,3,0.0424403183023873,39,0.0424403183023873,39
"22","1013990",0.9999,NA,0,NA,0,0,39,0,39
"23","1014019",0.9999,0.666666666666667,3,0,1,0.0293040293040293,39,0,39
"24","1014046",0.9999,NA,0,NA,0,0,39,0,39
"25","1014048",0.9999,NA,0,NA,0,0,39,0,39
"26","1014056",0.9999,NA,0,NA,0,0,39,0,39
"27","1014060",0.9999,NA,0,NA,0,0,39,0,39
"28","1014077",0.9999,NA,0,NA,0,0,39,0,39
"29","1014094",0.9999,1,3,1,3,0.0217254010357459,39,0.0217254010357459,39
"30","1014096",0.9999,1,3,1,3,0.0434882273962734,39,0.0434882273962734,39
"31","1014098",0.9999,NA,0,NA,0,0,39,0,39
"32","1014119",0.9999,NA,0,NA,0,0,39,0,39
"33","1014128",0.9999,NA,0,NA,0,0,39,0,39
"34","1014150",0.9999,NA,0,NA,0,0,39,0,39
"35","1014155",0.9999,1,3,1,3,0.0261179263949347,38,0.0261179263949347,38
"36","1014163",0.9999,0.833333333333333,6,0.75,4,0.114022729407345,39,0.0684386838232992,39
"37","1014164",0.9999,1,3,1,3,0.0452090438297335,39,0.0452090438297335,39
"38","1014172",0.9999,1,6,1,6,0.0469261940833847,39,0.0469261940833847,39
"39","1014213",0.9999,1,3,1,3,0.010989010989011,39,0.010989010989011,39
"40","1014271",0.9999,1,3,1,3,0.043956043956044,39,0.043956043956044,39
"41","1014286",0.9999,NA,0,NA,0,0,39,0,39
"42","1014294",0.9999,NA,0,NA,0,0,39,0,39
"43","1014302",0.9999,NA,0,NA,0,0,39,0,39
"44","1014304",0.9999,1,3,1,3,0.0457142857142857,39,0.0457142857142857,39
"45","1014307",0.9999,1,6,1,6,0.0229309211272076,39,0.0229309211272076,39
"46","1014312",0.9999,1,3,1,3,0.0125978075161378,39,0.0125978075161378,39
"47","1014361",0.9999,NA,0,NA,0,0,39,0,39
"48","1014363",0.9999,1,3,1,3,0.0636437246963563,39,0.0636437246963563,39
"49","1014365",0.9999,1,6,1,6,0.121656416086124,39,0.121656416086124,39
"50","1014371",0.9999,1,6,1,6,0.0982695465454086,39,0.0982695465454086,39
"51","1014403",0.9999,0.777777777777778,9,0.6,5,0.105861849451593,39,0.0450413783747117,39
"52","1014420",0.9999,NA,0,NA,0,0,39,0,39
"53","1014435",0.9999,NA,0,NA,0,0,39,0,39
"54","1014447",0.9999,NA,0,NA,0,0,39,0,39
"55","1014469",0.9999,NA,0,NA,0,0,39,0,39
"56","1014484",0.9999,NA,0,NA,0,0,39,0,39
"57","1014493",0.9999,1,6,1,6,0.0914394247727581,39,0.0914394247727581,39
"58","1014550",0.9999,1,6,1,6,0.0264011350967873,39,0.0264011350967873,39
"59","1014566",0.9999,NA,0,NA,0,0,39,0,39
"60","1014582",0.9999,NA,0,NA,0,0,39,0,39
"61","1014593",0.9999,NA,0,NA,0,0,39,0,39
"62","1014600",0.9999,NA,0,NA,0,0,39,0,39
"63","1014610",0.9999,NA,0,NA,0,0,39,0,39
"64","1014611",0.9999,1,3,1,3,0.0444987111653778,39,0.0444987111653778,39
"65","1014612",0.9999,NA,0,NA,0,0,39,0,39
"66","1014627",0.9999,NA,0,NA,0,0,39,0,39
"67","1014653",0.9999,0.833333333333333,6,0.75,4,0.0488844488844489,39,0.0288600288600289,39
"68","1014655",0.9999,NA,0,NA,0,0,39,0,39
"69","1014660",0.9999,0.974358974358974,39,0.972972972972973,37,0.40370160703494,39,0.359557716737204,39
"70","1014685",0.9999,0.666666666666667,6,0.666666666666667,3,0.0822510822510823,38,0.0382775119617225,38
"71","1014696",0.9999,NA,0,NA,0,0,39,0,39
"72","1014697",0.9999,NA,0,NA,0,0,39,0,39
"73","1014721",0.9999,1,39,1,39,0.133695423350596,39,0.133695423350596,39
"74","1014734",0.9999,1,3,1,3,0.0314765694076039,39,0.0314765694076039,39
"75","1014736",0.9999,0.96969696969697,33,0.967741935483871,31,0.326907654596442,39,0.309070419367902,39
"76","1014746",0.9999,1,6,1,6,0.122082464435406,37,0.122082464435406,37
"77","1014794",0.9999,0.833333333333333,6,0.8,5,0.0508729636934765,39,0.0350938709913069,39
"78","1014804",0.9999,1,6,1,6,0.0304813315339631,38,0.0304813315339631,38
"79","1014822",0.9999,1,9,1,9,0.158480246199544,39,0.158480246199544,39
"80","1014853",0.9999,NA,0,NA,0,0,35,0,35
"81","1014858",0.9999,0.666666666666667,15,0.777777777777778,9,0.116223610341257,37,0.0621695562872033,37
"82","1014873",0.9999,NA,0,NA,0,0,31,0,31
"83","1014876",0.9999,0,3,0,1,0,36,0,36
"84","1014881",0.9999,1,6,1,6,0.0496064128039995,39,0.0496064128039995,39
"85","1014887",0.9999,0.833333333333333,6,0.75,4,0.0443655110321777,33,0.027626694293361,33
"86","1014890",0.9999,0.933333333333333,15,0.933333333333333,15,0.253295045424863,34,0.253295045424863,34
"87","1014892",0.9999,1,12,1,12,0.0831446005392366,36,0.0831446005392366,36
"88","1014905",0.9999,0.833333333333333,6,0.8,5,0.0586473172680069,37,0.047463719877513,37
"89","1014964",0.9999,0.888888888888889,18,0.857142857142857,14,0.191348986501341,38,0.149577892098668,38
"90","1015048",0.9999,0.666666666666667,3,0,1,0.0388278388278388,39,0,39
"91","1015164",0.9999,0.972222222222222,36,0.970588235294118,34,0.550960615030028,39,0.50118685937392,39
"92","1015170",0.9999,1,39,1,39,0.2071686338353,39,0.2071686338353,39
"93","1015176",0.9999,0.923076923076923,39,0.939393939393939,33,0.310987509494815,39,0.272846334430563,39
"94","1015199",0.9999,0.974358974358974,39,0.972972972972973,37,0.444332629173326,39,0.431683056523754,39
"95","1015204",0.9999,1,39,1,39,0.367744972315764,39,0.367744972315764,39
"96","1015242",0.9999,0.948717948717949,39,0.972222222222222,36,0.460392669428913,39,0.452649225788034,39
"97","1015259",0.9999,1,3,1,3,0.0761670761670762,37,0.0761670761670762,37
"98","1015271",0.9999,0.777777777777778,9,0.833333333333333,6,0.111371237458194,39,0.0686361947231512,39
"99","1015283",0.9999,0.833333333333333,6,0.75,4,0.0970715249662618,38,0.0540890688259109,38
"100","1015295",0.9999,NA,0,NA,0,0,39,0,39
"101","1015303",0.9999,0.974358974358974,39,0.972972972972973,37,0.323077224493435,39,0.314312655728866,39
"102","1015323",0.9999,NA,0,NA,0,0,39,0,39
"103","1015390",0.9999,1,18,1,18,0.358024691358025,39,0.358024691358025,39
"104","1015398",0.9999,0.944444444444444,18,0.9375,16,0.0993315185534865,39,0.0825373964962066,39
"105","1015412",0.9999,NA,0,NA,0,0,39,0,39
"106","1015414",0.9999,1,39,1,39,0.508635887611006,39,0.508635887611006,39
"107","1015430",0.9999,0.916666666666667,36,0.96875,32,0.372769742447252,39,0.340939503720461,39
"108","1015431",0.9999,NA,0,NA,0,0,39,0,39
"109","1015434",0.9999,NA,0,NA,0,0,36,0,36
"110","1015435",0.9999,1,39,1,39,0.355011348150163,39,0.355011348150163,39
"111","1015441",0.9999,0.666666666666667,3,0.5,2,0.0377777777777778,32,0.01,32
"112","1015455",0.9999,1,39,1,39,0.315684053968758,39,0.315684053968758,39
"113","1015481",0.9999,0.5,6,0.5,2,0.037380469429151,34,0.0121703853955375,34
"114","1015497",0.9999,1,39,1,39,0.265719994410918,39,0.265719994410918,39
"115","1015521",0.9999,NA,0,NA,0,0,30,0,30
"116","1015525",0.9999,0.966666666666667,30,0.966666666666667,30,0.170342432699433,38,0.170342432699433,38
"117","1015542",0.9999,0.933333333333333,15,0.928571428571429,14,0.125851604112474,39,0.121392295305339,39
"118","1015562",0.9999,0.888888888888889,9,0.857142857142857,7,0.152775329245917,39,0.103935280405869,39
"119","1015566",0.9999,0.833333333333333,6,0.75,4,0.0449984797810885,39,0.0267558528428094,39
"120","1015574",0.9999,1,12,1,12,0.0734567901234568,36,0.0734567901234568,36
"121","1015575",0.9999,1,3,1,3,0.0481361775479423,39,0.0481361775479423,39
"122","1015586",0.9999,1,39,1,39,0.436797121007647,39,0.436797121007647,39
"123","1015594",0.9999,1,3,1,3,0.0615384615384615,39,0.0615384615384615,39
"124","1015597",0.9999,1,39,1,39,0.53545751765917,39,0.53545751765917,39
"125","1015621",0.9999,0.833333333333333,6,0.75,4,0.083616298811545,38,0.0481041312959819,38
"126","1015626",0.9999,1,39,1,39,0.131881797219352,39,0.131881797219352,39
"127","1015651",0.9999,1,39,1,39,0.776178660049628,39,0.776178660049628,39
"128","1015673",0.9999,NA,0,NA,0,0,38,0,38
"129","1015680",0.9999,1,6,1,6,0.091606399298707,39,0.091606399298707,39
"130","1015683",0.9999,1,39,1,39,0.133514514159675,39,0.133514514159675,39
"131","1015691",0.9999,0.833333333333333,6,0.75,4,0.0966420966420966,37,0.0646100646100646,37
"132","1016",0.9999,1,3,1,3,0.0160664819944598,38,0.0160664819944598,38
"133","1016028",0.9999,0.777777777777778,9,0.714285714285714,7,0.115550313692729,38,0.0854751257228037,38
"134","1016045",0.9999,NA,0,NA,0,0,39,0,39
"135","1016091",0.9999,1,6,1,6,0.0637390706356224,39,0.0637390706356224,39
"136","1016100",0.9999,NA,0,NA,0,0,38,0,38
"137","1016137",0.9999,1,39,1,39,0.205614158266653,39,0.205614158266653,39
"138","1016185",0.9999,1,39,1,39,0.326731639401323,39,0.326731639401323,39
"139","1016200",0.9999,NA,0,NA,0,0,35,0,35
"140","1016236",0.9999,1,3,1,3,0.0152440152440152,39,0.0152440152440152,39
"141","1016238",0.9999,NA,0,NA,0,0,37,0,37
"142","1016271",0.9999,0.925925925925926,27,0.916666666666667,24,0.210061418368055,38,0.17452257125026,38
"143","1016290",0.9999,1,9,1,9,0.142648973958016,39,0.142648973958016,39
"144","1016319",0.9999,1,3,1,3,0.0543135025893647,39,0.0543135025893647,39
"145","1016323",0.9999,NA,0,NA,0,0,39,0,39
"146","1016328",0.9999,1,6,1,6,0.107363900467349,39,0.107363900467349,39
"147","1016338",0.9999,1,39,1,39,0.774855252274607,39,0.774855252274607,39
"148","1016339",0.9999,NA,0,NA,0,0,39,0,39
"149","1016362",0.9999,1,6,1,6,0.101572836603963,39,0.101572836603963,39
"150","1016365",0.9999,1,6,1,6,0.145299145299145,39,0.145299145299145,39
"151","1016379",0.9999,NA,0,NA,0,0,39,0,39
"152","1016383",0.9999,1,3,1,3,0.0616802552286423,39,0.0616802552286423,39
"153","1016388",0.9999,1,3,1,3,0.0694789081885856,39,0.0694789081885856,39
"154","1016391",0.9999,NA,0,NA,0,NA,0,NA,0
"155","1016395",0.9999,NA,0,NA,0,0,39,0,39
"156","1016421",0.9999,1,39,1,39,0.645885050768753,39,0.645885050768753,39
"157","1016426",0.9999,0.974358974358974,39,0.972972972972973,37,0.577965771644398,39,0.543070398817991,39
"158","1016471",0.9999,0.333333333333333,3,0.5,2,0.0242914979757085,38,0.0242914979757085,38
"159","1016486",0.9999,1,6,1,6,0.0565590220762635,38,0.0565590220762635,38
"160","1016488",0.9999,0.948717948717949,39,0.942857142857143,35,0.420674841727473,39,0.354518775571407,39
"161","1016493",0.9999,0.666666666666667,3,0,1,0.0308270676691729,38,0,38
"162","1016494",0.9999,0.916666666666667,12,0.9,10,0.200813221865853,39,0.154193175245807,39
"163","1016513",0.9999,0.944444444444444,18,0.9375,16,0.104509585328,39,0.0916890725074868,39
"164","1016514",0.9999,1,30,1,30,0.138657875338037,39,0.138657875338037,39
