"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,1,8,1,8,0.128547098895936,32,0.128547098895936,32
"2","1010508",0.9999,1,33,1,33,0.369875121020203,33,0.369875121020203,33
"3","1010540",0.9999,0.96969696969697,33,0.967741935483871,31,0.371058325587348,33,0.336268872616077,33
"4","1010562",0.9999,NA,0,NA,0,0,24,0,24
"5","1010567",0.9999,NA,0,NA,0,0,19,0,19
"6","1010611",0.9999,0.9,10,0.875,8,0.0932476943346509,32,0.04433465085639,32
"7","1010614",0.9999,0.857142857142857,7,0.833333333333333,6,0.154376438961419,33,0.128025977828349,33
"8","1010690",0.9999,NA,0,NA,0,0,32,0,32
"9","1010714",0.9999,0.96969696969697,33,0.967741935483871,31,0.304755005219089,33,0.2891147315143,33
"10","1010723",0.9999,0.666666666666667,3,0,1,0.0113270188458158,33,0,33
"11","1010730",0.9999,1,17,1,17,0.119015020067801,33,0.119015020067801,33
"12","1010794",0.9999,0.75,4,0.666666666666667,3,0.0526780485581302,33,0.0484983202404708,33
"13","1013889",0.9999,NA,0,NA,0,0,33,0,33
"14","1013891",0.9999,1,4,1,4,0.0866222796047357,33,0.0866222796047357,33
"15","1013911",0.9999,1,5,1,5,0.0917917689847514,33,0.0917917689847514,33
"16","1013935",0.9999,1,2,1,2,0.0406779661016949,33,0.0406779661016949,33
"17","1013936",0.9999,NA,0,NA,0,0,33,0,33
"18","1013944",0.9999,0.857142857142857,14,0.833333333333333,12,0.279476310726311,32,0.234021765271765,32
"19","1013965",0.9999,1,13,1,13,0.281582339948759,33,0.281582339948759,33
"20","1013976",0.9999,NA,0,NA,0,0,33,0,33
"21","1013982",0.9999,1,3,1,3,0.0562424782179312,33,0.0562424782179312,33
"22","1013990",0.9999,NA,0,NA,0,0,33,0,33
"23","1014019",0.9999,0.75,4,0.666666666666667,3,0.0520477284148535,33,0.0347317110988361,33
"24","1014046",0.9999,NA,0,NA,0,0,33,0,33
"25","1014048",0.9999,NA,0,NA,0,0,33,0,33
"26","1014056",0.9999,1,3,1,3,0.0508952632364611,33,0.0508952632364611,33
