"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.966292134831461,89,0.975903614457831,83,0.0824714708051925,197,0.0786647741042695,197
"2","1010508",0.9999,1,198,1,198,0.2476113506679,198,0.2476113506679,198
"3","1010540",0.9999,1,198,1,198,0.315343687959362,198,0.315343687959362,198
"4","1010562",0.9999,NA,0,NA,0,0,187,0,187
"5","1010567",0.9999,NA,0,NA,0,0,178,0,178
"6","1010611",0.9999,NA,0,NA,0,0,197,0,197
"7","1010614",0.9999,0.988950276243094,181,0.988700564971751,177,0.277744526459574,198,0.267024091308497,198
"8","1010690",0.9999,NA,0,NA,0,0,197,0,197
"9","1010714",0.9999,0.994949494949495,198,0.994897959183674,196,0.460048243608123,198,0.45483481903986,198
"10","1010723",0.9999,1,110,1,110,0.104642731687223,198,0.104642731687223,198
"11","1010730",0.9999,0.994818652849741,193,0.994764397905759,191,0.305786239582121,198,0.303091888457651,198
"12","1010794",0.9999,0.983425414364641,181,0.988636363636364,176,0.502204691139118,198,0.486945515721482,198
"13","1013889",0.9999,1,89,1,89,0.23167844534855,198,0.23167844534855,198
"14","1013891",0.9999,NA,0,NA,0,0,198,0,198
"15","1013911",0.9999,1,7,1,7,0.0265260280646339,198,0.0265260280646339,198
"16","1013935",0.9999,1,163,1,163,0.45880521357191,198,0.45880521357191,198
"17","1013936",0.9999,1,2,1,2,0.00543593081750233,198,0.00543593081750233,198
"18","1013944",0.9999,1,1,1,1,0.0050761421319797,197,0.0050761421319797,197
"19","1013965",0.9999,1,5,1,5,0.0152578688788242,198,0.0152578688788242,198
"20","1013976",0.9999,1,6,1,6,0.0174899793813914,198,0.0174899793813914,198
"21","1013982",0.9999,1,4,1,4,0.0143905602166742,198,0.0143905602166742,198
"22","1013990",0.9999,NA,0,NA,0,0,198,0,198
"23","1014019",0.9999,0.727272727272727,11,0.857142857142857,7,0.019782943706643,198,0.0142477381714375,198
"24","1014046",0.9999,1,39,1,39,0.141939694822946,198,0.141939694822946,198
"25","1014048",0.9999,NA,0,NA,0,0,198,0,198
"26","1014056",0.9999,1,1,1,1,0.000696621386276559,198,0.000696621386276559,198
"27","1014060",0.9999,1,3,1,3,0.009777704685428,198,0.009777704685428,198
