"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.8,10,0.75,8,0.241350396783033,19,0.187123921503926,19
"2","1010508",0.9999,0.95,20,0.944444444444444,18,0.53797591876121,20,0.47706682785212,20
"3","1010540",0.9999,1,20,1,20,0.50161056793331,20,0.50161056793331,20
"4","1010562",0.9999,NA,0,NA,0,0,10,0,10
"5","1010567",0.9999,NA,0,NA,0,0,8,0,8
"6","1010611",0.9999,0.75,4,0.75,4,0.065369901283214,19,0.065369901283214,19
"7","1010614",0.9999,0.95,20,0.944444444444444,18,0.351995633676668,20,0.300525045441374,20
"8","1010690",0.9999,1,2,1,2,0.00535552974577365,18,0.00535552974577365,18
"9","1010714",0.9999,0.944444444444444,18,0.9375,16,0.376707420801571,20,0.298567324183213,20
"10","1010723",0.9999,NA,0,NA,0,0,20,0,20
"11","1010730",0.9999,1,20,1,20,0.148545724133496,20,0.148545724133496,20
"12","1010794",0.9999,0.894736842105263,19,0.941176470588235,17,0.204678848283499,20,0.198997030101681,20
"13","1013889",0.9999,1,7,1,7,0.212813901923374,20,0.212813901923374,20
"14","1013891",0.9999,1,13,1,13,0.524348741634618,20,0.524348741634618,20
"15","1013911",0.9999,0.875,8,0.833333333333333,6,0.11351500039782,20,0.102525989408809,20
"16","1013935",0.9999,1,1,1,1,0.0348837209302326,20,0.0348837209302326,20
"17","1013936",0.9999,1,3,1,3,0.146511627906977,20,0.146511627906977,20
"18","1013944",0.9999,0.75,4,0.75,4,0.106083297675082,19,0.106083297675082,19
"19","1013965",0.9999,1,5,1,5,0.162461586338351,20,0.162461586338351,20
"20","1013976",0.9999,1,2,1,2,0.0296341463414634,20,0.0296341463414634,20
"21","1013982",0.9999,1,6,1,6,0.0931681753039482,20,0.0931681753039482,20
"22","1013990",0.9999,1,13,1,13,0.465684943549379,20,0.465684943549379,20
"23","1014019",0.9999,NA,0,NA,0,0,20,0,20
"24","1014046",0.9999,0.888888888888889,9,0.857142857142857,7,0.295631984294775,20,0.221656347528441,20
"25","1014048",0.9999,0.75,4,0.75,4,0.112077167019027,20,0.112077167019027,20
"26","1014056",0.9999,0.909090909090909,11,0.888888888888889,9,0.316125541125541,20,0.239935064935065,20
"27","1014060",0.9999,NA,0,NA,0,0,20,0,20
"28","1014077",0.9999,1,20,1,20,0.295736230038556,20,0.295736230038556,20
"29","1014094",0.9999,0.777777777777778,9,0.875,8,0.244893351118535,20,0.244893351118535,20
"30","1014096",0.9999,0.833333333333333,6,0.75,4,0.197663614509899,20,0.109568376414661,20
"31","1014098",0.9999,1,8,1,8,0.302912513842746,20,0.302912513842746,20
"32","1014119",0.9999,1,4,1,4,0.116596194503171,20,0.116596194503171,20
"33","1014128",0.9999,1,12,1,12,0.414480922507238,20,0.414480922507238,20
"34","1014150",0.9999,1,5,1,5,0.211620356387798,20,0.211620356387798,20
"35","1014155",0.9999,0.5,2,0,1,0.0526315789473684,19,0,19
"36","1014163",0.9999,1,2,1,2,0.059324942791762,20,0.059324942791762,20
"37","1014164",0.9999,NA,0,NA,0,0,20,0,20
"38","1014172",0.9999,1,4,1,4,0.0666906407795934,20,0.0666906407795934,20
"39","1014213",0.9999,1,4,1,4,0.0278348309798887,20,0.0278348309798887,20
"40","1014271",0.9999,0.909090909090909,11,0.888888888888889,9,0.15319260999919,20,0.105980066445183,20
"41","1014286",0.9999,1,10,1,10,0.422456154956155,20,0.422456154956155,20
"42","1014294",0.9999,1,10,1,10,0.421637022397892,20,0.421637022397892,20
"43","1014302",0.9999,NA,0,NA,0,0,20,0,20
"44","1014304",0.9999,1,4,1,4,0.146428571428571,20,0.146428571428571,20
"45","1014307",0.9999,1,20,1,20,0.578663669391944,20,0.578663669391944,20
"46","1014312",0.9999,1,8,1,8,0.302408637873754,20,0.302408637873754,20
"47","1014361",0.9999,1,5,1,5,0.202206736353078,20,0.202206736353078,20
"48","1014363",0.9999,0.833333333333333,12,0.888888888888889,9,0.333483914549724,20,0.265977454601404,20
"49","1014365",0.9999,1,12,1,12,0.467303534289496,20,0.467303534289496,20
"50","1014371",0.9999,0.888888888888889,9,0.888888888888889,9,0.307833643951057,20,0.307833643951057,20
"51","1014403",0.9999,1,2,1,2,0.0740853658536585,20,0.0740853658536585,20
"52","1014420",0.9999,1,14,1,14,0.452553326801767,20,0.452553326801767,20
"53","1014435",0.9999,0.916666666666667,12,0.916666666666667,12,0.443052109237703,20,0.443052109237703,20
"54","1014447",0.9999,1,2,1,2,0.0771196283391405,20,0.0771196283391405,20
"55","1014469",0.9999,1,2,1,2,0.0702167019027484,20,0.0702167019027484,20
"56","1014484",0.9999,0.857142857142857,7,0.857142857142857,7,0.208424908424908,20,0.208424908424908,20
"57","1014493",0.9999,1,3,1,3,0.116761202495746,20,0.116761202495746,20
"58","1014550",0.9999,NA,0,NA,0,0,20,0,20
"59","1014566",0.9999,1,7,1,7,0.137965619651666,20,0.137965619651666,20
"60","1014582",0.9999,1,14,1,14,0.517872244035035,20,0.517872244035035,20
"61","1014593",0.9999,1,3,1,3,0.0476190476190476,20,0.0476190476190476,20
"62","1014600",0.9999,1,7,1,7,0.127048721132669,20,0.127048721132669,20
