"","name","window_size","extrap_step","response","target","train_policy","cluster_type","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9999,0.955500813596095,44248,0.960812350047258,41263,0.203427359166431,95091,0.190130270814733,95091
"1.1","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.9995,0.955500813596095,44248,0.960812350047258,41263,0.203427359166431,95091,0.190130270814733,95091
"1.2","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.999,0.955579607206476,44349,0.960907090878321,41363,0.203925551391882,95091,0.190621952985405,95091
"1.3","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.995,0.954654041610563,46046,0.96006348761758,42843,0.215466750928962,95091,0.201061942834361,95091
"1.4","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.99,0.953140287694902,48037,0.958571107616266,44510,0.229718474841976,95091,0.213788679442103,95091
"1.5","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",8,0.95,0.936849831326662,70847,0.944225690655787,63237,0.398983414410697,95091,0.360119477775115,95091
"11","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9999,0.956246610016272,44248,0.961510530137981,41310,0.199695445111534,95785,0.186945676244894,95785
"1.11","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.9995,0.956246610016272,44248,0.961510530137981,41310,0.199695445111534,95785,0.186945676244894,95785
"1.21","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.999,0.956323705156824,44349,0.961603477420913,41410,0.20018666921439,95785,0.187430437460877,95785
"1.31","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.995,0.955392433653303,46046,0.96076191364357,42892,0.2114631913989,95785,0.197645559305992,95785
"1.41","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.99,0.953827258155172,48037,0.959221688585664,44558,0.225443900574597,95785,0.210121153776527,95785
"1.51","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",8,0.95,0.937739071520318,70847,0.945025103413433,63338,0.391394161112325,95785,0.353849627643923,95785
"12","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.9999,0.955943639611034,50390,0.960825709594182,46893,0.228940316914885,95091,0.213986730981467,95091
"1.12","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.9995,0.955943639611034,50390,0.960825709594182,46893,0.228940316914885,95091,0.213986730981467,95091
"1.22","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.999,0.955965627846197,50506,0.960829787234043,47000,0.229550907581512,95091,0.214542883084099,95091
"1.32","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.995,0.954607371026226,52123,0.959589692683129,48354,0.241367903747604,95091,0.225081882023124,95091
"1.42","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.99,0.952732371499207,54202,0.958047825478954,50057,0.256492712838859,95091,0.238375888979161,95091
"1.52","Markov",30,1,"max",0.99,"fixed","fixed",3.125,2000,3,"1,2","max_size",10,0.95,0.936245285314515,73971,0.943781011486579,65903,0.411672085590245,95091,0.371678993992364,95091
"13","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.9999,0.955110140900972,50390,0.960212711430036,46824,0.225535892957956,95785,0.210506407381822,95785
"1.13","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.9995,0.955110140900972,50390,0.960212711430036,46824,0.225535892957956,95785,0.210506407381822,95785
"1.23","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.999,0.955134043479983,50506,0.960218192665829,46931,0.226134273303779,95785,0.21104969549731,95785
"1.33","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.995,0.953897511655123,52123,0.958995174684698,48287,0.237925937400272,95785,0.221560838741286,95785
"1.43","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.99,0.952160436884248,54202,0.957659153183064,49999,0.252944583010856,95785,0.234840462337301,95785
"1.53","Markov",30,1,"max",0.99,"fixed","fixed",2.08333333333333,2000,3,"1,2","max_size",10,0.95,0.935163780400427,73971,0.942884080229924,65761,0.406862707935218,95785,0.366614068510691,95785
