"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.9,10,0.875,8,0.229333778966132,32,0.187388591800356,32
"2","1010508",0.9999,0.96969696969697,33,0.967741935483871,31,0.491323581988552,33,0.470675543158695,33
"3","1010540",0.9999,0.909090909090909,33,0.888888888888889,27,0.39347095123749,33,0.324966635530879,33
"4","1010562",0.9999,NA,0,NA,0,0,22,0,22
"5","1010567",0.9999,NA,0,NA,0,0,19,0,19
"6","1010611",0.9999,0.888888888888889,9,0.857142857142857,7,0.11306101986249,32,0.0606713139801375,32
"7","1010614",0.9999,0.875,8,0.857142857142857,7,0.180687864532503,33,0.152116435961074,33
"8","1010690",0.9999,NA,0,NA,0,0,31,0,31
"9","1010714",0.9999,0.96969696969697,33,0.967741935483871,31,0.398147870795888,33,0.37970254800274,33
"10","1010723",0.9999,0.8,10,0.666666666666667,6,0.111742997680761,33,0.0448989474220761,33
"11","1010730",0.9999,0.939393939393939,33,0.933333333333333,30,0.168495259447919,33,0.133726967061343,33
"12","1010794",0.9999,0.75,8,0.5,4,0.0619124735678588,33,0.0525512037369745,33
"13","1013889",0.9999,1,3,1,3,0.0830684467048103,33,0.0830684467048103,33
"14","1013891",0.9999,1,4,1,4,0.095874861572536,33,0.095874861572536,33
"15","1013911",0.9999,1,7,1,7,0.157785025246905,33,0.157785025246905,33
"16","1013935",0.9999,1,1,1,1,0.0262626262626263,33,0.0262626262626263,33
"17","1013936",0.9999,1,1,1,1,0.00432900432900433,33,0.00432900432900433,33
"18","1013944",0.9999,0.916666666666667,12,0.916666666666667,12,0.244271740708479,32,0.244271740708479,32
"19","1013965",0.9999,1,13,1,13,0.303720414582581,33,0.303720414582581,33
"20","1013976",0.9999,0.916666666666667,12,0.9,10,0.214864744192594,33,0.165116389566191,33
"21","1013982",0.9999,1,6,1,6,0.120922808220231,33,0.120922808220231,33
"22","1013990",0.9999,1,2,1,2,0.0408959727141545,33,0.0408959727141545,33
"23","1014019",0.9999,0.8,5,0.75,4,0.0820319124088525,33,0.0647158950928352,33
"24","1014046",0.9999,0.967741935483871,31,0.96551724137931,29,0.817330660882458,33,0.766590703165756,33
"25","1014048",0.9999,NA,0,NA,0,0,33,0,33
"26","1014056",0.9999,1,3,1,3,0.0753548776804591,33,0.0753548776804591,33
"27","1014060",0.9999,0.8,5,0.666666666666667,3,0.0996023799338264,33,0.059228650137741,33
"28","1014077",0.9999,0.5,2,0,1,0.025369978858351,33,0,33
"29","1014094",0.9999,NA,0,NA,0,0,33,0,33
"30","1014096",0.9999,0.75,4,0.5,2,0.0794410689089181,33,0.0268595041322314,33
"31","1014098",0.9999,0.96875,32,0.966666666666667,30,0.758817023377423,33,0.719527577191425,33
"32","1014119",0.9999,NA,0,NA,0,0,33,0,33
"33","1014128",0.9999,1,17,1,17,0.442290574190446,33,0.442290574190446,33
"34","1014150",0.9999,1,2,1,2,0.026973026973027,33,0.026973026973027,33
"35","1014155",0.9999,0.857142857142857,14,0.8,10,0.0971657689837724,32,0.0632596920181025,32
"36","1014163",0.9999,0.818181818181818,11,0.714285714285714,7,0.154482103262591,33,0.107179812057861,33
"37","1014164",0.9999,1,1,1,1,0.0187590187590188,33,0.0187590187590188,33
"38","1014172",0.9999,1,11,1,11,0.115523070903272,33,0.115523070903272,33
"39","1014213",0.9999,0.5,4,0.666666666666667,3,0.0606060606060606,33,0.0606060606060606,33
"40","1014271",0.9999,0.833333333333333,6,0.8,5,0.121527761500948,33,0.0933892333624196,33
"41","1014286",0.9999,0.857142857142857,7,0.8,5,0.11944087971756,33,0.08895419468542,33
"42","1014294",0.9999,1,4,1,4,0.106244260789715,33,0.106244260789715,33
"43","1014302",0.9999,1,1,1,1,0.0179063360881543,33,0.0179063360881543,33
"44","1014304",0.9999,1,3,1,3,0.0635353760145125,33,0.0635353760145125,33
"45","1014307",0.9999,1,33,1,33,0.619109788743704,33,0.619109788743704,33
"46","1014312",0.9999,1,2,1,2,0.0312767170133941,33,0.0312767170133941,33
"47","1014361",0.9999,0.833333333333333,6,0.75,4,0.116834865457997,33,0.0656083142314456,33
"48","1014363",0.9999,0.933333333333333,15,0.923076923076923,13,0.27570194484545,33,0.238183907327413,33
"49","1014365",0.9999,1,7,1,7,0.175253673295289,33,0.175253673295289,33
"50","1014371",0.9999,0.875,8,0.833333333333333,6,0.186375545422624,33,0.133846773381657,33
"51","1014403",0.9999,0.625,8,0.5,4,0.115339493006693,33,0.0431364644224955,33
"52","1014420",0.9999,1,1,1,1,0.0204369274136716,33,0.0204369274136716,33
"53","1014435",0.9999,0.6,10,0.333333333333333,3,0.166918352964865,33,0.0303030303030303,33
"54","1014447",0.9999,0.666666666666667,3,0,1,0.0527398434375178,33,0,33
"55","1014469",0.9999,1,1,1,1,0.0053475935828877,33,0.0053475935828877,33
"56","1014484",0.9999,1,1,1,1,0.0281385281385281,33,0.0281385281385281,33
"57","1014493",0.9999,0.625,8,0.833333333333333,6,0.123225611597705,33,0.123225611597705,33
"58","1014550",0.9999,1,22,1,22,0.14462824246106,33,0.14462824246106,33
"59","1014566",0.9999,1,31,1,31,0.703732252023517,33,0.703732252023517,33
"60","1014582",0.9999,0.5,2,0,1,0.00826446280991736,33,0,33
"61","1014593",0.9999,1,1,1,1,0.025369978858351,33,0.025369978858351,33
"62","1014600",0.9999,0.9,10,0.875,8,0.0754473817059316,33,0.060667273902568,33
"63","1014610",0.9999,0.666666666666667,6,0,2,0.0777887068002601,33,0,33
"64","1014611",0.9999,1,4,1,4,0.062015074167655,33,0.062015074167655,33
"65","1014612",0.9999,NA,0,NA,0,0,33,0,33
"66","1014627",0.9999,0.866666666666667,30,0.91304347826087,23,0.564545974287891,33,0.473127433479107,33
"67","1014653",0.9999,0.75,8,0.6,5,0.102318111995531,33,0.0294232649071359,33
"68","1014655",0.9999,0.909090909090909,11,0.9,10,0.169173922297567,33,0.14600101677172,33
"69","1014660",0.9999,0.96969696969697,33,0.967741935483871,31,0.42464007949133,33,0.39358432968558,33
"70","1014685",0.9999,0.941176470588235,17,0.933333333333333,15,0.232744992858226,32,0.198654083767317,32
"71","1014696",0.9999,0.933333333333333,30,0.923076923076923,26,0.486192903336524,33,0.433379050522672,33
"72","1014697",0.9999,0.962962962962963,27,0.96,25,0.469715785569444,33,0.440927906781565,33
"73","1014721",0.9999,1,33,1,33,0.883734578991496,33,0.883734578991496,33
"74","1014734",0.9999,0.944444444444444,18,0.9375,16,0.306282268001144,33,0.284838595394681,33
