"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","schedule_setting","state_num","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9999,0.997933047405738,1967631,0.998366408920029,1960711,0.335761189737353,2962194,0.334606677576627,2962194
"1.1","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.9995,0.997745872294384,2262516,0.998194036771541,2253645,0.420997759427263,2962194,0.419459986971357,2962194
"1.2","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.999,0.997611585223838,2443043,0.998065169306934,2432771,0.47749567769271,2962194,0.475673732676012,2962194
"1.3","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.995,0.996461979868917,2741929,0.997017561697931,2724281,0.611134321106162,2962194,0.607767524941342,2962194
"1.4","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.99,0.995146222546983,2798645,0.995841146581646,2773601,0.662147833254063,2962194,0.657133597944354,2962194
"1.5","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",8,0.95,0.985489478569015,2897277,0.987087741960669,2817865,0.781093348023886,2962194,0.762723087101223,2962194
"11","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9999,0.997970656083382,1967631,0.998400695208001,1960852,0.331102584568711,2965498,0.3299905238565,2965498
"1.11","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.9995,0.997788744919373,2262516,0.998231896236934,2253827,0.414607065549987,2965498,0.413126895542146,2965498
"1.21","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.999,0.997659066991453,2443043,0.99810850179532,2432992,0.469792395727447,2965498,0.46804313414118,2965498
"1.31","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.995,0.996571756599095,2741929,0.997115070554342,2724850,0.600267556435915,2965498,0.59707229937325,2965498
"1.41","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.99,0.995335242590611,2798645,0.996011327009555,2774607,0.650542019866248,2965498,0.645819885340322,2965498
"1.51","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",8,0.95,0.986067952770826,2897277,0.987622759489767,2821065,0.771276179925459,2965498,0.753900929580026,2965498
"12","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9999,0.998035711590859,2054179,0.998452618776651,2047330,0.344735490414844,2967254,0.343624663725697,2967254
"1.12","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.9995,0.997837341306395,2331852,0.998269115703653,2323090,0.429799435808257,2967254,0.428318907945529,2967254
"1.22","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.999,0.997711930857273,2504732,0.998148039025869,2494653,0.485755936789225,2967254,0.484007940408608,2967254
"1.32","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.995,0.996648322196521,2774133,0.997178703509266,2757243,0.614733393737493,2967254,0.611596653775247,2967254
"1.42","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.99,0.995516880062657,2826826,0.996171255524285,2803530,0.664212507541074,2967254,0.659719532234341,2967254
"1.52","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",10,0.95,0.987567162056607,2911242,0.989027690528465,2843066,0.780371386496927,2967254,0.765216864807736,2967254
"13","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9999,0.997992385278985,2054179,0.998415858801875,2047166,0.344206256422776,2970749,0.343064279283085,2970749
"1.13","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.9995,0.997788881970211,2331852,0.998226769452907,2322879,0.42887190294406,2970749,0.427347737132177,2970749
"1.23","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.999,0.997652443455028,2504732,0.998096117024859,2494376,0.484434456909436,2970749,0.482629550673359,2970749
"1.33","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.995,0.996519272868316,2774133,0.997067016762444,2756579,0.612737485092637,2970749,0.609459107623995,2970749
"1.43","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.99,0.995261823684939,2826826,0.995950303067071,2802185,0.662566229135294,2970749,0.657763059765038,2970749
"1.53","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",10,0.95,0.985409663641841,2911242,0.986989150914405,2831022,0.781513157305745,2970749,0.76300639484036,2970749
"14","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.9999,0.997748686506528,2200049,0.998210787568327,2191467,0.381309885326174,2971254,0.379873777779944,2971254
"1.14","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.9995,0.997424772328594,2452987,0.997915894529274,2441815,0.469739132920933,2971254,0.467793244788069,2971254
"1.24","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.999,0.997191097668107,2599948,0.997698009812547,2586892,0.525965435124233,2971254,0.523621852584644,2971254
"1.34","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.995,0.995592116883384,2819494,0.996269219739882,2796734,0.65261458596163,2971254,0.648187634849306,2971254
"1.44","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.99,0.993816441992037,2863400,0.994675313159205,2830589,0.702422824082351,2971254,0.695690327368253,2971254
"1.54","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",16,0.95,0.979424533277945,2927224,0.981505750129291,2813415,0.815955609799749,2971254,0.788312773371429,2971254
"15","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.9999,0.99781232145284,2200049,0.998265294110669,2191726,0.374308742888285,2974749,0.372944318933483,2974749
"1.15","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.9995,0.997505490245158,2452987,0.997983359955712,2442181,0.460996443715636,2974749,0.459151024956878,2974749
"1.25","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.999,0.997280714845066,2599948,0.99777453719611,2587327,0.516205360599614,2974749,0.513985373118605,2974749
"1.35","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.995,0.995762360196546,2819494,0.996416976183829,2797637,0.641558839907432,2974749,0.637385927790219,2974749
"1.45","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.99,0.994086051547112,2863400,0.994916414082207,2832056,0.691624250467509,2974749,0.685302918879485,2974749
"1.55","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",16,0.95,0.98006336378767,2927224,0.982079065535553,2816929,0.807653534175235,2974749,0.781144841357222,2974749
"16","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.9999,0.997984097312189,2244652,0.998405331120676,2236828,0.374207459405388,2971254,0.372958918077017,2971254
"1.16","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.9995,0.997701238712405,2497432,0.998140549528926,2487294,0.464255256651341,2971254,0.462557826637113,2971254
"1.26","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.999,0.997505158043986,2634235,0.99795768877175,2622519,0.519301542955267,2971254,0.517289873949981,2971254
"1.36","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.995,0.996079289711048,2832650,0.996685689903462,2812350,0.645316052794156,2971254,0.641517131520656,2971254
"1.46","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.99,0.994604025528488,2873809,0.995373193554385,2845159,0.695369507433501,2971254,0.68975592957156,2971254
"1.56","Multinomial",30,1,"max",0.99,"fixed",3.125,60000,3,"1,2","max_size",20,0.95,0.983172470829633,2930971,0.985021582480311,2837950,0.810459908870148,2971254,0.788809527267004,2971254
"17","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.9999,0.997917271808726,2244652,0.998350591980542,2236560,0.375364287616474,2974749,0.374070573442706,2974749
"1.17","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.9995,0.997613148225858,2497432,0.998064246586194,2486887,0.465294168378428,2974749,0.463521704734949,2974749
"1.27","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.999,0.997397346857816,2634235,0.997863455671663,2621991,0.520321311461114,2974749,0.518211700497747,2974749
"1.37","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.995,0.995890420630858,2832650,0.996518033024797,2811342,0.646015505147268,2974749,0.642003729213578,2974749
"1.47","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.99,0.994264058606539,2873809,0.995076547569223,2843330,0.695656046846071,2974749,0.689628571607879,2974749
"1.57","Multinomial",30,1,"max",0.99,"fixed",2.08333333333333,60000,3,"1,2","max_size",20,0.95,0.981225675723165,2930971,0.983167074575728,2827019,0.809156283979041,2974749,0.784533544634775,2974749
