"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.909090909090909,11,0.888888888888889,9,0.0630334964313292,65,0.0494588357978451,65
"2","1010508",0.9999,1,66,1,66,0.410196780999709,66,0.410196780999709,66
"3","1010540",0.9999,0.984848484848485,66,0.984375,64,0.430658246917639,66,0.417868006854671,66
"4","1010562",0.9999,0,2,0,1,0,54,0,54
"5","1010567",0.9999,NA,0,NA,0,0,48,0,48
"6","1010611",0.9999,1,10,1,10,0.0417463079906519,65,0.0417463079906519,65
"7","1010614",0.9999,0.952380952380952,21,0.947368421052632,19,0.205591166553733,66,0.184200792222183,66
"8","1010690",0.9999,NA,0,NA,0,0,64,0,64
"9","1010714",0.9999,0.984848484848485,66,0.984375,64,0.358023261973772,66,0.34221298529393,66
"10","1010723",0.9999,NA,0,NA,0,0,66,0,66
"11","1010730",0.9999,1,57,1,57,0.284773535431245,66,0.284773535431245,66
"12","1010794",0.9999,0.888888888888889,18,0.875,16,0.203201765934867,66,0.178056698236608,66
"13","1013889",0.9999,1,2,1,2,0.0041407867494824,66,0.0041407867494824,66
"14","1013891",0.9999,1,43,1,43,0.397676403662455,66,0.397676403662455,66
"15","1013911",0.9999,1,2,1,2,0.0167591029659995,66,0.0167591029659995,66
"16","1013935",0.9999,NA,0,NA,0,0,66,0,66
"17","1013936",0.9999,1,6,1,6,0.0515453538709353,66,0.0515453538709353,66
"18","1013944",0.9999,0.964912280701754,57,0.962264150943396,53,0.423884711891606,65,0.389921417524934,65
"19","1013965",0.9999,1,1,1,1,0.00779220779220779,66,0.00779220779220779,66
"20","1013976",0.9999,1,25,1,25,0.222958360929536,66,0.222958360929536,66
"21","1013982",0.9999,1,3,1,3,0.0279243348297057,66,0.0279243348297057,66
"22","1013990",0.9999,NA,0,NA,0,0,66,0,66
"23","1014019",0.9999,NA,0,NA,0,0,66,0,66
"24","1014046",0.9999,1,2,1,2,0.0169133192389006,66,0.0169133192389006,66
"25","1014048",0.9999,NA,0,NA,0,0,66,0,66
"26","1014056",0.9999,1,16,1,16,0.0624549232649822,66,0.0624549232649822,66
"27","1014060",0.9999,NA,0,NA,0,0,66,0,66
"28","1014077",0.9999,NA,0,NA,0,0,66,0,66
"29","1014094",0.9999,0.947368421052632,19,0.941176470588235,17,0.135437868501569,66,0.127156295002604,66
"30","1014096",0.9999,1,66,1,66,0.570984755590025,66,0.570984755590025,66
"31","1014098",0.9999,1,66,1,66,0.548160612112253,66,0.548160612112253,66
"32","1014119",0.9999,NA,0,NA,0,0,66,0,66
"33","1014128",0.9999,1,2,1,2,0.00944669365721997,66,0.00944669365721997,66
"34","1014150",0.9999,NA,0,NA,0,0,66,0,66
"35","1014155",0.9999,0,1,0,1,0,65,0,65
"36","1014163",0.9999,0.979166666666667,48,0.978260869565217,46,0.269203546921118,66,0.254052031769603,66
"37","1014164",0.9999,1,66,1,66,0.325191520562315,66,0.325191520562315,66
"38","1014172",0.9999,1,5,1,5,0.0218742301059374,66,0.0218742301059374,66
"39","1014213",0.9999,1,19,1,19,0.0808252322381132,66,0.0808252322381132,66
"40","1014271",0.9999,1,1,1,1,0.0103896103896104,66,0.0103896103896104,66
"41","1014286",0.9999,1,1,1,1,0.00404040404040404,66,0.00404040404040404,66
"42","1014294",0.9999,1,11,1,11,0.108104858104858,66,0.108104858104858,66
"43","1014302",0.9999,1,2,1,2,0.00989304812834224,66,0.00989304812834224,66
"44","1014304",0.9999,1,1,1,1,0.0109848484848485,66,0.0109848484848485,66
"45","1014307",0.9999,1,3,1,3,0.0253791310873763,66,0.0253791310873763,66
"46","1014312",0.9999,1,7,1,7,0.0677179737469888,66,0.0677179737469888,66
"47","1014361",0.9999,1,2,1,2,0.0209235209235209,66,0.0209235209235209,66
"48","1014363",0.9999,1,17,1,17,0.152700360709436,66,0.152700360709436,66
"49","1014365",0.9999,1,10,1,10,0.128837640949173,66,0.128837640949173,66
"50","1014371",0.9999,0.976744186046512,43,0.975609756097561,41,0.421831996704373,66,0.396159994288185,66
"51","1014403",0.9999,1,1,1,1,0.00422832980972516,66,0.00422832980972516,66
"52","1014420",0.9999,NA,0,NA,0,0,66,0,66
"53","1014435",0.9999,1,6,1,6,0.0480975165185692,66,0.0480975165185692,66
"54","1014447",0.9999,1,18,1,18,0.14906594140284,66,0.14906594140284,66
"55","1014469",0.9999,1,2,1,2,0.017114668277459,66,0.017114668277459,66
"56","1014484",0.9999,0.984615384615385,65,0.984615384615385,65,0.542464695378566,66,0.542464695378566,66
"57","1014493",0.9999,1,9,1,9,0.0758208451912366,66,0.0758208451912366,66
"58","1014550",0.9999,NA,0,NA,0,0,66,0,66
"59","1014566",0.9999,1,1,1,1,0.00395256916996047,66,0.00395256916996047,66
