"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.95959595959596,99,0.967391304347826,92,0.237153979003971,97,0.226584868058038,97
"2","1010508",0.9999,1,99,1,99,0.400978675481137,99,0.400978675481137,99
"3","1010540",0.9999,0.98989898989899,99,0.989690721649485,97,0.338700210502491,99,0.326490198292479,99
"4","1010562",0.9999,NA,0,NA,0,0,86,0,86
"5","1010567",0.9999,0.6,5,0.666666666666667,3,0.0105551945707891,81,0.0050682261208577,81
"6","1010611",0.9999,0.964285714285714,56,0.961538461538462,52,0.37056892442831,95,0.339752753566373,95
"7","1010614",0.9999,0.96969696969697,99,0.967741935483871,93,0.530459339328253,97,0.498372627295328,97
"8","1010690",0.9999,NA,0,NA,0,0,95,0,95
"9","1010714",0.9999,0.95959595959596,99,0.956043956043956,91,0.56493645547448,99,0.517265080995542,99
"10","1010723",0.9999,0.90625,32,0.892857142857143,28,0.0933269599109486,99,0.0843939318208324,99
"11","1010730",0.9999,0.976744186046512,43,0.975609756097561,41,0.0922005978850284,99,0.0836182224061012,99
"12","1010794",0.9999,0.96969696969697,99,0.978723404255319,94,0.779427741222025,98,0.746436759989233,98
"13","1013889",0.9999,NA,0,NA,0,0,99,0,99
"14","1013891",0.9999,1,5,1,5,0.0360934652122392,99,0.0360934652122392,99
"15","1013911",0.9999,1,10,1,10,0.064255364847493,99,0.064255364847493,99
"16","1013935",0.9999,1,2,1,2,0.0145454545454545,99,0.0145454545454545,99
"17","1013936",0.9999,NA,0,NA,0,0,99,0,99
"18","1013944",0.9999,0.96,25,0.956521739130435,23,0.106771573098104,98,0.0973524208218086,98
"19","1013965",0.9999,1,14,1,14,0.0809397385642596,99,0.0809397385642596,99
"20","1013976",0.9999,NA,0,NA,0,0,99,0,99
"21","1013982",0.9999,0.972222222222222,36,0.970588235294118,34,0.205504971304528,99,0.193960959760516,99
"22","1013990",0.9999,1,38,1,38,0.217404845757336,99,0.217404845757336,99
"23","1014019",0.9999,0.882352941176471,17,0.9375,16,0.0895981328165236,99,0.0895981328165236,99
"24","1014046",0.9999,NA,0,NA,0,0,99,0,99
"25","1014048",0.9999,NA,0,NA,0,0,99,0,99
"26","1014056",0.9999,1,2,1,2,0.0129292929292929,99,0.0129292929292929,99
"27","1014060",0.9999,1,2,1,2,0.0109601764774179,99,0.0109601764774179,99
"28","1014077",0.9999,NA,0,NA,0,0,99,0,99
"29","1014094",0.9999,1,2,1,2,0.0115440115440115,99,0.0115440115440115,99
"30","1014096",0.9999,1,4,1,4,0.02877880986891,99,0.02877880986891,99
"31","1014098",0.9999,1,5,1,5,0.0341479049283042,99,0.0341479049283042,99
"32","1014119",0.9999,NA,0,NA,0,0,99,0,99
"33","1014128",0.9999,1,2,1,2,0.0130125733990468,99,0.0130125733990468,99
"34","1014150",0.9999,NA,0,NA,0,0,99,0,99
"35","1014155",0.9999,0.916666666666667,12,0.9,10,0.0656084656084656,98,0.0533635676492819,98
"36","1014163",0.9999,0.875,8,0.857142857142857,7,0.0628989117878007,99,0.054240903129792,99
"37","1014164",0.9999,0,1,0,1,0,99,0,99
"38","1014172",0.9999,1,1,1,1,0.00748222970445193,99,0.00748222970445193,99
"39","1014213",0.9999,1,6,1,6,0.0363850141627919,99,0.0363850141627919,99
"40","1014271",0.9999,1,4,1,4,0.0227159147698878,99,0.0227159147698878,99
"41","1014286",0.9999,NA,0,NA,0,0,99,0,99
"42","1014294",0.9999,NA,0,NA,0,0,99,0,99
"43","1014302",0.9999,NA,0,NA,0,0,99,0,99
"44","1014304",0.9999,1,1,1,1,0.00808080808080808,99,0.00808080808080808,99
"45","1014307",0.9999,1,36,1,36,0.206507260300364,99,0.206507260300364,99
"46","1014312",0.9999,1,33,1,33,0.188911149346721,99,0.188911149346721,99
"47","1014361",0.9999,0.5,4,0.666666666666667,3,0.0202020202020202,99,0.0202020202020202,99
"48","1014363",0.9999,1,15,1,15,0.11403028644408,99,0.11403028644408,99
"49","1014365",0.9999,1,4,1,4,0.0346961680295014,99,0.0346961680295014,99
"50","1014371",0.9999,0.777777777777778,9,0.833333333333333,6,0.0693370486473935,99,0.0494833391385116,99
"51","1014403",0.9999,NA,0,NA,0,0,99,0,99
"52","1014420",0.9999,NA,0,NA,0,0,99,0,99
"53","1014435",0.9999,0.777777777777778,9,0.6,5,0.0538249489973628,99,0.022951352606525,99
"54","1014447",0.9999,NA,0,NA,0,0,99,0,99
"55","1014469",0.9999,1,2,1,2,0.0136817914595692,99,0.0136817914595692,99
"56","1014484",0.9999,NA,0,NA,0,0,99,0,99
"57","1014493",0.9999,1,8,1,8,0.0480658436213992,99,0.0480658436213992,99
"58","1014550",0.9999,0.928571428571429,14,0.916666666666667,12,0.0409034478781423,99,0.0349856843846213,99
"59","1014566",0.9999,1,5,1,5,0.0260669729268763,99,0.0260669729268763,99
"60","1014582",0.9999,1,35,1,35,0.196040149123822,99,0.196040149123822,99
