"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.999,0.909090909090909,33,0.888888888888889,27,0.320206675045385,31,0.232230135455942,31
"2","1010508",0.999,1,27,1,27,0.191539462586893,33,0.191539462586893,33
"3","1010540",0.999,0.939393939393939,33,0.935483870967742,31,0.555881568177933,33,0.518403614033312,33
"4","1010562",0.999,NA,0,NA,0,0,21,0,21
"5","1010567",0.999,NA,0,NA,0,0,19,0,19
"6","1010611",0.999,0.878787878787879,33,0.892857142857143,28,0.219399358149062,29,0.185545655629693,29
"7","1010614",0.999,0.909090909090909,33,0.888888888888889,27,0.381117054745827,31,0.273712362663715,31
"8","1010690",0.999,NA,0,NA,0,0,29,0,29
"9","1010714",0.999,0.96969696969697,33,0.967741935483871,31,0.413735732715008,33,0.382455185305428,33
"10","1010723",0.999,1,1,1,1,0.00336700336700337,33,0.00336700336700337,33
"11","1010730",0.999,1,33,1,33,0.15513025953029,33,0.15513025953029,33
"12","1010794",0.999,0.90625,32,0.962962962962963,27,0.634166517691615,32,0.570449888103183,32
"13","1013889",0.999,1,33,1,33,0.186118372899982,33,0.186118372899982,33
"14","1013891",0.999,1,33,1,33,0.172701833121623,33,0.172701833121623,33
"15","1013911",0.999,0.9375,16,0.928571428571429,14,0.100035660380488,33,0.08719792340482,33
"16","1013935",0.999,1,32,1,32,0.188700454967322,33,0.188700454967322,33
"17","1013936",0.999,1,33,1,33,0.266621607426205,33,0.266621607426205,33
"18","1013944",0.999,0.967741935483871,31,0.96551724137931,29,0.0966414003860124,32,0.0930801468247589,32
"19","1013965",0.999,1,32,1,32,0.145740367714608,33,0.145740367714608,33
"20","1013976",0.999,1,27,1,27,0.0817527029648242,33,0.0817527029648242,33
"21","1013982",0.999,1,33,1,33,0.161424044759028,33,0.161424044759028,33
"22","1013990",0.999,1,33,1,33,0.230966347033314,33,0.230966347033314,33
"23","1014019",0.999,1,29,1,29,0.100633226829674,33,0.100633226829674,33
"24","1014046",0.999,1,33,1,33,0.197438193989918,33,0.197438193989918,33
"25","1014048",0.999,1,33,1,33,0.214509628302732,33,0.214509628302732,33
"26","1014056",0.999,1,32,1,32,0.235732945215704,33,0.235732945215704,33
"27","1014060",0.999,1,33,1,33,0.217127355403217,33,0.217127355403217,33
"28","1014077",0.999,1,33,1,33,0.242363039259591,33,0.242363039259591,33
"29","1014094",0.999,1,31,1,31,0.208775714784074,33,0.208775714784074,33
"30","1014096",0.999,1,33,1,33,0.161110005362879,33,0.161110005362879,33
"31","1014098",0.999,1,33,1,33,0.237111137107192,33,0.237111137107192,33
