"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.875,16,0.833333333333333,12,0.117835722315006,47,0.074834602494177,47
"2","1010508",0.9999,1,48,1,48,0.428681791368316,48,0.428681791368316,48
"3","1010540",0.9999,1,48,1,48,0.530464685816806,48,0.530464685816806,48
"4","1010562",0.9999,0,1,0,1,0,39,0,39
"5","1010567",0.9999,NA,0,NA,0,0,33,0,33
"6","1010611",0.9999,0.875,16,0.923076923076923,13,0.19589663392289,47,0.168429189249155,47
"7","1010614",0.9999,1,5,1,5,0.07473677691069,48,0.07473677691069,48
"8","1010690",0.9999,0.75,4,0.5,2,0.0214657210401891,47,0.00709219858156028,47
"9","1010714",0.9999,0.979166666666667,48,0.978260869565217,46,0.318713706175304,48,0.30258467391724,48
"10","1010723",0.9999,1,14,1,14,0.0587805503475153,48,0.0587805503475153,48
"11","1010730",0.9999,1,47,1,47,0.328428341675966,48,0.328428341675966,48
"12","1010794",0.9999,0.904761904761905,21,0.944444444444444,18,0.256748278092287,48,0.223633882908926,48
"13","1013889",0.9999,1,13,1,13,0.125554280570124,48,0.125554280570124,48
"14","1013891",0.9999,1,8,1,8,0.106242818092485,48,0.106242818092485,48
"15","1013911",0.9999,1,5,1,5,0.0446150874142761,48,0.0446150874142761,48
"16","1013935",0.9999,1,1,1,1,0.0130718954248366,48,0.0130718954248366,48
"17","1013936",0.9999,1,46,1,46,0.586280851622054,48,0.586280851622054,48
"18","1013944",0.9999,1,2,1,2,0.0227897353549702,47,0.0227897353549702,47
"19","1013965",0.9999,NA,0,NA,0,0,48,0,48
"20","1013976",0.9999,1,3,1,3,0.0153218694885362,48,0.0153218694885362,48
"21","1013982",0.9999,1,11,1,11,0.129467543502631,48,0.129467543502631,48
"22","1013990",0.9999,NA,0,NA,0,0,48,0,48
"23","1014019",0.9999,1,5,1,5,0.0294486215538847,48,0.0294486215538847,48
"24","1014046",0.9999,1,14,1,14,0.226197678103304,48,0.226197678103304,48
"25","1014048",0.9999,NA,0,NA,0,0,48,0,48
"26","1014056",0.9999,1,33,1,33,0.147913115036142,48,0.147913115036142,48
"27","1014060",0.9999,NA,0,NA,0,0,48,0,48
"28","1014077",0.9999,NA,0,NA,0,0,48,0,48
"29","1014094",0.9999,1,7,1,7,0.0879875694984588,48,0.0879875694984588,48
"30","1014096",0.9999,1,3,1,3,0.0505747126436782,48,0.0505747126436782,48
"31","1014098",0.9999,1,48,1,48,0.571726023506928,48,0.571726023506928,48
"32","1014119",0.9999,1,1,1,1,0.00862068965517241,48,0.00862068965517241,48
"33","1014128",0.9999,1,3,1,3,0.0373401534526854,48,0.0373401534526854,48
"34","1014150",0.9999,1,11,1,11,0.0992798941636187,48,0.0992798941636187,48
"35","1014155",0.9999,1,3,1,3,0.0297963358171597,47,0.0297963358171597,47
"36","1014163",0.9999,1,34,1,34,0.2518031956985,48,0.2518031956985,48
"37","1014164",0.9999,1,13,1,13,0.125473931916379,48,0.125473931916379,48
"38","1014172",0.9999,1,2,1,2,0.00606060606060606,48,0.00606060606060606,48
"39","1014213",0.9999,1,2,1,2,0.0239942528735632,48,0.0239942528735632,48
