"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.833333333333333,6,0.75,4,0.00226322696910932,65,0.00135824959354371,65
"2","1010508",0.9999,1,66,1,66,0.39605781406717,66,0.39605781406717,66
"3","1010540",0.9999,1,66,1,66,0.316650209022135,66,0.316650209022135,66
"4","1010562",0.9999,NA,0,NA,0,0,54,0,54
"5","1010567",0.9999,NA,0,NA,0,0,49,0,49
"6","1010611",0.9999,NA,0,NA,0,0,65,0,65
"7","1010614",0.9999,1,65,1,65,0.0627836481657196,66,0.0627836481657196,66
"8","1010690",0.9999,NA,0,NA,0,0,64,0,64
"9","1010714",0.9999,0.984848484848485,66,0.984375,64,0.255691400954658,66,0.24515121650143,66
"10","1010723",0.9999,0,1,0,1,0,66,0,66
"11","1010730",0.9999,1,66,1,66,0.0807527472490986,66,0.0807527472490986,66
"12","1010794",0.9999,0.96875,64,0.966666666666667,60,0.0612803901662683,66,0.0449898362986823,66
"13","1013889",0.9999,NA,0,NA,0,0,66,0,66
"14","1013891",0.9999,1,10,1,10,0.115177942212826,66,0.115177942212826,66
"15","1013911",0.9999,NA,0,NA,0,0,66,0,66
"16","1013935",0.9999,1,11,1,11,0.111111111111111,66,0.111111111111111,66
"17","1013936",0.9999,1,14,1,14,0.142053272074414,66,0.142053272074414,66
"18","1013944",0.9999,1,18,1,18,0.163848522436157,65,0.163848522436157,65
"19","1013965",0.9999,1,8,1,8,0.0754070565471586,66,0.0754070565471586,66
"20","1013976",0.9999,1,24,1,24,0.243096403888313,66,0.243096403888313,66
"21","1013982",0.9999,NA,0,NA,0,0,66,0,66
"22","1013990",0.9999,1,28,1,28,0.339001868306257,66,0.339001868306257,66
"23","1014019",0.9999,0.966666666666667,30,0.966666666666667,30,0.291768765676877,66,0.291768765676877,66
"24","1014046",0.9999,0.964285714285714,28,0.961538461538462,26,0.285290880718999,66,0.254987850415969,66
"25","1014048",0.9999,1,18,1,18,0.185103450695417,66,0.185103450695417,66
"26","1014056",0.9999,NA,0,NA,0,0,66,0,66
"27","1014060",0.9999,NA,0,NA,0,0,66,0,66
"28","1014077",0.9999,1,66,1,66,0.260879263719477,66,0.260879263719477,66
"29","1014094",0.9999,0.972222222222222,36,0.972222222222222,36,0.335014313732486,66,0.335014313732486,66
"30","1014096",0.9999,1,6,1,6,0.0718816067653277,66,0.0718816067653277,66
"31","1014098",0.9999,1,32,1,32,0.311564342093343,66,0.311564342093343,66
"32","1014119",0.9999,0.5,2,0.5,2,0.0130373502466526,66,0.0130373502466526,66
"33","1014128",0.9999,1,29,1,29,0.247952568957062,66,0.247952568957062,66
"34","1014150",0.9999,1,4,1,4,0.0413223140495868,66,0.0413223140495868,66
"35","1014155",0.9999,NA,0,NA,0,0,65,0,65
"36","1014163",0.9999,NA,0,NA,0,0,66,0,66
"37","1014164",0.9999,1,11,1,11,0.140114346932529,66,0.140114346932529,66
"38","1014172",0.9999,NA,0,NA,0,0,66,0,66
"39","1014213",0.9999,1,9,1,9,0.0878316538993072,66,0.0878316538993072,66
"40","1014271",0.9999,1,13,1,13,0.165713737324628,66,0.165713737324628,66
"41","1014286",0.9999,1,7,1,7,0.0872053872053872,66,0.0872053872053872,66
"42","1014294",0.9999,1,17,1,17,0.214836773532426,66,0.214836773532426,66
"43","1014302",0.9999,1,1,1,1,0.0102272727272727,66,0.0102272727272727,66
"44","1014304",0.9999,1,31,1,31,0.302869338202319,66,0.302869338202319,66
"45","1014307",0.9999,1,66,1,66,0.447436494214089,66,0.447436494214089,66
"46","1014312",0.9999,1,32,1,32,0.33648109555009,66,0.33648109555009,66
"47","1014361",0.9999,1,12,1,12,0.142222606913475,66,0.142222606913475,66
"48","1014363",0.9999,1,12,1,12,0.00862685015472104,66,0.00862685015472104,66
"49","1014365",0.9999,1,24,1,24,0.136822506246396,66,0.136822506246396,66
"50","1014371",0.9999,1,23,1,23,0.13076162745051,66,0.13076162745051,66
"51","1014403",0.9999,0.888888888888889,18,0.875,16,0.152202615515636,66,0.134784779651712,66
"52","1014420",0.9999,1,22,1,22,0.235772679836316,66,0.235772679836316,66
"53","1014435",0.9999,1,25,1,25,0.204767790390711,66,0.204767790390711,66
"54","1014447",0.9999,1,21,1,21,0.244327143375769,66,0.244327143375769,66
"55","1014469",0.9999,1,18,1,18,0.17732062393796,66,0.17732062393796,66
"56","1014484",0.9999,1,7,1,7,0.0730393637370381,66,0.0730393637370381,66
"57","1014493",0.9999,1,6,1,6,0.0660424846471358,66,0.0660424846471358,66
"58","1014550",0.9999,1,6,1,6,0.0183750497703986,66,0.0183750497703986,66
"59","1014566",0.9999,1,8,1,8,0.0835718384321197,66,0.0835718384321197,66
"60","1014582",0.9999,1,9,1,9,0.0873687036477734,66,0.0873687036477734,66
"61","1014593",0.9999,1,18,1,18,0.196676356295807,66,0.196676356295807,66
"62","1014600",0.9999,1,1,1,1,0.0115440115440115,66,0.0115440115440115,66
"63","1014610",0.9999,1,4,1,4,0.0450098996610625,66,0.0450098996610625,66
"64","1014611",0.9999,NA,0,NA,0,0,66,0,66
"65","1014612",0.9999,1,9,1,9,0.0924192086982785,66,0.0924192086982785,66
"66","1014627",0.9999,0.928571428571429,14,0.928571428571429,14,0.132793355136861,66,0.132793355136861,66
"67","1014653",0.9999,0.984848484848485,66,0.984375,64,0.0889291581184014,66,0.0870629890968071,66
"68","1014655",0.9999,NA,0,NA,0,0,66,0,66
"69","1014660",0.9999,0.984848484848485,66,0.984375,64,0.402850314101525,66,0.38690063877685,66
"70","1014685",0.9999,0.977272727272727,44,0.976190476190476,42,0.062287661655664,65,0.0604228597908622,65
"71","1014696",0.9999,1,66,1,66,0.0524243052084859,66,0.0524243052084859,66
"72","1014697",0.9999,0.984848484848485,66,0.984375,64,0.184789612705783,66,0.168898999254194,66
"73","1014721",0.9999,1,66,1,66,0.298187074965731,66,0.298187074965731,66
"74","1014734",0.9999,NA,0,NA,0,0,66,0,66
"75","1014736",0.9999,1,63,1,63,0.062536250521835,66,0.062536250521835,66
"76","1014746",0.9999,NA,0,NA,0,0,64,0,64
"77","1014794",0.9999,NA,0,NA,0,0,66,0,66
"78","1014804",0.9999,NA,0,NA,0,0,65,0,65
"79","1014822",0.9999,NA,0,NA,0,0,66,0,66
"80","1014853",0.9999,1,1,1,1,0.00620347394540943,62,0.00620347394540943,62
"81","1014858",0.9999,NA,0,NA,0,0,64,0,64
"82","1014873",0.9999,NA,0,NA,0,0,60,0,60
"83","1014876",0.9999,NA,0,NA,0,0,63,0,63
"84","1014881",0.9999,1,66,1,66,0.0259061018820812,66,0.0259061018820812,66
"85","1014887",0.9999,1,1,1,1,0.00408348457350272,58,0.00408348457350272,58
"86","1014890",0.9999,0.962962962962963,27,0.962962962962963,27,0.237816004169988,62,0.237816004169988,62
"87","1014892",0.9999,1,1,1,1,0.015625,64,0.015625,64
"88","1014905",0.9999,1,66,1,66,0.0950130396129206,66,0.0950130396129206,66
"89","1014964",0.9999,NA,0,NA,0,0,66,0,66
"90","1015048",0.9999,1,66,1,66,0.076339174110139,66,0.076339174110139,66
"91","1015164",0.9999,0.984848484848485,66,0.984375,64,0.197860352819312,66,0.168769443728402,66
"92","1015170",0.9999,1,66,1,66,0.417370782411919,66,0.417370782411919,66
"93","1015176",0.9999,0.96875,64,0.966666666666667,60,0.301089302676693,66,0.27366278182912,66
"94","1015199",0.9999,0.984848484848485,66,0.984375,64,0.406839790521548,66,0.398019235808824,66
"95","1015204",0.9999,1,66,1,66,0.328929558594285,66,0.328929558594285,66
"96","1015242",0.9999,0.984375,64,0.983870967741935,62,0.344005640510401,66,0.332734391434274,66
"97","1015259",0.9999,0.976190476190476,42,0.975609756097561,41,0.02134843046687,65,0.0208959417790872,65
"98","1015271",0.9999,0.984848484848485,66,0.984375,64,0.0661964931967056,66,0.0652566435726455,66
"99","1015283",0.9999,1,9,1,9,0.098385897576181,65,0.098385897576181,65
"100","1015295",0.9999,1,66,1,66,0.128882303725731,66,0.128882303725731,66
"101","1015303",0.9999,0.984848484848485,66,0.984375,64,0.27378793902793,66,0.26434124537071,66
"102","1015323",0.9999,NA,0,NA,0,0,66,0,66
"103","1015390",0.9999,NA,0,NA,0,0,66,0,66
"104","1015398",0.9999,NA,0,NA,0,0,66,0,66
"105","1015412",0.9999,NA,0,NA,0,0,66,0,66
"106","1015414",0.9999,1,66,1,66,0.47103131144427,66,0.47103131144427,66
"107","1015430",0.9999,1,66,1,66,0.0523291704337541,66,0.0523291704337541,66
"108","1015431",0.9999,1,66,1,66,0.183415811179076,66,0.183415811179076,66
"109","1015434",0.9999,NA,0,NA,0,0,65,0,65
"110","1015435",0.9999,1,66,1,66,0.354679858796071,66,0.354679858796071,66
"111","1015441",0.9999,0.96,25,0.958333333333333,24,0.0203884233430464,61,0.0195256105734175,61
"112","1015455",0.9999,1,66,1,66,0.425489812728561,66,0.425489812728561,66
"113","1015481",0.9999,NA,0,NA,0,0,61,0,61
"114","1015497",0.9999,1,66,1,66,0.228564280436284,66,0.228564280436284,66
"115","1015521",0.9999,NA,0,NA,0,0,59,0,59
"116","1015525",0.9999,0.984848484848485,66,0.984375,64,0.22668103486634,66,0.222173752742779,66
"117","1015542",0.9999,1,63,1,63,0.0636496438884041,66,0.0636496438884041,66
"118","1015562",0.9999,0.984848484848485,66,0.984375,64,0.21140332372489,66,0.207385876525624,66
"119","1015566",0.9999,NA,0,NA,0,0,66,0,66
"120","1015574",0.9999,0.963636363636364,55,0.961538461538462,52,0.0569988884001275,65,0.0549476063488455,65
"121","1015575",0.9999,1,66,1,66,0.0552214229860846,66,0.0552214229860846,66
"122","1015586",0.9999,1,66,1,66,0.3044130707549,66,0.3044130707549,66
"123","1015594",0.9999,1,66,1,66,0.0442466791320309,66,0.0442466791320309,66
"124","1015597",0.9999,1,66,1,66,0.468891204639018,66,0.468891204639018,66
"125","1015621",0.9999,0.666666666666667,3,0.5,2,0.0189852700490998,65,0.00949263502454992,65
"126","1015626",0.9999,1,66,1,66,0.174426564160445,66,0.174426564160445,66
"127","1015651",0.9999,1,66,1,66,0.810108485409133,66,0.810108485409133,66
"128","1015673",0.9999,1,5,1,5,0.0242101991113849,66,0.0242101991113849,66
"129","1015680",0.9999,1,60,1,60,0.0289557811143615,66,0.0289557811143615,66
"130","1015683",0.9999,1,66,1,66,0.381309851764397,66,0.381309851764397,66
"131","1015691",0.9999,0.952380952380952,21,0.947368421052632,19,0.0079414215605961,64,0.00717922643864488,64
"132","1016",0.9999,0.933333333333333,15,0.923076923076923,13,0.0157363331485559,65,0.0123244224785807,65
"133","1016028",0.9999,NA,0,NA,0,0,65,0,65
"134","1016045",0.9999,0.984848484848485,66,0.984375,64,0.124516515561197,66,0.121237115222973,66
"135","1016091",0.9999,1,66,1,66,0.0246534072390029,66,0.0246534072390029,66
"136","1016100",0.9999,NA,0,NA,0,0,65,0,65
"137","1016137",0.9999,1,66,1,66,0.279509222268022,66,0.279509222268022,66
"138","1016185",0.9999,1,66,1,66,0.24860667101842,66,0.24860667101842,66
"139","1016200",0.9999,NA,0,NA,0,0,63,0,63
