"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.8,10,0.857142857142857,7,0.299353180932128,18,0.205918837497785,18
"2","1010508",0.9999,1,20,1,20,0.55691293355767,20,0.55691293355767,20
"3","1010540",0.9999,1,20,1,20,0.620681149365932,20,0.620681149365932,20
"4","1010562",0.9999,0,1,0,1,0,9,0,9
"5","1010567",0.9999,NA,0,NA,0,0,8,0,8
"6","1010611",0.9999,1,4,1,4,0.0793565449895373,17,0.0793565449895373,17
"7","1010614",0.9999,0.8,5,0.8,5,0.172815107597716,18,0.172815107597716,18
"8","1010690",0.9999,1,5,1,5,0.0127314814814815,16,0.0127314814814815,16
"9","1010714",0.9999,0.95,20,0.944444444444444,18,0.39951964170716,20,0.386401362137268,20
"10","1010723",0.9999,0.777777777777778,9,0.666666666666667,6,0.153562801233854,20,0.0988128012338539,20
"11","1010730",0.9999,1,20,1,20,0.255069382287711,20,0.255069382287711,20
"12","1010794",0.9999,0.75,8,0.833333333333333,6,0.230792498487598,19,0.225347852389595,19
"13","1013889",0.9999,1,11,1,11,0.214654032110929,20,0.214654032110929,20
"14","1013891",0.9999,0.9,10,0.9,10,0.374744221295945,20,0.374744221295945,20
"15","1013911",0.9999,0.75,4,0.5,2,0.124272486772487,20,0.0446428571428571,20
"16","1013935",0.9999,1,8,1,8,0.271428571428571,20,0.271428571428571,20
"17","1013936",0.9999,1,9,1,9,0.321519795657727,20,0.321519795657727,20
"18","1013944",0.9999,0.846153846153846,13,0.8,10,0.497670458196774,19,0.371414647730437,19
"19","1013965",0.9999,1,3,1,3,0.101113756613757,20,0.101113756613757,20
"20","1013976",0.9999,1,2,1,2,0.0703703703703704,20,0.0703703703703704,20
"21","1013982",0.9999,1,4,1,4,0.134544334975369,20,0.134544334975369,20
"22","1013990",0.9999,1,13,1,13,0.47809329462253,20,0.47809329462253,20
"23","1014019",0.9999,1,1,1,1,0.0203703703703704,20,0.0203703703703704,20
"24","1014046",0.9999,1,8,1,8,0.389347290640394,20,0.389347290640394,20
"25","1014048",0.9999,1,9,1,9,0.434051724137931,20,0.434051724137931,20
"26","1014056",0.9999,0.818181818181818,11,0.857142857142857,7,0.270361247947455,20,0.161432676518883,20
"27","1014060",0.9999,0.5,2,0.5,2,0.0482758620689655,20,0.0482758620689655,20
"28","1014077",0.9999,0.888888888888889,9,0.857142857142857,7,0.348214285714286,20,0.2625,20
"29","1014094",0.9999,0.714285714285714,7,0.833333333333333,6,0.170899470899471,20,0.170899470899471,20
"30","1014096",0.9999,0.818181818181818,11,0.875,8,0.424924740010947,20,0.333853311439518,20
"31","1014098",0.9999,0.875,8,0.833333333333333,6,0.319642857142857,20,0.226785714285714,20
"32","1014119",0.9999,NA,0,NA,0,0,20,0,20
"33","1014128",0.9999,1,16,1,16,0.645579529970834,20,0.645579529970834,20
"34","1014150",0.9999,0.916666666666667,12,0.9,10,0.530092592592593,20,0.4375,20
"35","1014155",0.9999,0.833333333333333,6,0.75,4,0.212432422051297,19,0.123503202450571,19
"36","1014163",0.9999,1,6,1,6,0.232941391941392,20,0.232941391941392,20
"37","1014164",0.9999,1,7,1,7,0.251322751322751,20,0.251322751322751,20
"38","1014172",0.9999,0.9,10,0.9,10,0.259616871051654,20,0.259616871051654,20
"39","1014213",0.9999,1,9,1,9,0.0735856735856736,20,0.0735856735856736,20
"40","1014271",0.9999,1,1,1,1,0.0285714285714286,20,0.0285714285714286,20
"41","1014286",0.9999,1,18,1,18,0.70352437792093,20,0.70352437792093,20
"42","1014294",0.9999,1,11,1,11,0.46264367816092,20,0.46264367816092,20
"43","1014302",0.9999,1,3,1,3,0.11963036963037,20,0.11963036963037,20
"44","1014304",0.9999,0.5,2,0.5,2,0.038,20,0.038,20
"45","1014307",0.9999,1,11,1,11,0.470621510673235,20,0.470621510673235,20
"46","1014312",0.9999,1,9,1,9,0.435714285714286,20,0.435714285714286,20
"47","1014361",0.9999,0.75,4,0.5,2,0.126851851851852,20,0.0407407407407407,20
"48","1014363",0.9999,0.8,10,0.857142857142857,7,0.154852092352092,20,0.124494949494949,20
"49","1014365",0.9999,0.5,2,0,1,0.0428571428571429,20,0,20
"50","1014371",0.9999,0.75,4,0.5,2,0.142857142857143,20,0.0446428571428571,20
"51","1014403",0.9999,0.875,8,0.833333333333333,6,0.340858279651383,20,0.244704433497537,20
"52","1014420",0.9999,1,11,1,11,0.373300948731983,20,0.373300948731983,20
"53","1014435",0.9999,0.75,12,0.625,8,0.41673230844895,20,0.233271261194799,20
"54","1014447",0.9999,0.5,2,0,1,0.037037037037037,20,0,20
"55","1014469",0.9999,NA,0,NA,0,0,20,0,20
"56","1014484",0.9999,0.777777777777778,9,0.714285714285714,7,0.33028135657446,20,0.240995642288746,20
"57","1014493",0.9999,1,2,1,2,0.0928571428571429,20,0.0928571428571429,20
"58","1014550",0.9999,1,11,1,11,0.138451581027668,20,0.138451581027668,20
"59","1014566",0.9999,1,6,1,6,0.122536945812808,20,0.122536945812808,20
"60","1014582",0.9999,0.909090909090909,11,0.888888888888889,9,0.427093596059113,20,0.342857142857143,20
"61","1014593",0.9999,0.833333333333333,6,0.75,4,0.212807881773399,20,0.127093596059113,20
"62","1014600",0.9999,1,8,1,8,0.0902930585989057,20,0.0902930585989057,20
"63","1014610",0.9999,NA,0,NA,0,0,20,0,20
"64","1014611",0.9999,0.5,2,0,1,0.0407407407407407,20,0,20
"65","1014612",0.9999,NA,0,NA,0,0,20,0,20
"66","1014627",0.9999,0.909090909090909,11,0.888888888888889,9,0.354626984126984,20,0.297219576719577,20
"67","1014653",0.9999,0.666666666666667,6,0.75,4,0.110714285714286,20,0.0707142857142857,20
"68","1014655",0.9999,0.909090909090909,11,0.888888888888889,9,0.376896056566537,20,0.306790236460717,20
"69","1014660",0.9999,0.95,20,0.944444444444444,18,0.507230593480594,20,0.429717365967366,20
"70","1014685",0.9999,0.857142857142857,14,0.8,10,0.127414582050398,19,0.104207041668342,19
"71","1014696",0.9999,0.95,20,0.944444444444444,18,0.50580606917449,20,0.473251124119545,20
"72","1014697",0.9999,1,18,1,18,0.60982498982499,20,0.60982498982499,20
"73","1014721",0.9999,1,20,1,20,0.415418719211823,20,0.415418719211823,20
"74","1014734",0.9999,0.923076923076923,13,0.909090909090909,11,0.323718716418353,20,0.287851270024591,20
"75","1014736",0.9999,0.6875,16,0.7,10,0.384931589513969,20,0.245718462823726,20
"76","1014746",0.9999,0.666666666666667,9,0.6,5,0.157379349046016,18,0.0768518518518519,18
"77","1014794",0.9999,0.923076923076923,13,0.909090909090909,11,0.270199656724425,20,0.215813691812144,20
"78","1014804",0.9999,0.909090909090909,11,0.888888888888889,9,0.234055977202395,19,0.170588484942333,19
"79","1014822",0.9999,0.833333333333333,18,0.75,12,0.35247654625229,20,0.195078885433576,20
"80","1014853",0.9999,0.857142857142857,7,0.8,5,0.130258467023173,17,0.108689839572193,17
"81","1014858",0.9999,0.666666666666667,9,0.833333333333333,6,0.218664154775266,18,0.196441932553044,18
"82","1014873",0.9999,1,4,1,4,0.0471611721611722,14,0.0471611721611722,14
"83","1014876",0.9999,0.777777777777778,9,0.833333333333333,6,0.118255963354003,18,0.0733841684822077,18
"84","1014881",0.9999,0.7,10,0.5,6,0.248347563231371,20,0.111758893280632,20
"85","1014887",0.9999,0.5,2,0.5,2,0.0228571428571429,14,0.0228571428571429,14
"86","1014890",0.9999,0.875,8,0.875,8,0.350801516491172,15,0.350801516491172,15
"87","1014892",0.9999,0.625,8,0.6,5,0.106536752632087,17,0.057797256833768,17
"88","1014905",0.9999,0.888888888888889,9,0.888888888888889,9,0.175088874514162,18,0.175088874514162,18
"89","1014964",0.9999,0.9,10,0.875,8,0.312171843750791,19,0.247578542315384,19
"90","1015048",0.9999,0.95,20,0.944444444444444,18,0.27945288970289,20,0.24782326007326,20
"91","1015164",0.9999,0.947368421052632,19,0.941176470588235,17,0.60240226681531,20,0.522045123958167,20
"92","1015170",0.9999,1,20,1,20,0.703237281237281,20,0.703237281237281,20
"93","1015176",0.9999,0.9,20,0.875,16,0.480291628661194,20,0.359522397891963,20
"94","1015199",0.9999,0.9,20,0.875,16,0.539050505050505,20,0.441550505050505,20
"95","1015204",0.9999,1,20,1,20,0.50049793845446,20,0.50049793845446,20
"96","1015242",0.9999,0.8,20,0.769230769230769,13,0.484562343310459,20,0.301382012724118,20
"97","1015259",0.9999,1,6,1,6,0.112373737373737,18,0.112373737373737,18
"98","1015271",0.9999,0.9,10,0.875,8,0.206058154278978,20,0.140603608824433,20
"99","1015283",0.9999,0.777777777777778,9,0.6,5,0.257151847120887,19,0.109154704944179,19
"100","1015295",0.9999,1,20,1,20,0.215525961312659,20,0.215525961312659,20
"101","1015303",0.9999,0.95,20,0.944444444444444,18,0.588653142294009,20,0.538471324112191,20
"102","1015323",0.9999,0.866666666666667,15,0.833333333333333,12,0.404253627612323,20,0.311959870644653,20
"103","1015390",0.9999,1,8,1,8,0.355713268213268,20,0.355713268213268,20
"104","1015398",0.9999,0.941176470588235,17,0.933333333333333,15,0.0961674741667002,20,0.0879803396637762,20
"105","1015412",0.9999,0.842105263157895,19,0.785714285714286,14,0.292199773051166,20,0.211315298049044,20
"106","1015414",0.9999,1,20,1,20,0.726006416775868,20,0.726006416775868,20
"107","1015430",0.9999,0.95,20,0.944444444444444,18,0.533490277971675,20,0.481766140040641,20
"108","1015431",0.9999,0.947368421052632,19,0.941176470588235,17,0.205634920634921,20,0.178551587301587,20
"109","1015434",0.9999,NA,0,NA,0,0,17,0,17
"110","1015435",0.9999,1,20,1,20,0.612885352195697,20,0.612885352195697,20
"111","1015441",0.9999,0.666666666666667,3,0.666666666666667,3,0.0952380952380952,14,0.0952380952380952,14
"112","1015455",0.9999,1,20,1,20,0.54494301994302,20,0.54494301994302,20
"113","1015481",0.9999,0.777777777777778,9,0.833333333333333,6,0.155054302422723,15,0.107936507936508,15
"114","1015497",0.9999,0.95,20,0.944444444444444,18,0.305088122661652,20,0.282609131065013,20
"115","1015521",0.9999,0,1,0,1,0,15,0,15
"116","1015525",0.9999,0.882352941176471,17,0.846153846153846,13,0.387558417223765,19,0.295630696873413,19
"117","1015542",0.9999,0.95,20,0.947368421052632,19,0.151645632526639,20,0.114689110787509,20
"118","1015562",0.9999,0.95,20,0.944444444444444,18,0.237187716394373,20,0.226473430680087,20
"119","1015566",0.9999,1,4,1,4,0.151258581235698,20,0.151258581235698,20
"120","1015574",0.9999,0.833333333333333,12,0.8,10,0.305882352941176,17,0.194117647058824,17
"121","1015575",0.9999,1,2,1,2,0.0825,20,0.0825,20
"122","1015586",0.9999,0.95,20,0.944444444444444,18,0.753245614035088,20,0.674298245614035,20
"123","1015594",0.9999,1,8,1,8,0.31548433048433,20,0.31548433048433,20
"124","1015597",0.9999,0.95,20,0.95,20,0.697293766736407,19,0.697293766736407,19
"125","1015621",0.9999,0.75,4,0.5,2,0.105263157894737,19,0.0407470288624788,19
"126","1015626",0.9999,1,20,1,20,0.542406662673626,20,0.542406662673626,20
"127","1015651",0.9999,1,20,1,20,0.810483870967742,20,0.810483870967742,20
"128","1015673",0.9999,1,2,1,2,0.0331738437001595,19,0.0331738437001595,19
"129","1015680",0.9999,0.916666666666667,12,0.916666666666667,12,0.102088864838865,20,0.102088864838865,20
"130","1015683",0.9999,1,20,1,20,0.363640552995392,20,0.363640552995392,20
"131","1015691",0.9999,0.846153846153846,13,0.777777777777778,9,0.212906734948433,18,0.0671776241951681,18
"132","1016",0.9999,0.727272727272727,11,0.714285714285714,7,0.119348261003386,19,0.0313365650969529,19
"133","1016028",0.9999,0.714285714285714,7,0.333333333333333,3,0.121366529067767,19,0.0307017543859649,19
"134","1016045",0.9999,0.95,20,0.944444444444444,18,0.228857565424062,20,0.223905874602806,20
"135","1016091",0.9999,0.9375,16,0.928571428571429,14,0.327445073915128,20,0.290631887101942,20
"136","1016100",0.9999,1,8,1,8,0.287257737102938,19,0.287257737102938,19
"137","1016137",0.9999,1,20,1,20,0.351812125446531,20,0.351812125446531,20
"138","1016185",0.9999,0.95,20,0.95,20,0.365453970049558,20,0.365453970049558,20
"139","1016200",0.9999,NA,0,NA,0,0,16,0,16
"140","1016236",0.9999,1,1,1,1,0.0125,20,0.0125,20
"141","1016238",0.9999,0.75,4,0.75,4,0.041866028708134,19,0.041866028708134,19
"142","1016271",0.9999,0.764705882352941,17,0.727272727272727,11,0.463322122830132,19,0.307215750179137,19
"143","1016290",0.9999,1,20,1,20,0.661979980249431,20,0.661979980249431,20
"144","1016319",0.9999,0.875,16,0.857142857142857,14,0.445453818004418,20,0.363960311510911,20
"145","1016323",0.9999,0.882352941176471,17,0.846153846153846,13,0.308969531672318,20,0.242583566760037,20
"146","1016328",0.9999,1,13,1,13,0.164304562004712,20,0.164304562004712,20
"147","1016338",0.9999,1,20,1,20,0.809139784946237,20,0.809139784946237,20
"148","1016339",0.9999,NA,0,NA,0,0,20,0,20
"149","1016362",0.9999,1,10,1,10,0.413141915884163,20,0.413141915884163,20
"150","1016365",0.9999,0.75,4,0.5,2,0.108214285714286,20,0.0482142857142857,20
"151","1016379",0.9999,1,4,1,4,0.17187019969278,20,0.17187019969278,20
"152","1016383",0.9999,0.5,2,0,1,0.0444444444444444,20,0,20
"153","1016388",0.9999,1,3,1,3,0.140322580645161,20,0.140322580645161,20
"154","1016391",0.9999,NA,0,NA,0,NA,0,NA,0
"155","1016395",0.9999,1,20,1,20,0.0324193548387097,20,0.0324193548387097,20
"156","1016421",0.9999,1,20,1,20,0.722645674014095,20,0.722645674014095,20
"157","1016426",0.9999,0.9,20,0.9375,16,0.640903493058665,20,0.522430586654725,20
"158","1016471",0.9999,0.818181818181818,11,0.714285714285714,7,0.331309963872893,19,0.173863463005339,19
"159","1016486",0.9999,1,5,1,5,0.0652709359605911,19,0.0652709359605911,19
"160","1016488",0.9999,0.9,20,0.875,16,0.484599756968178,20,0.366742614111035,20
"161","1016493",0.9999,1,7,1,7,0.197975201160797,19,0.197975201160797,19
"162","1016494",0.9999,1,11,1,11,0.248296878560036,20,0.248296878560036,20
"163","1016513",0.9999,0.9,20,0.875,16,0.382586442826852,20,0.339429580081754,20
"164","1016514",0.9999,0.888888888888889,18,0.875,16,0.341186919360832,20,0.301186919360832,20
"165","1016519",0.9999,1,20,1,20,0.780684497494842,20,0.780684497494842,20
"166","1016525",0.9999,0.9,20,0.944444444444444,18,0.623554789105547,19,0.58188812243888,19
"167","1016527",0.9999,1,19,1,19,0.381252120686331,20,0.381252120686331,20
"168","1016648",0.9999,NA,0,NA,0,NA,0,NA,0
"169","1016659",0.9999,0.941176470588235,17,0.933333333333333,15,0.355580861828781,19,0.317224100359891,19
"170","1016682",0.9999,0.714285714285714,7,0.75,4,0.141402116402116,18,0.0714285714285714,18
"171","1016774",0.9999,0.875,8,0.833333333333333,6,0.115300893550894,20,0.0829145299145299,20
"172","1016776",0.9999,0.8,20,0.692307692307692,13,0.312763467886466,20,0.169562321207058,20
"173","1016794",0.9999,1,9,1,9,0.205268817204301,20,0.205268817204301,20
"174","1016801",0.9999,0.666666666666667,3,0.5,2,0.0459770114942529,15,0.0206896551724138,15
"175","1016822",0.9999,0.857142857142857,7,0.833333333333333,6,0.0501349401658999,19,0.041713887534321,19
"176","1016830",0.9999,0.857142857142857,14,0.8,10,0.197810028024054,19,0.154254207526519,19
"177","1016840",0.9999,0.923076923076923,13,0.909090909090909,11,0.351262672512673,20,0.272897287897288,20
"178","1016953",0.9999,1,5,1,5,0.224338624338624,18,0.224338624338624,18
"179","1017015",0.9999,NA,0,NA,0,0,15,0,15
"180","1017021",0.9999,0.85,20,0.785714285714286,14,0.292893964140712,20,0.196479709549987,20
"181","1017025",0.9999,1,4,1,4,0.150588203219782,19,0.150588203219782,19
"182","1017066",0.9999,0.833333333333333,12,0.75,8,0.219549140153582,19,0.121866073792025,19
"183","1017069",0.9999,0.833333333333333,12,0.8,10,0.394090752967063,19,0.310814380217006,19
"184","1017084",0.9999,0.95,20,0.944444444444444,18,0.431557431642706,20,0.361156093850063,20
"185","1017087",0.9999,0.9,20,0.875,16,0.431318239159772,20,0.323786187877721,20
"186","1017089",0.9999,0.95,20,0.947368421052632,19,0.50226353928299,20,0.482698321891686,20
"187","1017096",0.9999,0.888888888888889,18,0.857142857142857,14,0.432039369389866,19,0.278150480500977,19
"188","1017103",0.9999,1,9,1,9,0.230774045536959,19,0.230774045536959,19
"189","1017122",0.9999,0.95,20,0.944444444444444,18,0.515268817204301,20,0.481935483870968,20
"190","1017125",0.9999,1,20,1,20,0.870096006144393,20,0.870096006144393,20
"191","1017142",0.9999,1,20,1,20,0.692586206896552,20,0.692586206896552,20
"192","1017283",0.9999,0.933333333333333,15,0.923076923076923,13,0.299492950877992,19,0.241837448485648,19
"193","1017306",0.9999,0.85,20,0.875,16,0.17153950835587,20,0.131734016365023,20
"194","1017312",0.9999,0.6,5,0,1,0.0330827067669173,19,0,19
"195","1017330",0.9999,1,8,1,8,0.123269135405358,19,0.123269135405358,19
"196","1017353",0.9999,1,20,1,20,0.631624720308931,20,0.631624720308931,20
