"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.994877049180328,976,0.994824016563147,966,0.587104014930343,997,0.580933121297062,997
"2","1010508",0.9999,1,999,1,999,0.302915280681076,999,0.302915280681076,999
"3","1010540",0.9999,0.997997997997998,999,0.997989949748744,995,0.653814037280703,999,0.65128893152979,999
"4","1010562",0.9999,1,3,1,3,0.00209269307816481,985,0.00209269307816481,985
"5","1010567",0.9999,1,24,1,24,0.00873331326643996,979,0.00873331326643996,979
"6","1010611",0.9999,0.984905660377358,265,0.98443579766537,257,0.167059333902181,995,0.161524131005979,995
"7","1010614",0.9999,0.994934143870314,987,0.994882292732856,977,0.576022978873803,997,0.568755021154491,997
"8","1010690",0.9999,NA,0,NA,0,0,995,0,995
"9","1010714",0.9999,0.998998998998999,999,0.998996990972919,997,0.62811069552244,999,0.626634565014051,999
"10","1010723",0.9999,0.994152046783626,342,0.994082840236686,338,0.121722571959091,999,0.120247533702444,999
"11","1010730",0.9999,0.998998998998999,999,0.998996990972919,997,0.349530336063127,999,0.348944804294799,999
"12","1010794",0.9999,0.994949494949495,990,0.997965412004069,983,0.854423715803873,998,0.853195452826305,998
"13","1013889",0.9999,1,21,1,21,0.010030847628178,999,0.010030847628178,999
"14","1013891",0.9999,NA,0,NA,0,0,999,0,999
"15","1013911",0.9999,0.997289972899729,369,0.997275204359673,367,0.184001072775019,999,0.1828504969118,999
"16","1013935",0.9999,NA,0,NA,0,0,999,0,999
"17","1013936",0.9999,1,32,1,32,0.0147152396318136,999,0.0147152396318136,999
"18","1013944",0.9999,NA,0,NA,0,0,998,0,998
"19","1013965",0.9999,NA,0,NA,0,0,999,0,999
"20","1013976",0.9999,1,371,1,371,0.0955143503023158,999,0.0955143503023158,999
"21","1013982",0.9999,1,1,1,1,0.000900900900900901,999,0.000900900900900901,999
"22","1013990",0.9999,NA,0,NA,0,0,999,0,999
"23","1014019",0.9999,1,1,1,1,0.0005005005005005,999,0.0005005005005005,999
"24","1014046",0.9999,NA,0,NA,0,0,999,0,999
"25","1014048",0.9999,1,10,1,10,0.00878297652491201,999,0.00878297652491201,999
"26","1014056",0.9999,1,110,1,110,0.0547776337171962,999,0.0547776337171962,999
"27","1014060",0.9999,1,2,1,2,0.0014014014014014,999,0.0014014014014014,999
"28","1014077",0.9999,1,10,1,10,0.00588471304081241,999,0.00588471304081241,999
"29","1014094",0.9999,0.991071428571429,112,0.991071428571429,112,0.0632780949429077,999,0.0632780949429077,999
"30","1014096",0.9999,NA,0,NA,0,0,999,0,999
"31","1014098",0.9999,1,2,1,2,0.00111802552473368,998,0.00111802552473368,998
"32","1014119",0.9999,NA,0,NA,0,0,999,0,999
"33","1014128",0.9999,NA,0,NA,0,0,999,0,999
"34","1014150",0.9999,1,6,1,6,0.00351749599061427,999,0.00351749599061427,999
"35","1014155",0.9999,NA,0,NA,0,0,998,0,998
"36","1014163",0.9999,1,1,1,1,0.000546000546000546,999,0.000546000546000546,999
"37","1014164",0.9999,NA,0,NA,0,0,999,0,999
"38","1014172",0.9999,0.98,50,0.979166666666667,48,0.0253965456627284,999,0.0246683041937462,999
"39","1014213",0.9999,1,1,1,1,0.0004004004004004,999,0.0004004004004004,999
"40","1014271",0.9999,1,187,1,187,0.12070247587489,999,0.12070247587489,999
"41","1014286",0.9999,1,17,1,17,0.0112229682122155,999,0.0112229682122155,999
"42","1014294",0.9999,1,806,1,806,0.637924152236351,999,0.637924152236351,999
"43","1014302",0.9999,1,1,1,1,6.67334000667334e-05,999,6.67334000667334e-05,999
"44","1014304",0.9999,1,6,1,6,0.00345952181324818,999,0.00345952181324818,999
"45","1014307",0.9999,1,705,1,705,0.35400069808672,999,0.35400069808672,999
"46","1014312",0.9999,1,1,1,1,0.000593185778370963,999,0.000593185778370963,999
"47","1014361",0.9999,1,292,1,292,0.144198385577696,999,0.144198385577696,999
"48","1014363",0.9999,1,279,1,279,0.0608469416404159,999,0.0608469416404159,999
"49","1014365",0.9999,1,225,1,225,0.183560735845167,999,0.183560735845167,999
"50","1014371",0.9999,1,110,1,110,0.087250354250725,999,0.087250354250725,999
"51","1014403",0.9999,1,253,1,253,0.0474843526382273,999,0.0474843526382273,999
"52","1014420",0.9999,1,92,1,92,0.0538050948877793,999,0.0538050948877793,999
"53","1014435",0.9999,NA,0,NA,0,0,999,0,999
"54","1014447",0.9999,NA,0,NA,0,0,999,0,999
"55","1014469",0.9999,NA,0,NA,0,0,999,0,999
"56","1014484",0.9999,0.916666666666667,12,0.909090909090909,11,0.00701992314895541,999,0.00650327747101941,999
"57","1014493",0.9999,NA,0,NA,0,0,999,0,999
"58","1014550",0.9999,NA,0,NA,0,0,999,0,999
"59","1014566",0.9999,1,758,1,758,0.409078979071617,999,0.409078979071617,999
"60","1014582",0.9999,1,4,1,4,0.00279849742215334,999,0.00279849742215334,999
"61","1014593",0.9999,1,2,1,2,0.000516645677936,999,0.000516645677936,999
"62","1014600",0.9999,1,287,1,287,0.0223753598203301,999,0.0223753598203301,999
"63","1014610",0.9999,0.5,2,0.5,2,0.000600600600600601,999,0.000600600600600601,999
"64","1014611",0.9999,1,32,1,32,0.0206207758570466,999,0.0206207758570466,999
"65","1014612",0.9999,NA,0,NA,0,0,999,0,999
"66","1014627",0.9999,1,34,1,34,0.00257769290027355,999,0.00257769290027355,999
"67","1014653",0.9999,0.993677555321391,949,0.993596584845251,937,0.572706226010714,999,0.565729073419526,999
"68","1014655",0.9999,0.997734994337486,883,0.998863636363636,880,0.519313753927324,999,0.518094143512312,999
"69","1014660",0.9999,0.992992992992993,999,0.994934143870314,987,0.673696421087699,999,0.66715174762917,999
"70","1014685",0.9999,0.992914979757085,988,0.995914198161389,979,0.546252410580582,996,0.542859208141195,996
"71","1014696",0.9999,0.995975855130785,994,0.998986828774063,987,0.555144371474861,999,0.552222730622186,999
"72","1014697",0.9999,0.998998998998999,999,0.998996990972919,997,0.497723583128103,999,0.496563802657978,999
"73","1014721",0.9999,1,999,1,999,0.904392490376917,999,0.904392490376917,999
"74","1014734",0.9999,0,1,0,1,0,999,0,999
"75","1014736",0.9999,1,994,1,994,0.242550104358732,999,0.242550104358732,999
"76","1014746",0.9999,0.993765586034913,802,0.993686868686869,792,0.362896942086291,997,0.358201717289585,997
