"","name","window_size","extrap_step","response","target","train_policy","granularity","train_size","update_freq","react_speed","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.971733015348866,65412,0.97516442367701,62491,0.206303511277404,138392,0.197340610669395,138392
"1.1","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.968620107531458,70491,0.972554234148091,66932,0.231156583698475,138392,0.219823590497261,138392
"1.2","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.967089294189437,73745,0.971122443132986,69812,0.247497852338182,138392,0.234765685016411,138392
"1.3","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.959862157584253,85605,0.964796148638484,79764,0.308612917344495,138392,0.288793480989722,138392
"1.4","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.955320035470464,93599,0.960494627639867,86368,0.353020231623759,138392,0.327773802230081,138392
"1.5","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.93044757121233,116272,0.93805700167652,101997,0.506111331883209,138392,0.450725921412266,138392
"11","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.972023481929921,65412,0.975417832866853,62525,0.202919666450937,139075,0.194246733605304,139075
"1.11","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.968932204111163,70491,0.972824058174434,66971,0.227308602561202,139075,0.216330146415805,139075
"1.21","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.967441860465116,73745,0.971427753442698,69858,0.243364327312539,139075,0.231027371389392,139075
"1.31","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.960352783131826,85605,0.965242115283449,79838,0.303403538586361,139075,0.28422755459471,139075
"1.41","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.9559503840853,93599,0.96106254047553,86472,0.347044837630077,139075,0.322640804131896,139075
"1.51","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.931832255401128,116272,0.939251422648963,102274,0.497720212383388,139075,0.444438368880723,139075
"12","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.970038709316788,71559,0.974125278854057,68136,0.218804545404077,138723,0.20875235996687,138723
"1.12","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.966835769897886,76679,0.971353340961414,72539,0.244869548113809,138723,0.232296442837492,138723
"1.22","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.965116861644831,79838,0.969899532213481,75248,0.261286550136158,138723,0.247124890693355,138723
"1.32","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.958457948532553,91281,0.963738026706932,84772,0.322627081717882,138723,0.30129075588167,138723
"1.42","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.953435369670695,98723,0.959112600152088,90737,0.366543630021617,138723,0.339506045165483,138723
"1.52","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.930122923365488,119424,0.937925235073771,104648,0.513354865513398,138723,0.457462826005105,138723
"13","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.969731270699702,71559,0.973810992626539,68082,0.216669980369107,139428,0.206515284614401,139428
"1.13","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.966522776770693,76679,0.971041485589724,72483,0.242636675148679,139428,0.230005132792496,139428
"1.23","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.964728575365114,79838,0.969486565575951,75180,0.258922762546686,139428,0.244656515835378,139428
"1.33","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.958063561967989,91281,0.963414634146341,84706,0.319995021762028,139428,0.298665118242751,139428
"1.43","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.952989678190493,98723,0.958752082253136,90647,0.363673489080056,139428,0.336564596075845,139428
"1.53","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.92874966505895,119424,0.936466259079671,104354,0.508766245387734,139428,0.45194480142923,139428
"14","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.963998070894623,82940,0.969318546060645,77995,0.258722528486748,138998,0.243610853935749,138998
"1.14","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.960083890715338,88210,0.96614864946963,82301,0.289042712545695,138998,0.270327999596871,138998
"1.24","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.957585251235089,91289,0.963973850656094,84744,0.307276210351183,138998,0.286354774293145,138998
"1.34","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.995,0.94871365369646,101489,0.955759770798422,92495,0.371757267974522,138998,0.34125366283761,138998
"1.44","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.99,0.941959896867059,107822,0.949739462415519,96915,0.41472516009801,138998,0.376389727907648,138998
"1.54","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.95,0.911167207597067,124785,0.92152655812408,105335,0.550827162901176,138998,0.474204840762948,138998
"15","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9999,0.964805883771401,82940,0.970055433933761,78111,0.252978976465547,139743,0.238621736902163,139743
"1.15","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.9995,0.961002153950799,88210,0.966908464543051,82438,0.28269794757799,139743,0.264882707506741,139743
"1.25","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.999,0.958614948131757,91289,0.964866201827947,84904,0.300601553832494,139743,0.280713259616208,139743
"1.35","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.995,0.950004433978067,101489,0.956947964410892,92725,0.363852574978779,139743,0.334891234477122,139743
"1.45","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.99,0.943601491346849,107822,0.951218759642086,97230,0.406130547452717,139743,0.369774449493439,139743
"1.55","Multinomial",600,1,"max",0.99,"fixed",2.08333333333333,59700,3,"1,2",0.95,0.914196417838683,124785,0.924465997433769,105992,0.540564165798539,139743,0.468237606889568,139743
"16","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9999,0.96532617388324,87530,0.970642802575576,82467,0.261075658214691,138998,0.246332007873941,138998
"1.16","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.9995,0.960814166936616,92610,0.96653169828783,86440,0.292204860900461,138998,0.273671102119829,138998
"1.26","Multinomial",600,1,"max",0.99,"fixed",3.125,59700,3,"1,2",0.999,0.958146346566243,95595,0.964271630254752,88753,0.310920524142834,138998,0.289891281063137,138998
