"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.948717948717949,39,0.945945945945946,37,0.125189362210211,46,0.12024865074776,46
"2","1010508",0.9999,0.979166666666667,48,0.978260869565217,46,0.509372528718209,48,0.490275306495987,48
"3","1010540",0.9999,1,48,1,48,0.373533793867873,48,0.373533793867873,48
"4","1010562",0.9999,NA,0,NA,0,0,35,0,35
"5","1010567",0.9999,NA,0,NA,0,0,34,0,34
"6","1010611",0.9999,NA,0,NA,0,0,46,0,46
"7","1010614",0.9999,0.916666666666667,12,0.9,10,0.176800357802248,46,0.155242992672104,46
"8","1010690",0.9999,1,3,1,3,0.00270562770562771,44,0.00270562770562771,44
"9","1010714",0.9999,0.955555555555556,45,0.951219512195122,41,0.306429166747979,48,0.265972177500667,48
"10","1010723",0.9999,1,3,1,3,0.00939594356261023,48,0.00939594356261023,48
"11","1010730",0.9999,1,48,1,48,0.264733874215745,48,0.264733874215745,48
"12","1010794",0.9999,0.958333333333333,48,0.954545454545455,44,0.772067917409077,47,0.747761950968824,47
"13","1013889",0.9999,1,3,1,3,0.0264778325123153,48,0.0264778325123153,48
"14","1013891",0.9999,1,12,1,12,0.178923314339981,48,0.178923314339981,48
"15","1013911",0.9999,0.777777777777778,9,0.6,5,0.0641004315963711,48,0.0394620811287478,48
"16","1013935",0.9999,1,6,1,6,0.083435960591133,48,0.083435960591133,48
"17","1013936",0.9999,1,3,1,3,0.0446428571428571,48,0.0446428571428571,48
"18","1013944",0.9999,1,3,1,3,0.0267477203647416,47,0.0267477203647416,47
"19","1013965",0.9999,1,15,1,15,0.0503867008895744,48,0.0503867008895744,48
"20","1013976",0.9999,1,6,1,6,0.0794731888481888,48,0.0794731888481888,48
"21","1013982",0.9999,1,3,1,3,0.0245535714285714,48,0.0245535714285714,48
"22","1013990",0.9999,1,6,1,6,0.105544532627866,48,0.105544532627866,48
"23","1014019",0.9999,0.952380952380952,21,0.947368421052632,19,0.125829181594268,48,0.0919750149276011,48
"24","1014046",0.9999,1,9,1,9,0.142010467980296,48,0.142010467980296,48
"25","1014048",0.9999,1,6,1,6,0.114224137931034,48,0.114224137931034,48
"26","1014056",0.9999,1,3,1,3,0.0225970017636684,48,0.0225970017636684,48
"27","1014060",0.9999,1,18,1,18,0.0921377257799672,48,0.0921377257799672,48
"28","1014077",0.9999,1,12,1,12,0.205151888341544,48,0.205151888341544,48
"29","1014094",0.9999,0.916666666666667,12,0.916666666666667,12,0.136831738663635,48,0.136831738663635,48
"30","1014096",0.9999,1,3,1,3,0.0497134038800705,48,0.0497134038800705,48
"31","1014098",0.9999,1,15,1,15,0.0508518062397373,48,0.0508518062397373,48
"32","1014119",0.9999,NA,0,NA,0,0,48,0,48
"33","1014128",0.9999,1,6,1,6,0.115243945868946,48,0.115243945868946,48
"34","1014150",0.9999,1,12,1,12,0.224592151675485,48,0.224592151675485,48
"35","1014155",0.9999,1,3,1,3,0.0486603624901497,47,0.0486603624901497,47
"36","1014163",0.9999,1,3,1,3,0.033179012345679,48,0.033179012345679,48
"37","1014164",0.9999,1,15,1,15,0.0557779146141215,48,0.0557779146141215,48
"38","1014172",0.9999,1,3,1,3,0.0349887766554433,48,0.0349887766554433,48
"39","1014213",0.9999,1,15,1,15,0.0182172885118287,48,0.0182172885118287,48
"40","1014271",0.9999,1,3,1,3,0.0178571428571429,48,0.0178571428571429,48
"41","1014286",0.9999,0.958333333333333,24,0.954545454545455,22,0.388502326217843,48,0.376002326217844,48
"42","1014294",0.9999,1,18,1,18,0.327490421455939,48,0.327490421455939,48
"43","1014302",0.9999,1,9,1,9,0.127456212370005,48,0.127456212370005,48
"44","1014304",0.9999,1,9,1,9,0.150964696223317,48,0.150964696223317,48
"45","1014307",0.9999,1,15,1,15,0.279428366174056,48,0.279428366174056,48
"46","1014312",0.9999,1,12,1,12,0.210873357963875,48,0.210873357963875,48
"47","1014361",0.9999,0.933333333333333,30,0.962962962962963,27,0.443975908616713,48,0.41173384512465,48
"48","1014363",0.9999,0.976190476190476,42,0.975,40,0.355394765940743,48,0.329601115147092,48
"49","1014365",0.9999,0.933333333333333,30,0.962962962962963,27,0.538696689379161,48,0.497030022712494,48
"50","1014371",0.9999,0.966666666666667,30,0.964285714285714,28,0.522693050351096,48,0.484059808592855,48
"51","1014403",0.9999,0.933333333333333,15,0.923076923076923,13,0.178295380252995,48,0.146121734932798,48
"52","1014420",0.9999,1,18,1,18,0.167545840175151,48,0.167545840175151,48
"53","1014435",0.9999,1,27,1,27,0.18633378829765,48,0.18633378829765,48
"54","1014447",0.9999,1,15,1,15,0.0267600574712644,48,0.0267600574712644,48
"55","1014469",0.9999,1,18,1,18,0.0947995969547694,48,0.0947995969547694,48
"56","1014484",0.9999,1,15,1,15,0.0580433455433455,48,0.0580433455433455,48
"57","1014493",0.9999,1,6,1,6,0.103027107478007,48,0.103027107478007,48
"58","1014550",0.9999,NA,0,NA,0,0,48,0,48
"59","1014566",0.9999,1,3,1,3,0.0248567019400353,48,0.0248567019400353,48
"60","1014582",0.9999,1,3,1,3,0.0334821428571429,48,0.0334821428571429,48
"61","1014593",0.9999,1,21,1,21,0.146670534924845,48,0.146670534924845,48
"62","1014600",0.9999,1,15,1,15,0.0245400047483381,48,0.0245400047483381,48
"63","1014610",0.9999,1,21,1,21,0.125101329956715,48,0.125101329956715,48
"64","1014611",0.9999,1,18,1,18,0.0211292749789127,48,0.0211292749789127,48
"65","1014612",0.9999,0.958333333333333,24,0.954545454545455,22,0.194196428571429,48,0.15324815270936,48
"66","1014627",0.9999,1,3,1,3,0.0115740740740741,48,0.0115740740740741,48
"67","1014653",0.9999,0.666666666666667,3,0.5,2,0.0325396825396825,48,0.0158730158730159,48
"68","1014655",0.9999,1,12,1,12,0.00979696553558471,48,0.00979696553558471,48
"69","1014660",0.9999,0.9375,48,0.953488372093023,43,0.43526918469947,48,0.378793454310696,48
