"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.999,0.96,100,0.967741935483871,93,0.405058118545003,98,0.379648995648195,98
"2","1010508",0.999,1,100,1,100,0.388224841393034,100,0.388224841393034,100
"3","1010540",0.999,0.97,100,0.968085106382979,94,0.668430628342173,100,0.628238320649865,100
"4","1010562",0.999,NA,0,NA,0,0,87,0,87
"5","1010567",0.999,NA,0,NA,0,0,81,0,81
"6","1010611",0.999,0.95,100,0.956043956043956,91,0.413596026706016,96,0.377499989590957,96
"7","1010614",0.999,0.97,100,0.968085106382979,94,0.485036113982606,98,0.446229144554519,98
"8","1010690",0.999,0.833333333333333,6,0.833333333333333,6,0.00197129857690203,96,0.00197129857690203,96
"9","1010714",0.999,0.98,100,0.979166666666667,96,0.61197779989462,100,0.586934789141932,100
"10","1010723",0.999,0.99,100,0.989795918367347,98,0.235356001449005,100,0.229998858591862,100
"11","1010730",0.999,0.99,100,0.989795918367347,98,0.430445921002772,100,0.420330978474037,100
"12","1010794",0.999,0.96,100,0.978723404255319,94,0.725216543848357,99,0.694457258639684,99
"13","1013889",0.999,1,100,1,100,0.416120613484073,100,0.416120613484073,100
"14","1013891",0.999,1,100,1,100,0.42175430111562,100,0.42175430111562,100
"15","1013911",0.999,0.96969696969697,99,0.967741935483871,93,0.297863852258374,100,0.288400250725807,100
"16","1013935",0.999,1,100,1,100,0.437760988860408,100,0.437760988860408,100
"17","1013936",0.999,1,100,1,100,0.45627923148001,100,0.45627923148001,100
"18","1013944",0.999,0.98989898989899,99,0.989690721649485,97,0.27367821659918,99,0.269404712325676,99
"19","1013965",0.999,1,100,1,100,0.400697563447713,100,0.400697563447713,100
"20","1013976",0.999,1,100,1,100,0.369820106053416,100,0.369820106053416,100
"21","1013982",0.999,0.99,100,0.989795918367347,98,0.450527300330544,100,0.444221881611332,100
"22","1013990",0.999,1,100,1,100,0.455888034157524,100,0.455888034157524,100
"23","1014019",0.999,1,100,1,100,0.38389115081665,100,0.38389115081665,100
"24","1014046",0.999,1,100,1,100,0.401590248016722,100,0.401590248016722,100
"25","1014048",0.999,1,100,1,100,0.430496624703521,100,0.430496624703521,100
"26","1014056",0.999,0.99,100,0.989795918367347,98,0.44290269111476,100,0.438144070425105,100
"27","1014060",0.999,1,100,1,100,0.428073297966401,100,0.428073297966401,100
"28","1014077",0.999,1,100,1,100,0.432459719794481,100,0.432459719794481,100
"29","1014094",0.999,0.98,100,0.979166666666667,96,0.390831046615807,100,0.379045332330093,100
"30","1014096",0.999,1,100,1,100,0.419570885345858,100,0.419570885345858,100
"31","1014098",0.999,1,100,1,100,0.449945155306159,100,0.449945155306159,100
"32","1014119",0.999,1,100,1,100,0.493052359764818,100,0.493052359764818,100
"33","1014128",0.999,1,100,1,100,0.316464886826206,100,0.316464886826206,100
"34","1014150",0.999,1,100,1,100,0.556148221127531,100,0.556148221127531,100
