"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.999,0.9375,48,0.928571428571429,42,0.668284315509673,46,0.577375224600582,46
"2","1010508",0.999,0.833333333333333,48,0.916666666666667,36,0.526279442767095,48,0.420918908072321,48
"3","1010540",0.999,0.958333333333333,48,0.954545454545455,44,0.789271485693587,48,0.714866723788825,48
"4","1010562",0.999,0.725,40,0.75,20,0.151352769177847,35,0.0975035628286402,35
"5","1010567",0.999,0.612903225806452,31,0.692307692307692,13,0.103562565846303,34,0.0520833645401119,34
"6","1010611",0.999,0.895833333333333,48,0.897435897435897,39,0.658672863964875,46,0.529807872623513,46
"7","1010614",0.999,0.916666666666667,48,0.9,40,0.711967350834752,46,0.572742398093731,46
"8","1010690",0.999,0.875,48,0.837837837837838,37,0.306725574514476,44,0.256070305870077,44
"9","1010714",0.999,0.875,48,0.833333333333333,36,0.642528658385861,48,0.45603672290199,48
"10","1010723",0.999,0.895833333333333,48,0.894736842105263,38,0.432178321197445,48,0.326995649838303,48
"11","1010730",0.999,0.9375,48,0.931818181818182,44,0.593689536528162,48,0.539395612061824,48
"12","1010794",0.999,0.875,48,0.975609756097561,41,0.772632599770318,47,0.750598661351744,47
"13","1013889",0.999,1,48,1,48,0.691756655567719,48,0.691756655567719,48
"14","1013891",0.999,1,48,1,48,0.683773745758378,48,0.683773745758378,48
"15","1013911",0.999,0.9375,48,0.928571428571429,42,0.565256150764171,48,0.510711663748419,48
"16","1013935",0.999,1,48,1,48,0.694603516694034,48,0.694603516694034,48
"17","1013936",0.999,0.979166666666667,48,0.978260869565217,46,0.709677750410509,48,0.681917077175698,48
"18","1013944",0.999,0.979166666666667,48,0.978260869565217,46,0.657578606994059,47,0.637938672460507,47
"19","1013965",0.999,1,48,1,48,0.683270051031483,48,0.683270051031483,48
"20","1013976",0.999,0.979166666666667,48,0.978260869565217,46,0.647287881686307,48,0.61529383406726,48
"21","1013982",0.999,0.979166666666667,48,0.978260869565217,46,0.643878323928989,48,0.622300942976608,48
"22","1013990",0.999,1,48,1,48,0.690555391946884,48,0.690555391946884,48
"23","1014019",0.999,0.958333333333333,48,0.977777777777778,45,0.634459199671125,48,0.611021699671125,48
"24","1014046",0.999,1,48,1,48,0.702600285251147,48,0.702600285251147,48
"25","1014048",0.999,1,48,1,48,0.68434421182266,48,0.68434421182266,48
"26","1014056",0.999,0.979166666666667,48,0.978260869565217,46,0.681646350270632,48,0.659376235328103,48
"27","1014060",0.999,1,48,1,48,0.690424482127068,48,0.690424482127068,48
"28","1014077",0.999,1,48,1,48,0.698763341543514,48,0.698763341543514,48
"29","1014094",0.999,0.958333333333333,48,0.956521739130435,46,0.666171409741812,48,0.63958410815451,48
"30","1014096",0.999,1,48,1,48,0.697811568752661,48,0.697811568752661,48
"31","1014098",0.999,0.979166666666667,48,0.978260869565217,46,0.710407759719042,48,0.682246840178812,48
"32","1014119",0.999,1,48,1,48,0.693580665024631,48,0.693580665024631,48
"33","1014128",0.999,1,48,1,48,0.690576799911039,48,0.690576799911039,48
"34","1014150",0.999,1,48,1,48,0.778759616554157,48,0.778759616554157,48
"35","1014155",0.999,0.958333333333333,48,0.954545454545455,44,0.586914874219724,47,0.550910038069748,47
"36","1014163",0.999,0.916666666666667,48,0.9,40,0.589215743958924,48,0.473144315387495,48
"37","1014164",0.999,1,48,1,48,0.709229611384784,48,0.709229611384784,48
"38","1014172",0.999,0.9375,48,0.930232558139535,43,0.525211830909295,48,0.462372324736455,48
"39","1014213",0.999,0.9375,48,0.928571428571429,42,0.560815202517789,48,0.49493876573618,48
"40","1014271",0.999,0.979166666666667,48,0.978260869565217,46,0.674450700410377,48,0.64549754306048,48
"41","1014286",0.999,0.979166666666667,48,0.978260869565217,46,0.734080143993937,48,0.709080143993937,48
"42","1014294",0.999,1,48,1,48,0.833423987411056,48,0.833423987411056,48
"43","1014302",0.999,0.979166666666667,48,0.978260869565217,46,0.662193991353474,48,0.636896372305855,48
"44","1014304",0.999,1,48,1,48,0.708572264793529,48,0.708572264793529,48
"45","1014307",0.999,1,48,1,48,0.690489980831216,48,0.690489980831216,48
"46","1014312",0.999,1,48,1,48,0.691427812457758,48,0.691427812457758,48
"47","1014361",0.999,1,48,1,48,0.770932224697998,48,0.770932224697998,48
"48","1014363",0.999,0.979166666666667,48,0.978260869565217,46,0.727722286493838,48,0.693496096017648,48
"49","1014365",0.999,1,48,1,48,0.779705842794923,48,0.779705842794923,48
"50","1014371",0.999,1,48,1,48,0.802843036281005,48,0.802843036281005,48
"51","1014403",0.999,0.9375,48,0.928571428571429,42,0.604687056105878,48,0.537946079702545,48
"52","1014420",0.999,1,48,1,48,0.74236339171684,48,0.74236339171684,48
"53","1014435",0.999,1,48,1,48,0.71207402829092,48,0.71207402829092,48
"54","1014447",0.999,1,48,1,48,0.667722053250071,48,0.667722053250071,48
"55","1014469",0.999,1,48,1,48,0.704002618550032,48,0.704002618550032,48
"56","1014484",0.999,1,48,1,48,0.706443765186118,48,0.706443765186118,48
"57","1014493",0.999,1,48,1,48,0.703412557264537,48,0.703412557264537,48
"58","1014550",0.999,0.958333333333333,48,0.954545454545455,44,0.458819264124736,48,0.432525638768611,48
"59","1014566",0.999,1,48,1,48,0.68639719116512,48,0.68639719116512,48
"60","1014582",0.999,1,48,1,48,0.7266651272578,48,0.7266651272578,48
"61","1014593",0.999,1,48,1,48,0.692004020883331,48,0.692004020883331,48
"62","1014600",0.999,0.958333333333333,48,0.954545454545455,44,0.645493635330279,48,0.590365430202074,48
"63","1014610",0.999,0.916666666666667,48,0.9,40,0.587057793854396,48,0.498295668633937,48
"64","1014611",0.999,1,48,1,48,0.659183174541277,48,0.659183174541277,48
"65","1014612",0.999,1,48,1,48,0.706883248190719,48,0.706883248190719,48
"66","1014627",0.999,0.979166666666667,48,0.978260869565217,46,0.675027025177887,48,0.654193691844554,48
"67","1014653",0.999,0.875,48,0.894736842105263,38,0.628127175577833,48,0.493705420432394,48
"68","1014655",0.999,0.958333333333333,48,0.954545454545455,44,0.618784198139882,48,0.562881325336866,48
"69","1014660",0.999,0.833333333333333,48,0.852941176470588,34,0.693847950554129,48,0.500246955976123,48
"70","1014685",0.999,0.833333333333333,48,0.84375,32,0.613092827072802,47,0.429136691427054,47
"71","1014696",0.999,0.895833333333333,48,0.897435897435897,39,0.709553455803456,48,0.591401353276353,48
"72","1014697",0.999,0.958333333333333,48,0.954545454545455,44,0.758198228569605,48,0.697103952475329,48
"73","1014721",0.999,1,48,1,48,0.848390462506842,48,0.848390462506842,48
"74","1014734",0.999,0.979166666666667,48,0.978260869565217,46,0.642618179388446,48,0.611535803909518,48
"75","1014736",0.999,0.9375,48,0.928571428571429,42,0.747468833686654,48,0.659409801334144,48
"76","1014746",0.999,0.875,48,0.833333333333333,36,0.676861901488556,46,0.475382224895457,46
"77","1014794",0.999,0.875,48,0.918918918918919,37,0.417063101387536,48,0.321393343155858,48
"78","1014804",0.999,0.833333333333333,48,0.8,35,0.382633840026419,47,0.268688210381818,47
"79","1014822",0.999,0.958333333333333,48,0.954545454545455,44,0.494467513858323,48,0.452304815445624,48
"80","1014853",0.999,0.926829268292683,41,0.914285714285714,35,0.441452655023933,44,0.389504603075881,44
"81","1014858",0.999,0.891891891891892,37,0.9,30,0.416332826321539,46,0.363295525458151,46
"82","1014873",0.999,0.769230769230769,39,0.739130434782609,23,0.24024556067239,41,0.160516957934462,41
"83","1014876",0.999,0.804347826086957,46,0.878787878787879,33,0.491772167832012,44,0.383895614560722,44
"84","1014881",0.999,0.916666666666667,48,0.9,40,0.662705513051278,48,0.552534736616133,48
"85","1014887",0.999,0.829268292682927,41,0.892857142857143,28,0.382254040078629,41,0.301837971212058,41
"86","1014890",0.999,0.769230769230769,39,0.807692307692308,26,0.4764577679293,43,0.334463844540027,43
"87","1014892",0.999,0.829268292682927,41,0.827586206896552,29,0.348410414934412,45,0.26608869982534,45
"88","1014905",0.999,0.863636363636364,44,0.878787878787879,33,0.337014828692272,46,0.273737150273876,46
"89","1014964",0.999,0.958333333333333,48,0.954545454545455,44,0.651114103410701,47,0.588764079414541,47
"90","1015048",0.999,0.979166666666667,48,0.978260869565217,46,0.793828882643538,48,0.761376959566615,48
"91","1015164",0.999,0.9375,48,0.952380952380952,42,0.783543993194095,48,0.697391583512273,48
"92","1015170",0.999,0.979166666666667,48,0.978260869565217,46,0.836501661918329,48,0.79869301994302,48
"93","1015176",0.999,0.702127659574468,47,0.769230769230769,26,0.409591956144683,48,0.248711401320097,48
"94","1015199",0.999,0.791666666666667,48,0.766666666666667,30,0.475347170504016,48,0.286211147615133,48
"95","1015204",0.999,0.875,48,0.891891891891892,37,0.664090331700116,48,0.521587219973652,48
"96","1015242",0.999,0.8125,48,0.774193548387097,31,0.669682325410827,48,0.411408606149205,48
"97","1015259",0.999,0.895833333333333,48,0.894736842105263,38,0.623720737318265,46,0.483338655631835,46
"98","1015271",0.999,0.895833333333333,48,0.9,40,0.627037329054396,48,0.504845300068889,48
"99","1015283",0.999,0.833333333333333,48,0.818181818181818,33,0.629149973589104,47,0.402879439552612,47
"100","1015295",0.999,0.875,48,0.833333333333333,36,0.391952255910099,48,0.271658062633568,48
"101","1015303",0.999,0.854166666666667,48,0.828571428571429,35,0.66992607700941,48,0.482630255546922,48
"102","1015323",0.999,0.895833333333333,48,0.923076923076923,39,0.705671694281296,48,0.589363252655825,48
"103","1015390",0.999,0.958333333333333,48,0.954545454545455,44,0.783613124848757,48,0.720148618675918,48
"104","1015398",0.999,0.916666666666667,48,0.9,40,0.556616351961032,48,0.469881838910729,48
"105","1015412",0.999,0.9375,48,0.928571428571429,42,0.569220304185054,48,0.496883844348594,48
"106","1015414",0.999,0.958333333333333,48,0.954545454545455,44,0.803749811983508,48,0.732876796110492,48
"107","1015430",0.999,0.8125,48,0.882352941176471,34,0.545740387486077,48,0.424778614584649,48
"108","1015431",0.999,0.866666666666667,45,0.885714285714286,35,0.386170947108447,48,0.301034729159729,48
"109","1015434",0.999,0.931034482758621,29,0.961538461538462,26,0.15152223112368,45,0.142752257136315,45
